titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,1.55,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,58,58,1.6,0.6,1,,,0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
1,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,1.8,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,50,25,1.4,0.6,1,,0.0,1,,2.0,1.5,1.0,1.0,0.0,0.0,-0.28,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
15,"1,168",13.0,4,2,6,4,0,0,1,0,0.31,0.15,0.46,0.31,0.46,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,,,0.92,,0.33,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"1,168",51,36.0,13.0,15,,5.0,8,,4.0,0.78,15.0,23.0,-8.0,-0.62,0.12,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,1,0,,20.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
20,"1,928",21.4,2,4,6,2,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.0,11,28.9,1.77,0.51,0.05,0.18,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"1,928",62,63.0,21.4,20,,8.0,11,,2.0,1.29,29.0,30.0,-1.0,-0.05,0.27,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,3,0,0.0,37.0,23.0,3.0,32.0,22.0,24.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
31,"2,749",30.5,3,2,5,3,0,0,4,0,0.1,0.07,0.16,0.1,0.16,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44.0,17,38.6,1.44,0.56,0.07,0.18,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"2,749",83,89.8,30.5,31,,22.0,2,,0.0,1.09,34.0,32.0,2.0,0.07,1.8,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,4,0,0.0,31.0,26.0,4.0,20.0,24.0,29.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
28,"2,434",27.0,1,4,5,1,0,0,3,0,0.04,0.15,0.18,0.04,0.18,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,17,44.7,1.41,0.63,0.03,0.06,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"2,434",74,79.5,27.0,28,84.0,17.0,5,17.0,1.0,1.3,26.0,28.0,-2.0,-0.07,-0.65,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,3,0,0.0,39.0,27.0,4.0,49.0,21.0,36.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
31,"2,681",29.8,5,1,6,5,0,0,7,0,0.17,0.03,0.2,0.17,0.2,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,66.0,22,33.3,2.22,0.74,0.08,0.23,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"2,681",84,87.6,29.8,31,86.0,20.0,1,28.0,0.0,1.13,32.0,42.0,-10.0,-0.34,1.09,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,7,0,0.0,35.0,30.0,2.0,40.0,19.0,18.0,,,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
23,"1,788",19.9,2,2,4,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29.0,13,44.8,1.46,0.65,0.07,0.15,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,"1,788",60,49.7,19.9,23,70.0,3.0,7,27.0,4.0,1.33,25.0,19.0,6.0,0.3,0.55,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,2,0,0.0,26.0,14.0,2.0,31.0,10.0,14.0,,,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
5,491,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.0,2,40.0,0.92,0.37,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,491,33,14.4,5.5,5,63.0,0.0,10,18.0,12.0,0.8,4.0,8.0,-4.0,-0.73,-1.07,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,1,0,0.0,7.0,5.0,1.0,3.0,8.0,4.0,,,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
1,292,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,1,25.0,1.23,0.31,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,,,,,,,,,,,,,,,,,,292,21,8.5,3.2,1,67.0,0.0,13,17.0,19.0,1.07,3.0,6.0,-3.0,-0.92,-0.87,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,,,0,0,0.0,5.0,6.0,0.0,3.0,1.0,6.0,,,0.0,Partidos,https://fbref.com/es/jugadores/b45e185a/Deni-Milosevic,,
