titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,103,1.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.87,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,103,26,3.8,1.1,0,,,4,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
13,"1,391",15.5,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10,,,0.65,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,391",58,51.5,15.5,13,,5.0,11,,,,,,,,,,,,,,3,0,,32.0,,,,,,,,,,,,
18,"1,579",17.5,2,1,3,1,1,1,6,2,,,,,,,,0.11,0.06,0.17,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,,,0.74,,0.08,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,579",66,58.5,17.5,18,,10.0,6,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,
10,970,10.8,1,1,2,1,0,0,4,0,,,,,,,,0.09,0.09,0.19,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.28,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,970,69,31.7,10.8,10,,4.0,4,,0.0,1.57,9.0,10.0,-1.0,-0.09,-0.09,,,,,,4,0,,,,,,,,,,,,,,
31,"2,686",29.8,2,3,5,2,0,0,3,0,,,,,,,,0.07,0.1,0.17,0.07,0.17,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,15,,0.0,0.5,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,686",84,87.8,29.8,31,,23.0,1,,1.0,1.13,39.0,54.0,-15.0,-0.5,-0.02,,,,,,3,0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18,"1,610",17.9,2,4,6,1,1,1,5,0,,,,,,,,0.11,0.22,0.34,0.06,0.28,,,,,,,35.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.0,8,33.3,1.34,0.45,0.04,0.13,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,610",81,52.6,17.9,18,,13.0,2,,0.0,1.0,15.0,21.0,-6.0,-0.34,0.1,,,,,,5,0,0.0,46.0,56.0,10.0,56.0,19.0,35.0,0.0,0.0,0.0,,,,
17,"1,496",16.6,6,3,9,3,3,4,2,0,6.7,3.6,3.4,6.9,44.0,62.0,95.0,0.36,0.18,0.54,0.18,0.36,0.41,0.2,0.61,0.22,0.42,41.0,29.0,19.0,20.0,2.0,15.0,33.0,45.5,18.0,27.0,1.0,26.0,16.0,57.0,16.0,0.0,482.0,697.0,69.2,7798.0,1874.0,242.0,300.0,80.7,178.0,235.0,75.7,39.0,104.0,37.5,3,3.4,2.4,-0.4,22.0,32.0,13.0,2.0,62.0,697.0,622.0,73.0,28.0,4.0,6.0,45.0,21.0,22.0,7.0,9.0,0.0,482.0,2.0,26.0,14.0,136.0,465.0,322.0,47.0,904.0,40.0,23.0,57.5,17.0,42.5,485.0,3087.0,1309.0,44.0,24.0,11.0,43.0,31.0,603.0,95.0,6,30.0,9,30.0,1.8,0.54,0.1,0.33,21.2,2.0,3,4,6.7,3.6,0.12,-0.7,-0.6,61.0,3.67,36.0,6.0,10.0,3.0,4.0,2.0,10.0,0.6,5.0,0.0,2.0,3.0,0.0,0.0,"1,496",83,48.9,16.6,17,86.0,13.0,1,36.0,0.0,1.61,20.0,18.0,2.0,0.12,0.75,21.1,21.2,-0.1,0.0,0.68,2,0,0.0,30.0,51.0,4.0,45.0,16.0,29.0,0.0,0.0,0.0,83.0,10.0,16.0,38.5
12,967,10.7,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,13.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.0,7,25.9,2.51,0.65,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,967,74,31.6,10.7,12,77.0,4.0,1,45.0,1.0,1.08,16.0,24.0,-8.0,-0.74,-0.4,,,,,,1,0,0.0,20.0,18.0,2.0,24.0,8.0,13.0,0.0,0.0,0.0,,,,
14,"1,345",14.9,3,3,6,3,0,0,1,0,,,,,,,,0.2,0.2,0.4,0.2,0.4,,,,,,,23.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.0,10,33.3,2.01,0.67,0.1,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,345",56,44.0,14.9,14,80.0,9.0,10,22.0,6.0,1.21,23.0,19.0,4.0,0.27,1.05,,,,,,1,0,0.0,35.0,28.0,7.0,65.0,19.0,23.0,,,0.0,,,,
31,"2,706",30.1,8,5,13,4,4,4,10,0,,,,,,,,0.27,0.17,0.43,0.13,0.3,,,,,,,48.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42.0,20,47.6,1.4,0.67,0.1,0.2,,,4,4,,,,,,,,,,,,,,,,,,,,,,"2,706",85,75.2,30.1,31,86.0,22.0,1,29.0,0.0,1.13,32.0,35.0,-3.0,-0.1,1.01,,,,,,10,0,0.0,57.0,56.0,3.0,74.0,33.0,48.0,,,0.0,,,,
