titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
5,487,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,81.0,15.9,5.4,5,,,1,,,,,,,,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
3,272,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,68.0,8.9,3.0,3,,,1,,,,,,,,,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,,,,,,,,,,,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,90.0,11.8,4.0,4,,,0,,,,,,,,,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,,,,,,,,,,,,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
34,"3,060",34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,060",90.0,100.0,34.0,34,,34.0,0,,0.0,1.74,49.0,30.0,19.0,0.56,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,1.0,0.0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
34,"3,060",34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,060",90.0,100.0,34.0,34,,34.0,0,,0.0,1.74,54.0,36.0,18.0,0.53,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,1.0,0.0,,0.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
33,"2,970",33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,970",90.0,97.1,33.0,33,,33.0,0,,0.0,2.12,61.0,27.0,34.0,1.03,0.03,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
34,"3,060",34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,060",90.0,100.0,34.0,34,,34.0,0,,0.0,2.12,62.0,34.0,28.0,0.82,,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.0,0.2,0.1,0,,0.0,1,4.0,33.0,1.0,0.0,0.0,0.0,0.0,-0.8,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,2.9,1.0,1,90.0,1.0,0,,32.0,0.0,2.0,3.0,-1.0,-1.0,-1.97,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
19,"1,710",19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,710",90.0,47.5,19.0,19,90.0,19.0,0,,21.0,1.42,25.0,28.0,-3.0,-0.16,0.27,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,0.0,Partidos,https://fbref.com/es/jugadores/6e905b8d/Volkan-Babacan,,
