titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
27,"2,359",26.2,1,4,5,1,0,0,4,0,,,,,,,,0.04,0.15,0.19,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4.0,,,0.15,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,359",87,69.0,26.2,27,,24,0,,,,,,,,,,,,,,4,0,,35.0,,,,,,,,,,,,
26,"2,329",25.9,0,5,5,0,0,0,5,0,,,,,,,,0.0,0.19,0.19,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,0.12,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,329",86,78.4,25.9,26,,24,1,,0.0,2.26,53.0,17.0,36.0,1.39,-1.42,,,,,,5,0,,26.0,,,,,,,,,,,,
23,"2,070",23.0,1,1,2,1,0,0,5,0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3.0,,,0.13,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,070",90,76.7,23.0,23,,23,0,,2.0,2.79,62.0,16.0,46.0,2.0,-0.71,,,,,,5,0,,41.0,,,,,,,,,,,,
11,972,10.8,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,32.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,1.0,25.0,0.37,0.09,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,972,75,28.4,10.8,11,,9,2,,3.0,0.69,11.0,24.0,-13.0,-1.2,-1.06,,,,,,1,0,0.0,16.0,10.0,0.0,30.0,26.0,32.0,0.0,1.0,0.0,,,,
21,"1,870",20.8,0,3,3,0,0,0,5,0,0.3,0.3,2.0,2.2,94.0,56.0,115.0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.11,0.01,0.11,58.0,37.0,36.0,16.0,6.0,25.0,58.0,43.1,33.0,25.0,2.0,23.0,26.0,84.0,38.0,1.0,668.0,930.0,71.8,10657.0,3590.0,353.0,407.0,86.7,247.0,343.0,72.0,50.0,115.0,43.5,3,2.0,1.3,1.0,17.0,39.0,16.0,10.0,56.0,930.0,776.0,149.0,7.0,1.0,7.0,100.0,142.0,0.0,0.0,0.0,0.0,668.0,5.0,45.0,76.0,311.0,502.0,441.0,24.0,1217.0,129.0,83.0,64.3,46.0,35.7,702.0,5923.0,3124.0,94.0,70.0,15.0,47.0,37.0,732.0,115.0,0,9.0,3.0,33.3,0.43,0.14,0.0,0.0,27.3,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,39.0,1.88,31.0,2.0,4.0,0.0,2.0,0.0,6.0,0.29,6.0,0.0,0.0,0.0,0.0,0.0,"1,870",69,54.7,20.8,21,,13,6,,5.0,1.26,27.0,29.0,-2.0,-0.1,0.95,21.2,27.3,-6.1,-0.29,0.42,5,0,0.0,30.0,30.0,2.0,100.0,26.0,37.0,0.0,0.0,0.0,143.0,23.0,19.0,54.8
19,"1,759",19.5,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,69.0,96.0,53.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,57.0,25.0,38.0,13.0,6.0,31.0,56.0,55.4,25.0,27.0,6.0,21.0,36.0,93.0,72.0,0.0,880.0,1101.0,79.9,13634.0,5290.0,504.0,546.0,92.3,272.0,353.0,77.1,68.0,128.0,53.1,1,0.8,0.8,0.2,14.0,70.0,10.0,4.0,96.0,1101.0,896.0,201.0,20.0,1.0,18.0,37.0,180.0,1.0,0.0,0.0,0.0,880.0,4.0,32.0,93.0,452.0,671.0,249.0,17.0,1350.0,50.0,36.0,72.0,14.0,28.0,670.0,4724.0,2739.0,69.0,47.0,12.0,23.0,27.0,727.0,53.0,0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,26.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,35.0,1.79,31.0,1.0,1.0,0.0,0.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,759",76,51.4,19.5,19,88.0,18,4,23.0,12.0,1.61,31.0,29.0,2.0,0.1,0.37,27.9,33.6,-5.6,-0.29,0.18,2,0,0.0,16.0,5.0,0.0,37.0,36.0,25.0,0.0,0.0,0.0,146.0,21.0,20.0,51.2
10,937,10.4,0,1,1,0,0,0,6,1,0.1,0.1,1.2,1.3,41.0,40.0,37.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.13,0.01,0.13,41.0,23.0,24.0,13.0,4.0,23.0,39.0,59.0,16.0,19.0,5.0,14.0,14.0,55.0,23.0,0.0,476.0,609.0,78.2,6764.0,2668.0,303.0,348.0,87.1,137.0,167.0,82.0,23.0,53.0,43.4,1,1.2,0.9,-0.2,7.0,32.0,5.0,3.0,40.0,609.0,519.0,88.0,9.0,2.0,7.0,25.0,79.0,0.0,0.0,0.0,0.0,476.0,2.0,16.0,45.0,243.0,365.0,166.0,12.0,767.0,44.0,27.0,61.4,17.0,38.6,392.0,2591.0,1511.0,41.0,30.0,8.0,15.0,19.0,430.0,37.0,0,5.0,2.0,40.0,0.48,0.19,0.0,0.0,27.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,10.0,0.96,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,937,55,27.4,10.4,10,81.0,7,7,18.0,7.0,1.18,7.0,18.0,-11.0,-1.06,-0.98,10.3,20.7,-10.4,-1.0,-0.82,6,1,1.0,10.0,9.0,0.0,25.0,14.0,23.0,0.0,0.0,0.0,74.0,12.0,14.0,46.2
12,"1,006",11.2,0,2,2,0,0,0,2,0,0.5,0.5,2.2,2.7,45.0,43.0,54.0,0.0,0.18,0.18,0.0,0.18,0.04,0.2,0.24,0.04,0.24,20.0,12.0,14.0,6.0,0.0,11.0,34.0,32.4,23.0,12.0,0.0,12.0,8.0,28.0,28.0,2.0,443.0,566.0,78.3,6690.0,2098.0,259.0,295.0,87.8,143.0,182.0,78.6,29.0,48.0,60.4,2,2.2,1.7,-0.2,11.0,34.0,11.0,7.0,43.0,566.0,517.0,46.0,0.0,0.0,4.0,41.0,46.0,0.0,0.0,0.0,0.0,443.0,3.0,21.0,37.0,184.0,312.0,218.0,11.0,702.0,44.0,29.0,65.9,15.0,34.1,389.0,2611.0,1566.0,45.0,29.0,4.0,14.0,15.0,455.0,54.0,0,6.0,2.0,33.3,0.54,0.18,0.0,0.0,21.1,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,33.0,2.95,25.0,2.0,3.0,2.0,1.0,0.0,4.0,0.36,4.0,0.0,0.0,0.0,0.0,0.0,"1,006",84,29.4,11.2,12,84.0,7,0,,0.0,1.92,22.0,15.0,7.0,0.63,0.33,16.4,13.5,2.9,0.26,0.11,2,0,0.0,10.0,8.0,1.0,41.0,8.0,12.0,0.0,1.0,0.0,62.0,8.0,14.0,36.4
1,74,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,74,74,3.4,0.8,1,74.0,0,0,,0.0,3.0,3.0,1.0,2.0,2.43,3.21,,,,,,0,0,0.0,,,,,,,,,0.0,,,,
6,650,7.2,1,1,2,1,0,0,1,0,0.1,0.1,0.8,0.9,16.0,33.0,26.0,0.14,0.14,0.28,0.14,0.28,0.01,0.12,0.12,0.01,0.12,31.0,23.0,19.0,11.0,1.0,14.0,23.0,60.9,9.0,9.0,1.0,8.0,9.0,40.0,17.0,0.0,289.0,382.0,75.7,4058.0,1291.0,171.0,189.0,90.5,87.0,121.0,71.9,15.0,40.0,37.5,1,0.8,0.8,0.2,2.0,30.0,6.0,2.0,33.0,382.0,336.0,44.0,5.0,0.0,1.0,23.0,39.0,0.0,0.0,0.0,0.0,289.0,2.0,6.0,26.0,138.0,198.0,145.0,9.0,479.0,17.0,10.0,58.8,7.0,41.2,223.0,1001.0,525.0,16.0,8.0,5.0,8.0,9.0,272.0,26.0,1,4.0,1.0,25.0,0.55,0.14,0.25,1.0,26.5,0.0,0,0,0.1,0.1,0.01,0.9,0.9,7.0,0.97,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.28,1.0,1.0,0.0,0.0,0.0,0.0,650,50,19.0,7.2,6,81.0,4,7,23.0,16.0,1.31,7.0,12.0,-5.0,-0.69,-1.15,8.9,14.1,-5.3,-0.73,-0.83,1,0,0.0,8.0,4.0,0.0,23.0,9.0,23.0,0.0,0.0,0.0,50.0,16.0,6.0,72.7
