titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,0.0,0.0,0,,,1,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,
0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,10,5,0.3,0.1,0,,,2,,,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,
10,816,9.1,1,0,1,1,0,0,0,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.11,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,816,51,21.6,9.1,10,,,6,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
1,126,1.4,1,0,1,1,0,1,0,1,,,,,,,,0.71,0.0,0.71,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.71,,1.0,,,0,1,,,,,,,,,,,,,,,,,,,,,,126,32,3.3,1.4,1,,,3,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
36,"2,999",33.3,28,5,33,23,5,6,5,0,,,,,,,,0.84,0.15,0.99,0.69,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,57,,,1.71,,0.4,,,5,6,,,,,,,,,,,,,,,,,,,,,,"2,999",81,79.3,33.3,36,,,1,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,
21,"2,026",22.5,5,3,8,5,0,0,5,0,,,,,,,,0.22,0.13,0.36,0.22,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,19,,,0.84,,0.26,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,026",61,59.2,22.5,21,,14.0,12,,,,,,,,,,,,,,5,0,,33.0,,,,,,,,,,,,
29,"2,586",28.7,22,3,25,22,0,1,10,1,,,,,,,,0.77,0.1,0.87,0.77,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,45,,,1.57,,0.49,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,586",78,75.6,28.7,29,,20.0,4,,,,,,,,,,,,,,10,1,,61.0,,,,,,,,,,,,
9,968,10.8,3,1,4,3,0,1,1,0,,,,,,,,0.28,0.09,0.37,0.28,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,19,,,1.77,,0.16,,,0,1,,,,,,,,,,,,,,,,,,,,,,968,40,31.6,10.8,9,,6.0,15,,8.0,1.13,8.0,18.0,-10.0,-0.93,-1.58,,,,,,1,0,,13.0,,,,,,,,,,,,
4,332,3.7,2,0,2,2,0,0,2,0,,,,,,,,0.54,0.0,0.54,0.54,0.54,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14.0,6,42.9,3.8,1.63,0.14,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,332,42,9.7,3.7,4,68.0,0.0,4,16.0,5.0,1.5,4.0,3.0,1.0,0.27,0.27,,,,,,2,0,0.0,9.0,5.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,,,,
11,987,11.0,5,2,7,3,2,3,2,0,,,,,,,,0.46,0.18,0.64,0.27,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,12,,,1.09,,0.25,,,2,3,,,,,,,,,,,,,,,,,,,,,,987,71,28.9,11.0,11,,7.0,3,,0.0,0.79,14.0,16.0,-2.0,-0.18,-0.15,,,,,,2,0,,21.0,,,,,,,,,,,,
35,"3,118",34.6,23,3,26,17,6,6,5,0,,,,,,,,0.66,0.09,0.75,0.49,0.58,,,,,,,12.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,137.0,60,43.8,3.95,1.73,0.12,0.28,,,6,6,,,,,,,,,,,,,,,,,,,,,,"3,118",87,91.2,34.6,35,,29.0,1,,0.0,1.86,69.0,47.0,22.0,0.64,0.34,,,,,,5,0,0.0,38.0,47.0,43.0,28.0,7.0,12.0,3.0,0.0,0.0,,,,
