titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,119,1.3,1,0,1,1,0,0,1,0,,,,,,,,0.76,0.0,0.76,0.76,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,3.03,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,119,12,3.5,1.3,0,,,10,,,,,,,,,,,,,,1,0,,5,,,,,,,,,,,,
3,284,3.2,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,284,22,8.3,3.2,3,,0.0,10,,,,,,,,,,,,,,2,0,,13,,,,,,,,,,,,
20,"1,765",19.6,8,2,10,7,1,1,5,1,,,,,,,,0.41,0.1,0.51,0.36,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,21,,,1.07,,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,765",57,51.6,19.6,20,,7.0,11,,,,,,,,,,,,,,5,1,,44,,,,,,,,,,,,
3,419,4.7,1,0,1,1,0,0,0,0,,,,,,,,0.21,0.0,0.21,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,1.72,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,419,35,12.3,4.7,3,,1.0,9,,6.0,0.92,4.0,5.0,-1.0,-0.21,-0.06,,,,,,0,0,,9,,,,,,,,,,,,
10,834,9.3,1,1,2,1,0,0,0,0,,,,,,,,0.11,0.11,0.22,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.32,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,834,49,24.4,9.3,10,,1.0,7,,1.0,0.82,4.0,18.0,-14.0,-1.51,-1.27,,,,,,0,0,,25,,,,,,,,,,,,
14,"1,395",15.5,4,2,6,4,0,0,1,0,,,,,,,,0.26,0.13,0.39,0.26,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,,0.65,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,395",66,40.8,15.5,14,,10.0,7,,0.0,1.0,15.0,15.0,0.0,0.0,0.0,,,,,,1,0,,12,,,,,,,,,,,,
8,718,8.0,2,0,2,2,0,0,0,0,,,,,,,,0.25,0.0,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,0.75,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,718,65,26.6,8.0,8,,2.0,3,,1.0,1.18,3.0,7.0,-4.0,-0.5,-0.14,,,,,,0,0,,17,,,,,,,,,,,,
14,"1,042",11.6,5,3,8,4,1,1,2,0,,,,,,,,0.43,0.26,0.69,0.35,0.6,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,19,,0.0,1.64,,0.21,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,042",61,38.6,11.6,14,,2.0,3,,0.0,0.88,12.0,13.0,-1.0,-0.09,0.29,,,,,,2,0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,684,7.6,3,1,4,1,2,2,0,0,,,,,,,,0.39,0.13,0.53,0.13,0.26,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,5,,0.0,0.66,,0.2,,,2,2,,,,,,,,,,,,,,,,,,,,,,684,57,27.1,7.6,8,,4.0,4,,2.0,1.92,14.0,9.0,5.0,0.66,0.12,,,,,,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21,"1,804",20.0,8,3,11,5,3,3,4,0,8.3,5.9,1.7,7.6,30.0,57.0,143.0,0.4,0.15,0.55,0.25,0.4,0.41,0.09,0.5,0.29,0.38,17.0,9.0,5.0,8.0,4.0,3.0,17.0,17.6,14.0,15.0,3.0,12.0,9.0,26.0,10.0,0.0,411.0,548.0,75.0,6602.0,1714.0,207.0,251.0,82.5,141.0,180.0,78.3,40.0,60.0,66.7,3,1.7,1.4,1.3,20.0,35.0,11.0,3.0,57.0,548.0,522.0,24.0,1.0,0.0,3.0,21.0,8.0,0.0,0.0,0.0,0.0,411.0,2.0,20.0,14.0,106.0,359.0,280.0,68.0,733.0,16.0,8.0,50.0,8.0,50.0,401.0,2750.0,1046.0,30.0,28.0,7.0,43.0,31.0,552.0,143.0,8,54.0,23,42.6,2.69,1.15,0.09,0.22,17.4,0.0,3,3,8.3,5.9,0.12,-0.3,-0.9,50.0,2.49,36.0,1.0,3.0,7.0,3.0,0.0,8.0,0.4,3.0,0.0,0.0,5.0,0.0,0.0,"1,804",75,66.8,20.0,21,83.0,14.0,3,17.0,1.0,1.0,25.0,36.0,-11.0,-0.55,2.16,24.4,34.4,-10.0,-0.5,0.12,4,0,0.0,33,34.0,13.0,21.0,9.0,9.0,0.0,2.0,0.0,86.0,14.0,42.0,25.0
