titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
16,"1,476",16.4,3,2,5,3,0,0,9,0,0.18,0.12,0.3,0.18,0.3,,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10.0,,,0.61,,0.3,,0,0,,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"1,476",67,39.0,16.4,16,,,6,,,,,,,,,,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,9,0,,,,,,,,,,,,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
28,"2,510",27.9,8,4,12,8,0,0,7,2,0.29,0.14,0.43,0.29,0.43,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,18.0,,,0.65,,0.44,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"2,510",74,66.4,27.9,28,,19.0,6,,0.0,1.09,34.0,28.0,6.0,0.22,0.57,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,7,2,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
23,"2,051",22.8,9,3,12,9,0,0,3,1,0.39,0.13,0.53,0.39,0.53,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,22.0,,,0.97,,0.41,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"2,051",73,57.0,22.8,23,,15.0,5,,1.0,1.32,43.0,37.0,6.0,0.26,1.25,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,3,1,,44.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,12,12,0.4,0.1,0,,0.0,1,,2.0,1.0,0.0,0.0,0.0,0.0,-0.92,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
9,876,9.7,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.0,8.0,27.6,2.98,0.82,0.03,0.13,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,876,58,25.6,9.7,9,,5.0,6,,4.0,0.87,13.0,22.0,-9.0,-0.92,-0.11,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,1,0,0.0,23.0,13.0,8.0,15.0,2.0,8.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
4,398,4.4,4,1,5,4,0,0,2,0,0.9,0.23,1.13,0.9,1.13,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,398,66,14.7,4.4,4,90.0,3.0,2,19.0,0.0,2.67,9.0,3.0,6.0,1.36,0.61,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,2,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
24,"1,984",22.0,11,4,15,11,0,0,4,0,0.5,0.18,0.68,0.5,0.68,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,61.0,23.0,37.7,2.77,1.04,0.18,0.48,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"1,984",79,64.8,22.0,24,81.0,11.0,1,30.0,1.0,1.32,29.0,35.0,-6.0,-0.27,-0.36,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,4,0,0.0,53.0,29.0,6.0,7.0,12.0,17.0,,,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
19,"1,469",16.3,6,2,8,6,0,0,2,0,0.37,0.12,0.49,0.37,0.49,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,44.0,19.0,43.2,2.7,1.16,0.14,0.32,,0,0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"1,469",49,40.8,16.3,19,66.0,1.0,11,19.0,8.0,2.0,29.0,8.0,21.0,1.29,0.86,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,2,0,0.0,33.0,17.0,12.0,12.0,9.0,13.0,,,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
23,"2,044",22.7,11,4,15,8,3,3,1,0,0.48,0.18,0.66,0.35,0.53,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,50.0,22.0,44.0,2.2,0.97,0.16,0.36,,3,3,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"2,044",85,59.8,22.7,23,87.0,13.0,1,36.0,0.0,1.33,36.0,35.0,1.0,0.04,0.57,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,1,0,0.0,35.0,28.0,14.0,22.0,26.0,16.0,,,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
22,"1,932",21.5,8,3,11,7,1,2,2,0,0.37,0.14,0.51,0.33,0.47,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,46.0,16.0,34.8,2.14,0.75,0.15,0.44,,1,2,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,,,,,,,,,,,,,,,,,,"1,932",72,63.1,21.5,22,83.0,11.0,5,20.0,0.0,1.37,27.0,41.0,-14.0,-0.65,-1.29,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,,,2,0,0.0,38.0,22.0,16.0,10.0,15.0,11.0,,,0.0,Partidos,https://fbref.com/es/jugadores/ec304819/Mame-Baba-Thiam,,
