titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
24,"2,070",23.0,0,1,1,0,0,0,4,0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,35.0,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.0,2.0,20.0,0.43,0.09,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,070",86,67.6,23.0,24,,22,0,,7,1.5,29,40,-11,-0.48,0.16,,,,,,4,0,0,36.0,16.0,3.0,2.0,45.0,35.0,0.0,2.0,0,,,,
25,"2,153",23.9,1,0,1,1,0,0,5,2,0.8,0.8,0.0,0.8,23.0,62.0,4.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,42.0,26.0,26.0,15.0,1.0,15.0,26.0,57.7,11.0,30.0,20.0,10.0,54.0,96.0,91.0,2.0,930.0,1146.0,81.2,19509.0,6915.0,279.0,317.0,88.0,502.0,567.0,88.5,135.0,236.0,57.2,0,0.0,0.2,0.0,0.0,55.0,1.0,0.0,62.0,1146.0,1093.0,53.0,51.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,930.0,0.0,18.0,151.0,725.0,646.0,32.0,7.0,1389.0,11.0,8.0,72.7,3.0,27.3,739.0,4459.0,2413.0,23.0,5.0,0.0,20.0,7.0,812.0,4.0,1,9.0,3.0,33.3,0.38,0.13,0.11,0.33,21.3,1.0,0,0,0.8,0.8,0.09,0.2,0.2,8.0,0.33,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,153",83,70.4,23.9,25,,22,1,,3,1.0,18,36,-18,-0.75,-0.16,23.7,30.6,-6.9,-0.29,-0.33,5,2,1,26.0,18.0,2.0,2.0,54.0,26.0,0.0,0.0,0,98.0,52.0,37.0,58.4
3,252,2.8,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,252,84,12.7,2.8,3,84.0,2,0,,0,1.33,6,4,2,0.71,1.29,,,,,,1,0,0,,,,,,,,,0,,,,
4,372,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,5.0,2.0,4.0,1.0,0.0,3.0,6.0,50.0,3.0,8.0,5.0,3.0,7.0,12.0,22.0,3.0,187.0,225.0,83.1,3116.0,1195.0,93.0,97.0,95.9,78.0,91.0,85.7,12.0,29.0,41.4,0,0.0,0.1,0.0,0.0,8.0,2.0,1.0,10.0,225.0,216.0,8.0,6.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,187.0,1.0,2.0,30.0,147.0,118.0,9.0,2.0,272.0,3.0,2.0,66.7,1.0,33.3,166.0,907.0,616.0,2.0,2.0,0.0,2.0,1.0,160.0,0.0,0,2.0,0.0,0.0,0.48,0.0,0.0,,12.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,1.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372,62,10.9,4.1,4,88.0,3,2,11.0,9,1.5,5,4,1,0.24,0.18,8.0,4.9,3.2,0.76,0.6,1,0,0,9.0,2.0,0.0,2.0,7.0,2.0,0.0,1.0,0,20.0,16.0,6.0,72.7
34,"3,036",33.7,1,1,2,1,0,0,4,1,2.1,2.1,0.8,2.9,22.0,125.0,5.0,0.03,0.03,0.06,0.03,0.06,0.06,0.02,0.09,0.06,0.09,60.0,40.0,41.0,18.0,1.0,27.0,46.0,58.7,19.0,35.0,19.0,16.0,43.0,103.0,156.0,1.0,2086.0,2342.0,89.1,38202.0,13194.0,798.0,856.0,93.2,1094.0,1188.0,92.1,169.0,235.0,71.9,1,0.8,0.3,0.2,4.0,112.0,3.0,0.0,125.0,2342.0,2277.0,56.0,46.0,0.0,13.0,4.0,10.0,0.0,0.0,0.0,0.0,2086.0,9.0,10.0,263.0,1343.0,1303.0,65.0,33.0,2700.0,22.0,17.0,77.3,5.0,22.7,1779.0,8996.0,4279.0,22.0,10.0,0.0,17.0,2.0,1864.0,5.0,1,17.0,5.0,29.4,0.5,0.15,0.06,0.2,10.3,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1,21.0,0.62,17.0,1.0,0.0,2.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"3,036",89,88.8,33.7,34,89.0,33,0,,1,1.65,63,33,30,0.89,1.83,54.6,40.3,14.2,0.42,-0.16,4,1,0,30.0,20.0,1.0,4.0,43.0,40.0,0.0,2.0,0,195.0,105.0,62.0,62.9
19,"1,819",20.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,27.0,90.0,2.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.06,0.03,0.06,27.0,17.0,13.0,14.0,0.0,17.0,30.0,56.7,13.0,12.0,9.0,3.0,28.0,55.0,80.0,1.0,1244.0,1423.0,87.4,21098.0,7015.0,528.0,572.0,92.3,617.0,682.0,90.5,73.0,133.0,54.9,0,0.5,0.3,-0.5,7.0,76.0,5.0,3.0,90.0,1423.0,1370.0,52.0,21.0,0.0,16.0,10.0,31.0,0.0,0.0,0.0,0.0,1244.0,1.0,7.0,137.0,701.0,847.0,67.0,25.0,1609.0,6.0,4.0,66.7,2.0,33.3,990.0,5904.0,3440.0,27.0,18.0,0.0,8.0,4.0,1138.0,2.0,1,10.0,3.0,30.0,0.49,0.15,0.1,0.33,10.4,0.0,0,0,0.7,0.7,0.07,0.3,0.3,11.0,0.54,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,819",79,53.2,20.2,19,90.0,19,4,27.0,2,1.87,42,30,12,0.59,0.26,33.4,25.9,7.5,0.37,0.24,2,0,0,18.0,15.0,0.0,10.0,28.0,17.0,0.0,0.0,0,91.0,61.0,36.0,62.9
28,"2,497",27.7,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1,19.0,71.0,5.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,47.0,30.0,32.0,12.0,3.0,26.0,42.0,61.9,16.0,44.0,27.0,17.0,32.0,79.0,115.0,1.0,1630.0,1935.0,84.2,29197.0,10178.0,654.0,720.0,90.8,827.0,894.0,92.5,125.0,263.0,47.5,0,0.1,0.2,-0.1,3.0,70.0,3.0,2.0,71.0,1935.0,1877.0,52.0,44.0,2.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0,1630.0,6.0,11.0,284.0,1186.0,982.0,65.0,16.0,2216.0,8.0,4.0,50.0,4.0,50.0,1393.0,6984.0,3401.0,19.0,15.0,0.0,9.0,3.0,1509.0,5.0,1,8.0,1.0,12.5,0.29,0.04,0.13,1.0,12.0,0.0,0,0,1.0,1.0,0.13,0.0,0.0,14.0,0.5,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,497",89,73.0,27.7,28,89.0,27,0,,8,1.32,41,44,-3,-0.11,-0.69,31.8,42.5,-10.7,-0.39,-0.31,5,0,0,24.0,14.0,1.0,5.0,32.0,30.0,0.0,2.0,0,164.0,92.0,48.0,65.7
6,529,5.9,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,5.0,12.0,0.0,0.17,0.0,0.17,0.17,0.17,0.07,0.01,0.08,0.07,0.08,14.0,9.0,10.0,4.0,0.0,7.0,10.0,70.0,3.0,9.0,8.0,1.0,7.0,21.0,30.0,0.0,241.0,309.0,78.0,4320.0,1537.0,104.0,115.0,90.4,112.0,136.0,82.4,22.0,48.0,45.8,0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,12.0,309.0,292.0,14.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,3.0,2.0,71.0,226.0,147.0,12.0,7.0,382.0,1.0,1.0,100.0,0.0,0.0,185.0,1096.0,601.0,5.0,1.0,0.0,2.0,0.0,203.0,0.0,1,5.0,2.0,40.0,0.85,0.34,0.2,0.5,9.5,0.0,0,0,0.4,0.4,0.08,0.6,0.6,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529,76,15.5,5.9,6,87.0,5,1,8.0,15,1.14,9,13,-4,-0.68,-0.28,13.2,9.9,3.3,0.56,1.06,2,0,0,7.0,4.0,0.0,0.0,7.0,9.0,0.0,0.0,0,42.0,24.0,16.0,60.0
1,114,1.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,7.0,0.0,71.0,81.0,87.7,1249.0,407.0,29.0,31.0,93.5,39.0,43.0,90.7,2.0,5.0,40.0,0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,81.0,79.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,5.0,47.0,48.0,3.0,1.0,97.0,1.0,1.0,100.0,0.0,0.0,65.0,337.0,150.0,2.0,2.0,1.0,0.0,2.0,65.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,1.58,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.79,1.0,0.0,0.0,0.0,0.0,0.0,114,19,3.3,1.3,1,45.0,0,5,14.0,8,2.5,5,1,4,3.16,2.53,1.9,2.7,-0.8,-0.62,-1.26,0,1,0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,9.0,1.0,0.0,100.0
9,913,10.1,2,0,2,2,0,0,1,0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,,10.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.0,2.0,28.6,0.69,0.2,0.29,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,913,76,26.7,10.1,9,88.0,7,3,39.0,1,2.67,25,6,19,1.87,0.11,,,,,,1,0,0,9.0,7.0,1.0,1.0,13.0,10.0,,,0,,,,
