titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
25,"2,229",24.8,1,,,1,0,0,1,1,,,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,229",89,95.3,24.8,25,89,23,0,,1,1.72,52,37,15,0.61,4.66,,,,,,1,1,0,,,,,,,,,0,,,,
1,165,1.8,0,,,0,0,0,0,0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,165,55,7.1,1.8,1,91,1,2,37.0,0,1.67,3,3,0,0.0,-1.2,,,,,,0,0,0,,,,,,,,,0,,,,
25,"2,214",24.6,2,4.0,6.0,2,0,0,7,0,,,,,,,,0.08,0.16,0.24,0.08,0.24,,,,,,,6.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.0,4.0,44.4,0.37,0.16,0.22,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,214",79,64.7,24.6,25,86,19,3,22.0,3,1.96,56,33,23,0.93,1.46,,,,,,7,0,0,12.0,9.0,1.0,14.0,7.0,6.0,1.0,1.0,0,,,,
30,"2,559",28.4,0,1.0,1.0,0,0,0,3,1,0.9,0.9,2.2,3.0,76.0,122.0,86.0,0.0,0.04,0.04,0.0,0.04,0.03,0.08,0.11,0.03,0.11,63.0,41.0,34.0,23.0,6.0,33.0,47.0,70.2,14.0,31.0,5.0,26.0,46.0,109.0,76.0,1.0,1001.0,1468.0,68.2,17777.0,8159.0,449.0,552.0,81.3,430.0,563.0,76.4,107.0,253.0,42.3,1.0,2.2,1.1,-1.2,16.0,103.0,23.0,9.0,122.0,1468.0,1163.0,292.0,31.0,0.0,15.0,74.0,261.0,0.0,0.0,0.0,0.0,1001.0,13.0,49.0,86.0,576.0,899.0,379.0,24.0,1823.0,67.0,39.0,58.2,28.0,41.8,876.0,5435.0,2833.0,76.0,57.0,13.0,34.0,32.0,938.0,86.0,0,22.0,6.0,27.3,0.77,0.21,0.0,0.0,26.5,4.0,0,0,0.9,0.9,0.04,-0.9,-0.9,41.0,1.44,27.0,4.0,3.0,5.0,1.0,1.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,"2,559",83,83.6,28.4,30,84,22,1,29.0,1,0.9,33,57,-24,-0.84,-0.13,38.0,48.3,-10.3,-0.36,0.61,3,1,0,35.0,39.0,2.0,74.0,46.0,41.0,0.0,3.0,1,217.0,21.0,16.0,56.8
30,"2,530",28.1,1,1.0,2.0,1,0,0,3,1,1.4,1.4,1.1,2.5,73.0,111.0,95.0,0.04,0.04,0.07,0.04,0.07,0.05,0.04,0.09,0.05,0.09,43.0,32.0,31.0,11.0,1.0,17.0,26.0,65.4,9.0,41.0,12.0,29.0,29.0,72.0,74.0,1.0,959.0,1423.0,67.4,16441.0,7011.0,428.0,516.0,82.9,440.0,581.0,75.7,75.0,232.0,32.3,1.0,1.1,1.9,-0.1,16.0,104.0,15.0,7.0,111.0,1423.0,1129.0,283.0,27.0,2.0,7.0,71.0,256.0,0.0,0.0,0.0,0.0,959.0,11.0,51.0,108.0,572.0,804.0,442.0,34.0,1793.0,72.0,40.0,55.6,32.0,44.4,868.0,5456.0,3074.0,73.0,70.0,12.0,53.0,25.0,964.0,95.0,1,35.0,5.0,14.3,1.25,0.18,0.03,0.2,26.3,5.0,0,0,1.4,1.4,0.04,-0.4,-0.4,45.0,1.6,32.0,2.0,4.0,3.0,4.0,0.0,4.0,0.14,2.0,0.0,0.0,1.0,1.0,0.0,"2,530",82,82.7,28.1,30,84,25,1,15.0,2,0.94,25,47,-22,-0.78,-0.27,29.7,45.0,-15.3,-0.54,0.02,3,1,1,27.0,37.0,0.0,71.0,29.0,32.0,0.0,0.0,0,185.0,20.0,33.0,37.7
33,"2,956",32.8,5,5.0,10.0,5,0,0,7,0,,,,,,,,0.15,0.15,0.3,0.15,0.3,,,,,,,32.0,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,48.0,20.0,41.7,1.46,0.61,0.1,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,956",90,96.6,32.8,33,90,29,0,,0,1.3,47,54,-7,-0.21,-1.94,,,,,,7,0,0,37.0,44.0,3.0,207.0,25.0,32.0,,,0,,,,
20,"1,751",19.5,3,5.0,8.0,3,0,0,3,0,,,,,,,,0.15,0.26,0.41,0.15,0.41,,,,,,,16.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.0,12.0,40.0,1.54,0.62,0.1,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,751",88,57.2,19.5,20,88,13,0,,0,1.55,35,24,11,0.57,0.29,,,,,,3,0,0,12.0,29.0,11.0,123.0,14.0,16.0,,,0,,,,
13,"1,152",12.8,1,2.0,3.0,1,0,0,1,0,,,,,,,,0.08,0.16,0.23,0.08,0.23,,,,,,,20.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0,3.0,20.0,1.17,0.23,0.07,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,152",89,33.7,12.8,13,89,12,0,,1,2.77,40,12,28,2.19,0.68,,,,,,1,0,0,26.0,13.0,0.0,31.0,16.0,20.0,,,0,,,,
1,86,1.0,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,1.0,50.0,2.09,1.05,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,86,86,3.1,1.0,1,86,0,0,,0,3.0,1,1,0,0.0,-1.6,,,,,,0,0,0,1.0,1.0,0.0,3.0,1.0,2.0,,,0,,,,
14,"1,311",14.6,2,2.0,4.0,2,0,0,2,0,0.7,0.7,1.6,2.4,35.0,37.0,121.0,0.14,0.14,0.27,0.14,0.27,0.05,0.11,0.16,0.05,0.16,19.0,10.0,7.0,9.0,3.0,10.0,14.0,71.4,4.0,20.0,4.0,16.0,9.0,28.0,25.0,0.0,568.0,717.0,79.2,8418.0,2046.0,306.0,343.0,89.2,222.0,276.0,80.4,18.0,39.0,46.2,2.0,1.6,2.0,0.4,16.0,22.0,16.0,6.0,37.0,717.0,594.0,122.0,2.0,1.0,2.0,58.0,115.0,5.0,2.0,3.0,0.0,568.0,1.0,28.0,33.0,227.0,351.0,317.0,30.0,886.0,40.0,15.0,37.5,20.0,50.0,532.0,2455.0,1304.0,35.0,22.0,7.0,22.0,12.0,569.0,121.0,2,13.0,4.0,30.8,0.89,0.27,0.15,0.5,15.7,0.0,0,0,0.7,0.7,0.06,1.3,1.3,37.0,2.54,30.0,1.0,2.0,1.0,3.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,"1,311",55,47.0,14.6,14,77,1,10,23.0,4,1.33,22,28,-6,-0.41,-0.41,17.7,20.0,-2.3,-0.16,-0.3,2,0,0,14.0,18.0,4.0,58.0,9.0,10.0,0.0,0.0,0,56.0,8.0,13.0,38.1
