titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
3,347,3.9,3,0,3,3,0,0,0,0,0.78,0.0,0.78,0.78,0.78,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,1.56,,0.5,,0,0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,347,35,12.9,3.9,3,,0,7,,3,1.7,6,6,0,0.0,-1.53,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,65,33,2.4,0.7,0,,0,2,,7,1.0,1,1,0,0.0,0.24,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,0,0,,1.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,1,1,0.0,0.0,0,,0,1,,4,3.0,0,0,0,0.0,-0.87,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,1,0,,1.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
1,224,2.5,2,0,2,2,0,0,1,0,0.8,0.0,0.8,0.8,0.8,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,2,,0.0,0.8,,1.0,,0,0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,224,28,8.3,2.5,1,,0,7,,9,2.0,6,5,1,0.4,-0.73,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,1,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
2,342,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2,,0.0,0.53,,0.5,,0,0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,342,43,12.7,3.8,2,,1,6,,0,1.0,4,12,-8,-2.11,-1.19,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,0,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
25,"2,176",24.2,13,2,15,12,1,2,2,0,0.54,0.08,0.62,0.5,0.58,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,68.0,34,50.0,2.81,1.41,0.18,0.35,,1,2,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,"2,176",81,80.6,24.2,25,85.0,13,2,27.0,0,0.96,32,43,-11,-0.45,1.26,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,2,0,0.0,38.0,12.0,15.0,4.0,6.0,4.0,0.0,1.0,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
28,"2,456",27.3,16,2,18,16,0,1,2,0,0.59,0.07,0.66,0.59,0.66,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,68.0,31,45.6,2.49,1.14,0.24,0.52,,0,1,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,"2,456",88,91.0,27.3,28,88.0,24,0,,0,1.29,39,44,-5,-0.18,0.92,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,2,0,0.0,33.0,38.0,17.0,7.0,6.0,3.0,,,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
13,"1,085",12.1,1,0,1,1,0,1,2,0,0.08,0.0,0.08,0.08,0.08,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19.0,5,26.3,1.58,0.41,0.05,0.2,,0,1,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,"1,085",78,40.2,12.1,13,83.0,8,1,7.0,0,0.79,8,15,-7,-0.58,0.53,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,2,0,0.0,16.0,6.0,4.0,5.0,0.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
27,"2,241",24.9,8,2,10,6,2,2,2,0,0.32,0.08,0.4,0.24,0.32,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,63.0,20,31.7,2.53,0.8,0.1,0.3,,2,2,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,"2,241",62,65.5,24.9,27,76.0,8,9,21.0,2,1.11,31,26,5,0.2,1.12,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,2,0,0.0,28.0,25.0,10.0,6.0,2.0,11.0,,,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
12,"1,112",12.4,3,0,3,2,1,1,0,0,0.24,0.0,0.24,0.16,0.16,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28.0,11,39.3,2.27,0.89,0.07,0.18,,1,1,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,,,,,,,,,,,,,,,,,,"1,112",44,39.9,12.4,12,79.0,5,13,13.0,1,0.52,9,21,-12,-0.97,-0.06,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,,,0,0,0.0,14.0,4.0,8.0,7.0,3.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/8c70d3ee/Carlos-Strandberg,,
