titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
2,243,2.7,0,1,1,0,0,0,2,0,0.0,0.37,0.37,0.0,0.37,,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,1.11,,0.0,,0,0,,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,243,30,8.2,2.7,2,,,6,,,,,,,,,,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,2,0,,,,,,,,,,,,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
2,194,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,194,49,5.4,2.2,2,,2.0,2,,2.0,2.25,6.0,2.0,4.0,1.86,1.17,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,1,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
23,"2,033",22.6,9,0,9,4,5,5,5,0,0.4,0.0,0.4,0.18,0.18,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0,20.0,,0.0,0.89,,0.2,,5,5,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"2,033",73,62.7,22.6,23,,10.0,5,,0.0,1.54,32.0,22.0,10.0,0.44,0.07,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
16,"1,412",15.7,7,0,7,2,5,5,3,0,0.45,0.0,0.45,0.13,0.13,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,5,5,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"1,412",83,43.6,15.7,16,88.0,12.0,1,8.0,0.0,1.94,32.0,15.0,17.0,1.08,0.69,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,3,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
11,838,9.3,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19.0,3.0,15.8,2.04,0.32,0.05,0.33,,0,0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,838,52,27.4,9.3,11,65.0,0.0,5,25.0,1.0,0.63,8.0,16.0,-8.0,-0.86,-0.82,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,2,0,0.0,22.0,11.0,1.0,45.0,5.0,9.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
29,"2,435",27.1,4,7,11,4,0,0,5,1,0.15,0.26,0.41,0.15,0.41,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,59.0,25.0,42.4,2.18,0.92,0.07,0.16,,0,0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"2,435",81,79.6,27.1,29,82.0,15.0,1,45.0,0.0,1.4,45.0,40.0,5.0,0.18,1.62,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,5,1,0.0,55.0,60.0,1.0,121.0,27.0,31.0,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
35,"3,100",34.4,5,5,10,5,0,1,5,0,0.15,0.15,0.29,0.15,0.29,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,81.0,27.0,33.3,2.35,0.78,0.06,0.19,,0,1,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"3,100",86,86.1,34.4,35,87.0,23.0,1,45.0,0.0,1.11,39.0,44.0,-5.0,-0.15,0.75,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,5,0,0.0,63.0,79.0,4.0,165.0,17.0,39.0,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
31,"2,770",30.8,2,7,9,2,0,0,6,1,0.06,0.23,0.29,0.06,0.29,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,68.0,12.0,17.6,2.21,0.39,0.03,0.17,,0,0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"2,770",77,81.0,30.8,31,84.0,20.0,5,32.0,0.0,1.47,57.0,44.0,13.0,0.42,0.84,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,6,1,1.0,52.0,46.0,4.0,107.0,17.0,40.0,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
27,"2,225",24.7,2,2,4,2,0,0,8,0,0.08,0.08,0.16,0.08,0.16,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.0,10.0,26.3,1.54,0.4,0.05,0.2,,0,0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"2,225",67,70.6,24.7,27,78.0,9.0,6,19.0,0.0,1.18,29.0,44.0,-15.0,-0.61,-0.51,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,8,0,0.0,57.0,37.0,4.0,80.0,21.0,34.0,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
38,"3,296",36.6,5,14,19,2,3,3,3,0,0.14,0.38,0.52,0.05,0.44,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,69.0,21.0,30.4,1.88,0.57,0.03,0.1,,3,3,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,,,,,,,,,,,,,,,,,,"3,296",87,96.4,36.6,38,87.0,24.0,0,,0.0,1.47,59.0,60.0,-1.0,-0.03,1.42,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,,,3,0,0.0,42.0,73.0,9.0,220.0,19.0,42.0,,,0.0,Partidos,https://fbref.com/es/jugadores/4e07366b/Haris-Hajradinovic,,
