titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
4,411,4.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.44,,0.0,,0,0,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,411,69,13.4,4.6,4,,,2,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,2,0,,,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
33,"2,970",33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.03,,0.0,,0,0,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,970",90,97.1,33.0,33,,,0,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,4,0,,,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
33,"2,970",33.0,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,0.18,,0.0,,0,0,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,970",90,97.1,33.0,33,,,0,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,5,0,,,,,,,,,,,,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
25,"2,171",24.1,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,0.21,,0.2,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,171",87,70.9,24.1,25,,,0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,5,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,209,52,6.8,2.3,2,,,2,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,0,0,,4.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
5,636,7.1,0,1,1,0,0,0,3,0,0.0,0.14,0.14,0.0,0.14,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,0.57,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,636,49,20.8,7.1,5,,3.0,8,,12.0,2.31,14.0,6.0,8.0,1.13,0.28,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,3,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
25,"2,162",24.0,1,5,6,1,0,0,4,1,0.04,0.21,0.25,0.04,0.25,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.12,,0.33,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,162",83,70.7,24.0,25,,21.0,1,,3.0,2.38,44.0,15.0,29.0,1.21,0.81,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,4,1,,25.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
28,"2,491",27.7,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.0,1,10.0,0.36,0.04,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,491",86,81.4,27.7,28,,26.0,1,,3.0,1.9,49.0,27.0,22.0,0.79,-0.15,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,7,0,0.0,29.0,21.0,6.0,87.0,42.0,30.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
24,"2,070",23.0,1,4,5,1,0,0,5,0,0.04,0.17,0.22,0.04,0.22,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.0,6,37.5,0.7,0.26,0.06,0.17,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,070",86,67.6,23.0,24,,21.0,0,,9.0,2.17,54.0,21.0,33.0,1.43,0.62,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,5,0,0.0,22.0,17.0,2.0,102.0,36.0,37.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
31,"2,699",30.0,2,3,5,2,0,0,6,1,0.07,0.1,0.17,0.07,0.17,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.0,11,45.8,0.8,0.37,0.08,0.18,,0,0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,,,,,,,,,,,,,,,,,,"2,699",87,88.2,30.0,31,87.0,29.0,0,,0.0,1.29,38.0,42.0,-4.0,-0.13,-1.13,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,,,6,1,0.0,26.0,33.0,3.0,129.0,28.0,27.0,0.0,1.0,1.0,Partidos,https://fbref.com/es/jugadores/edd38473/Hasan-Ali-Kaldirim,,
