titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,90,90,3.3,1.0,1,,,0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,315,79,11.7,3.5,4,,,0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
23,"2,012",22.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"2,012",87,74.5,22.4,23,,,0,,,,,,,,,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,3,1,,,,,,,,,,,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
17,"1,518",16.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"1,518",89,45.6,16.9,17,,,0,,,,,,,,,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,3,1,,,,,,,,,,,,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
3,242,2.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.37,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,242,81,7.3,2.7,3,,2.0,0,,12.0,1.0,3.0,4.0,-1.0,-0.37,-0.84,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,0,1,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
17,"1,515",16.8,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"1,515",89,45.5,16.8,17,,16.0,0,,19.0,1.47,19.0,19.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,3,1,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
20,"1,800",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"1,800",90,54.1,20.0,20,,20.0,0,,15.0,1.0,22.0,29.0,-7.0,-0.35,-0.59,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
20,"1,800",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"1,800",90,54.1,20.0,20,,20.0,0,,14.0,1.35,29.0,30.0,-1.0,-0.05,0.13,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
35,"3,150",35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"3,150",90,94.6,35.0,35,90.0,35.0,0,,0.0,1.23,48.0,42.0,6.0,0.17,1.17,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,2,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
14,"1,260",14.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"1,260",90,36.8,14.0,14,90.0,14.0,0,,2.0,1.43,17.0,14.0,3.0,0.21,0.88,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,3,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
23,"2,070",23.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,,,,,,,,,,,,,,,,,,"2,070",90,71.9,23.0,23,90.0,23.0,0,,3.0,1.04,29.0,37.0,-8.0,-0.35,-0.9,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,,,3,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,1.0,Partidos,https://fbref.com/es/jugadores/b0c1bea5/Jakub-Slowik,,
