titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,27,14,0.8,0.3,0,,,2,,,,,,,,,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,0,0,,1.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
26,"2,300",25.6,5,4,9,4,1,1,4,0,0.2,0.16,0.35,0.16,0.31,,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,26.0,,,1.02,,0.15,,1,1,,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,"2,300",66,60.8,25.6,26,,,9,,,,,,,,,,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,4,0,,,,,,,,,,,,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
3,299,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4.0,,,1.2,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,299,37,7.9,3.3,3,,2.0,5,,8.0,0.43,2.0,7.0,-5.0,-1.51,-2.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,0,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
8,762,8.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5.0,,,0.59,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,762,59,20.2,8.5,8,,2.0,5,,1.0,1.38,11.0,8.0,3.0,0.35,0.53,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,3,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
6,509,5.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.18,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,509,64,13.5,5.7,6,,1.0,2,,6.0,0.75,6.0,7.0,-1.0,-0.18,0.29,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,2,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
19,"1,686",18.7,11,1,12,9,2,2,0,0,0.59,0.05,0.64,0.48,0.53,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,2,2,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,"1,686",62,52.0,18.7,19,81.0,10.0,8,19.0,1.0,2.19,28.0,8.0,20.0,1.07,-0.09,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,0,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
27,"2,408",26.8,13,0,13,12,1,1,2,0,0.49,0.0,0.49,0.45,0.45,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,1,1,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,"2,408",80,86.3,26.8,27,86.0,20.0,3,31.0,0.0,1.93,45.0,21.0,24.0,0.9,-0.52,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,2,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
15,"1,365",15.2,8,0,8,8,0,0,0,0,0.53,0.0,0.53,0.53,0.53,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,"1,365",85,48.9,15.2,15,89.0,13.0,1,29.0,0.0,2.19,25.0,13.0,12.0,0.79,0.16,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,0,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
11,986,11.0,3,0,3,3,0,1,2,0,0.27,0.0,0.27,0.27,0.27,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21.0,8.0,38.1,1.92,0.73,0.14,0.38,,0,1,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,986,90,37.8,11.0,11,90.0,9.0,0,,0.0,1.0,12.0,14.0,-2.0,-0.18,-0.4,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,2,0,0.0,11.0,11.0,2.0,5.0,0.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
9,809,9.0,4,1,5,3,1,1,1,0,0.44,0.11,0.56,0.33,0.44,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19.0,9.0,47.4,2.11,1.0,0.16,0.33,,1,1,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,,,,,,,,,,,,,,,,,,809,45,30.0,9.0,9,68.0,0.0,9,22.0,2.0,1.28,17.0,11.0,6.0,0.67,1.14,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,,,1,0,0.0,8.0,10.0,3.0,3.0,1.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/84e5adcd/Ali-Sowe,,
