titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,48,8,1.4,0.5,0,,,6,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,0,0,,1.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
1,124,1.4,0,1,1,0,0,0,0,0,0.0,0.73,0.73,0.0,0.73,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,1.45,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,124,25,3.6,1.4,1,,0.0,4,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,0,0,,3.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,3.33,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,27,7,0.8,0.3,0,,,4,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,0,0,,2.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
13,"1,120",12.4,3,1,4,3,0,0,3,0,0.24,0.08,0.32,0.24,0.32,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,11,,,0.88,,0.27,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,"1,120",66,32.7,12.4,13,,,4,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,3,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
8,902,10.0,3,1,4,3,0,0,4,0,0.3,0.1,0.4,0.3,0.4,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8,,,0.8,,0.38,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,902,41,26.4,10.0,8,,,14,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,4,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
19,"1,724",19.2,4,1,5,4,0,0,2,1,0.21,0.05,0.26,0.21,0.26,,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13,,,0.68,,0.31,,0,0,,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,"1,724",56,50.4,19.2,19,,,12,,,,,,,,,,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,2,1,,,,,,,,,,,,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
22,"1,842",20.5,3,2,5,2,1,1,1,0,0.15,0.1,0.24,0.1,0.2,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,24,,,1.17,,0.08,,1,1,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,"1,842",64,53.9,20.5,22,,9.0,7,,2.0,1.07,26.0,31.0,-5.0,-0.24,-0.47,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,1,0,,26.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
8,700,7.8,0,2,2,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10,,,1.29,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,700,50,16.9,7.8,8,,2.0,6,,1.0,0.86,6.0,6.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,3,0,,17.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
4,531,5.9,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,1.19,,0.14,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,531,48,17.4,5.9,4,,2.0,7,,1.0,1.45,9.0,10.0,-1.0,-0.17,-0.56,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,1,0,,11.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
16,"1,363",15.1,4,0,4,4,0,0,1,0,0.26,0.0,0.26,0.26,0.26,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,43.0,19,44.2,2.84,1.25,0.09,0.21,,0,0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,,,,,,,,,,,,,,,,,,"1,363",68,44.5,15.1,16,,8.0,4,,0.0,1.05,21.0,15.0,6.0,0.4,0.87,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,,,1,0,0.0,25.0,42.0,23.0,4.0,4.0,4.0,1.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/cbd4822d/Bengali-Fode-Koita,,
