titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,6,6,0.2,0.1,0,,0,1,5,0,0.0,0,0,0,0.0,0.28,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,0,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
2,155,1.7,0,1,1,0,0,0,0,0,0.0,0.58,0.58,0.0,0.58,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,155,26,5.4,1.7,2,60.0,0,4,9,2,1.67,4,3,1,0.58,0.98,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,0,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
3,256,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,256,37,8.9,2.8,3,63.0,0,4,17,6,2.0,4,1,3,1.05,-0.69,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,1,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
12,717,8.0,4,0,4,3,1,1,1,0,0.5,0.0,0.5,0.38,0.38,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,1,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,717,51,30.6,8.0,12,56.0,0,2,24,2,1.14,10,7,3,0.38,1.32,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,1,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
2,320,3.6,1,1,2,1,0,0,2,1,0.28,0.28,0.56,0.28,0.56,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,3.0,50.0,1.69,0.84,0.17,0.33,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,320,29,10.5,3.6,2,61.0,0,9,22,0,1.55,5,5,0,0.0,0.36,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,2,1,0,7.0,8.0,2.0,3.0,4.0,3.0,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
3,408,4.5,2,0,2,2,0,0,2,0,0.44,0.0,0.44,0.44,0.44,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,408,37,25.2,4.5,3,77.0,1,8,22,1,2.64,19,1,18,3.97,2.41,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,2,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
14,"1,165",12.9,9,1,10,8,1,2,2,0,0.7,0.08,0.77,0.62,0.7,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,2,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,"1,165",45,43.1,12.9,14,63.0,0,12,24,4,2.42,31,7,24,1.85,0.45,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,2,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
25,"1,991",22.1,10,2,12,10,0,0,3,0,0.45,0.09,0.54,0.45,0.54,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,"1,991",66,73.7,22.1,25,74.0,5,5,30,0,2.37,45,16,29,1.31,0.04,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,3,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
9,736,8.2,3,1,4,3,0,0,1,0,0.37,0.12,0.49,0.37,0.49,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,736,57,31.5,8.2,9,69.0,0,4,30,1,2.0,20,8,12,1.47,0.06,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,1,0,0,,,,,,,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
7,564,6.3,2,1,3,2,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.0,4.0,33.3,1.91,0.64,0.17,0.5,,0,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,,,,,,,,,,,,,,,,,,564,63,20.2,6.3,7,76.0,2,2,15,3,1.56,10,9,1,0.16,-0.33,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,,,0,0,0,18.0,4.0,2.0,16.0,5.0,5.0,,,0,Partidos,https://fbref.com/es/jugadores/03998238/Danylo-Sikan,,
