titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
10,"1,047",11.6,2,1,3,2,0,0,1,0,,,,,,,,0.17,0.09,0.26,0.17,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,0.52,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,047",48,34.2,11.6,10,,,12,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
6,650,7.2,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,0.83,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,650,27,21.2,7.2,6,,,18,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
7,909,10.1,1,0,1,1,0,0,5,0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,0.59,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,909,36,29.7,10.1,7,,,18,,,,,,,,,,,,,,5,0,,16.0,,,,,,,,,,,,
24,"2,104",23.4,2,0,2,2,0,0,7,0,,,,,,,,0.09,0.0,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,0.3,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,104",78,68.8,23.4,24,,18.0,3,,1.0,1.15,27.0,42.0,-15.0,-0.64,-0.27,,,,,,7,0,,36.0,,,,,,,,,,,,
27,"2,323",25.8,2,2,4,2,0,0,10,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,,48.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.0,7,23.3,1.16,0.27,0.07,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,323",80,75.9,25.8,27,,21.0,2,,0.0,1.66,33.0,22.0,11.0,0.43,1.16,,,,,,10,0,0.0,69.0,53.0,0.0,12.0,68.0,48.0,0.0,0.0,0.0,,,,
30,"2,651",29.5,2,2,4,2,0,0,8,1,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,50.0,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29.0,13,44.8,0.98,0.44,0.07,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,651",88,86.6,29.5,30,,28.0,0,,0.0,1.5,49.0,44.0,5.0,0.17,-1.37,,,,,,8,1,0.0,40.0,65.0,1.0,8.0,74.0,50.0,0.0,1.0,1.0,,,,
26,"2,198",24.4,2,0,2,2,0,0,10,0,1.7,1.7,0.7,2.4,35.0,113.0,14.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.1,0.07,0.1,61.0,39.0,31.0,28.0,2.0,28.0,45.0,62.2,17.0,32.0,11.0,21.0,37.0,98.0,53.0,2.0,1196.0,1397.0,85.6,20720.0,7021.0,551.0,626.0,88.0,485.0,535.0,90.7,119.0,155.0,76.8,0,0.7,0.5,-0.7,11.0,93.0,9.0,1.0,113.0,1397.0,1347.0,43.0,42.0,0.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,1196.0,7.0,19.0,84.0,442.0,1091.0,158.0,24.0,1663.0,40.0,28.0,70.0,12.0,30.0,911.0,4949.0,2651.0,35.0,40.0,2.0,28.0,22.0,1086.0,14.0,2,18.0,6,33.3,0.74,0.25,0.11,0.33,16.4,0.0,0,0,1.7,1.7,0.1,0.3,0.3,38.0,1.56,30.0,0.0,3.0,0.0,3.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,198",73,64.3,24.4,26,82.0,15.0,4,19.0,4.0,1.3,35.0,45.0,-10.0,-0.41,-0.48,34.7,41.4,-6.8,-0.28,0.29,10,0,0.0,43.0,34.0,1.0,2.0,37.0,39.0,0.0,0.0,0.0,191.0,76.0,43.0,63.9
24,"1,973",21.9,0,2,2,0,0,0,6,0,0.6,0.6,1.5,2.1,17.0,74.0,23.0,0.0,0.09,0.09,0.0,0.09,0.03,0.07,0.1,0.03,0.1,41.0,27.0,18.0,21.0,2.0,20.0,42.0,47.6,22.0,12.0,5.0,7.0,28.0,69.0,71.0,1.0,862.0,1066.0,80.9,12559.0,3526.0,482.0,562.0,85.8,280.0,331.0,84.6,50.0,77.0,64.9,2,1.5,0.9,0.5,10.0,58.0,5.0,1.0,74.0,1066.0,1033.0,30.0,29.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,862.0,3.0,21.0,85.0,372.0,792.0,151.0,15.0,1303.0,28.0,21.0,75.0,7.0,25.0,669.0,3247.0,1343.0,17.0,20.0,2.0,24.0,32.0,774.0,23.0,0,12.0,2,16.7,0.55,0.09,0.0,0.0,21.6,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,16.0,0.73,13.0,0.0,0.0,3.0,0.0,0.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,"1,973",76,57.7,21.9,24,80.0,17.0,2,29.0,6.0,0.96,23.0,28.0,-5.0,-0.23,0.21,21.3,28.9,-7.6,-0.35,-0.44,6,0,0.0,46.0,17.0,0.0,4.0,28.0,27.0,0.0,0.0,0.0,156.0,80.0,42.0,65.6
15,"1,317",14.6,0,1,1,0,0,0,4,0,0.9,0.9,0.7,1.5,5.0,54.0,5.0,0.0,0.07,0.07,0.0,0.07,0.06,0.05,0.1,0.06,0.1,38.0,25.0,21.0,13.0,4.0,17.0,35.0,48.6,18.0,15.0,3.0,12.0,35.0,73.0,33.0,1.0,439.0,536.0,81.9,6882.0,2492.0,223.0,258.0,86.4,151.0,177.0,85.3,40.0,51.0,78.4,1,0.7,0.8,0.3,6.0,39.0,2.0,0.0,54.0,536.0,519.0,15.0,7.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,439.0,2.0,11.0,57.0,232.0,412.0,95.0,11.0,726.0,25.0,19.0,76.0,6.0,24.0,351.0,1381.0,554.0,5.0,5.0,1.0,23.0,9.0,324.0,5.0,0,12.0,0,0.0,0.82,0.0,0.0,,21.1,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,14.0,0.96,9.0,0.0,0.0,1.0,4.0,0.0,3.0,0.21,2.0,0.0,0.0,1.0,0.0,0.0,"1,317",82,38.5,14.6,15,87.0,12.0,1,13.0,0.0,0.88,17.0,20.0,-3.0,-0.21,1.42,19.0,23.8,-4.9,-0.33,0.83,4,0,0.0,25.0,28.0,1.0,2.0,35.0,25.0,0.0,2.0,0.0,124.0,41.0,27.0,60.3
3,462,5.1,0,0,0,0,0,0,4,1,0.4,0.4,0.3,0.7,7.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,14.0,8.0,8.0,4.0,2.0,5.0,9.0,55.6,4.0,5.0,2.0,3.0,10.0,24.0,9.0,0.0,237.0,276.0,85.9,3778.0,1095.0,124.0,134.0,92.5,79.0,91.0,86.8,24.0,34.0,70.6,0,0.3,0.1,-0.3,5.0,22.0,1.0,0.0,14.0,276.0,266.0,10.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,237.0,0.0,4.0,15.0,86.0,220.0,36.0,6.0,336.0,9.0,7.0,77.8,2.0,22.2,194.0,968.0,474.0,7.0,4.0,1.0,13.0,5.0,214.0,6.0,0,3.0,0,0.0,0.58,0.0,0.0,,17.6,0.0,0,0,0.4,0.4,0.15,-0.4,-0.4,7.0,1.37,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462,39,13.5,5.1,3,90.0,3.0,9,21.0,7.0,1.58,3.0,10.0,-7.0,-1.36,-1.52,5.9,6.9,-0.9,-0.18,-0.19,4,1,0.0,13.0,6.0,2.0,1.0,10.0,8.0,0.0,0.0,0.0,25.0,17.0,7.0,70.8
