titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
2,219,2.4,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.41,0.41,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.41,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,219,55,7.2,2.4,2,,2.0,2,,,,,,,,,,,,,,1,0,,3.0,,,,,,,,,,,,
15,"1,351",15.0,1,0,1,1,0,0,1,0,,,,,,,,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,0.47,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,351",79,44.2,15.0,15,,14.0,2,,,,,,,,,,,,,,1,0,,18.0,,,,,,,,,,,,
9,810,9.0,1,0,1,1,0,0,2,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.11,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,810,90,23.7,9.0,9,,,0,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.9,1.0,1,,1.0,0,,9.0,3.0,3.0,1.0,2.0,2.0,0.85,,,,,,0,0,,0.0,,,,,,,,,,,,
7,622,6.9,1,1,2,1,0,0,1,1,,,,,,,,0.14,0.14,0.29,0.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.58,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,622,89,18.2,6.9,7,,6.0,0,,0.0,2.14,20.0,8.0,12.0,1.74,2.22,,,,,,1,1,,,,,,,,,,,,,,
11,960,10.7,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,960,87,26.7,10.7,11,,10.0,0,,8.0,2.18,19.0,9.0,10.0,0.94,-0.12,,,,,,1,0,,,,,,,,,,,,,,
26,"2,340",26.0,2,0,2,2,0,0,4,1,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,0.23,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,340",90,65.0,26.0,26,,25.0,0,,4.0,2.15,60.0,24.0,36.0,1.38,0.38,,,,,,4,1,,37.0,,,,,,,,,,,,
39,"3,510",39.0,1,1,2,1,0,0,6,0,,,,,,,,0.03,0.03,0.05,0.03,0.05,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,7,,0.0,0.18,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,510",90,97.5,39.0,39,,39.0,0,,0.0,1.82,67.0,37.0,30.0,0.77,-3.23,,,,,,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33,"2,831",31.5,2,1,3,2,0,0,8,0,2.3,2.3,2.6,4.8,45.0,185.0,14.0,0.06,0.03,0.1,0.06,0.1,0.07,0.08,0.15,0.07,0.15,51.0,38.0,24.0,25.0,2.0,18.0,43.0,41.9,25.0,31.0,10.0,21.0,42.0,93.0,120.0,0.0,1573.0,1886.0,83.4,32525.0,12158.0,485.0,545.0,89.0,848.0,924.0,91.8,222.0,372.0,59.7,1,2.6,2.0,-1.6,19.0,197.0,23.0,4.0,185.0,1886.0,1777.0,100.0,55.0,5.0,37.0,15.0,44.0,1.0,0.0,1.0,0.0,1573.0,9.0,9.0,124.0,771.0,1211.0,221.0,45.0,2187.0,8.0,6.0,75.0,2.0,25.0,1157.0,6372.0,3864.0,45.0,42.0,1.0,16.0,7.0,1433.0,14.0,2,37.0,9,24.3,1.18,0.29,0.05,0.22,19.0,9.0,0,0,2.3,2.3,0.06,-0.3,-0.3,45.0,1.43,33.0,4.0,0.0,5.0,2.0,1.0,2.0,0.06,0.0,0.0,0.0,1.0,1.0,0.0,"2,831",86,78.6,31.5,33,,27.0,0,,4.0,2.0,63.0,33.0,30.0,0.95,-0.22,54.4,30.2,24.3,0.77,-0.09,8,0,0.0,49.0,32.0,1.0,15.0,42.0,38.0,1.0,1.0,0.0,177.0,65.0,45.0,59.1
35,"3,040",33.8,1,1,2,1,0,0,8,0,1.8,1.8,0.8,2.6,58.0,237.0,11.0,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.08,0.05,0.08,56.0,40.0,25.0,28.0,3.0,20.0,36.0,55.6,16.0,34.0,19.0,15.0,61.0,117.0,71.0,2.0,1742.0,2054.0,84.8,35863.0,14032.0,521.0,580.0,89.8,976.0,1061.0,92.0,236.0,373.0,63.3,1,0.8,1.8,0.2,16.0,220.0,21.0,2.0,237.0,2054.0,1932.0,111.0,54.0,0.0,29.0,9.0,56.0,0.0,0.0,0.0,0.0,1742.0,11.0,10.0,133.0,839.0,1278.0,238.0,31.0,2339.0,9.0,5.0,55.6,4.0,44.4,1177.0,6461.0,3998.0,58.0,45.0,1.0,23.0,12.0,1561.0,11.0,1,23.0,9,39.1,0.68,0.27,0.04,0.11,17.1,6.0,0,0,1.8,1.8,0.08,-0.8,-0.8,54.0,1.6,48.0,1.0,1.0,3.0,0.0,1.0,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0,"3,040",87,84.4,33.8,35,87.0,33.0,0,,1.0,1.94,71.0,33.0,38.0,1.13,0.8,64.8,37.6,27.2,0.8,0.4,8,0,0.0,52.0,28.0,2.0,9.0,61.0,40.0,0.0,0.0,0.0,177.0,70.0,36.0,66.0
25,"2,240",24.9,0,1,1,0,0,0,7,1,1.2,1.2,0.6,1.8,20.0,113.0,8.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,49.0,28.0,29.0,19.0,1.0,26.0,44.0,59.1,18.0,23.0,8.0,15.0,31.0,80.0,68.0,0.0,1091.0,1282.0,85.1,20022.0,7648.0,447.0,490.0,91.2,528.0,598.0,88.3,101.0,153.0,66.0,1,0.6,0.7,0.4,9.0,99.0,7.0,0.0,113.0,1282.0,1145.0,128.0,52.0,0.0,8.0,7.0,76.0,0.0,0.0,0.0,0.0,1091.0,9.0,11.0,116.0,614.0,793.0,111.0,15.0,1504.0,7.0,5.0,71.4,2.0,28.6,828.0,4556.0,2639.0,20.0,17.0,1.0,11.0,3.0,912.0,8.0,0,10.0,1,10.0,0.4,0.04,0.0,0.0,10.9,0.0,0,0,1.2,1.2,0.12,-1.2,-1.2,27.0,1.08,21.0,1.0,0.0,2.0,3.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,"2,240",86,65.5,24.9,25,89.0,23.0,1,7.0,7.0,1.27,33.0,45.0,-12.0,-0.48,-0.41,38.4,35.9,2.5,0.1,0.13,7,1,1.0,28.0,29.0,1.0,7.0,31.0,28.0,0.0,2.0,1.0,123.0,47.0,39.0,54.7
