titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
19,"2,000",22.2,10,1,11,10,0,0,5,0,0.45,0.05,0.5,0.45,0.5,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0,20.0,,0.0,0.9,,0.5,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"2,000",63,65.4,22.2,19,,15,13,,0,1.28,25,29,-4,-0.18,0.07,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,5,0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
12,"1,313",14.6,3,1,4,3,0,0,3,0,0.21,0.07,0.27,0.21,0.27,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38.0,15.0,39.5,2.6,1.03,0.08,0.2,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"1,313",49,42.9,14.6,12,,9,15,,6,1.04,16,30,-14,-0.96,-1.11,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,3,0,0,38.0,28.0,11.0,9.0,6.0,5.0,0.0,1.0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
33,"2,895",32.2,11,3,14,11,0,0,4,0,0.34,0.09,0.44,0.34,0.44,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,94.0,28.0,29.8,2.92,0.87,0.12,0.39,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"2,895",88,94.6,32.2,33,88.0,24,0,,0,1.39,45,48,-3,-0.09,2.63,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,4,0,0,101.0,69.0,23.0,14.0,7.0,11.0,0.0,0.0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
31,"2,707",30.1,16,3,19,15,1,2,5,0,0.53,0.1,0.63,0.5,0.6,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,89.0,39.0,43.8,2.96,1.3,0.17,0.38,,1,2,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"2,707",80,88.5,30.1,31,83.0,20,3,40.0,0,1.53,43,34,9,0.3,1.32,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,5,0,0,59.0,73.0,9.0,5.0,4.0,16.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
32,"2,673",29.7,27,3,30,23,4,4,4,0,0.91,0.1,1.01,0.77,0.88,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,104.0,46.0,44.2,3.5,1.55,0.22,0.5,,4,4,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"2,673",81,87.4,29.7,32,83.0,10,1,29.0,0,1.55,56,44,12,0.4,1.33,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,4,0,0,56.0,65.0,22.0,11.0,5.0,3.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
20,"1,869",20.8,15,3,18,11,4,5,2,0,0.72,0.14,0.87,0.53,0.67,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,85.0,35.0,41.2,4.09,1.69,0.13,0.31,,4,5,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,"1,869",57,54.6,20.8,20,77.0,6,13,25.0,0,1.91,44,19,25,1.2,0.62,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,2,0,0,41.0,33.0,6.0,4.0,4.0,12.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
3,364,4.0,1,3,4,1,0,0,1,0,0.25,0.74,0.99,0.25,0.99,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.0,4.0,33.3,2.97,0.99,0.08,0.25,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,364,20,11.9,4.0,3,50.0,0,15,14.0,14,2.22,16,8,8,1.98,0.74,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,1,0,0,10.0,11.0,0.0,2.0,1.0,0.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
1,227,2.5,3,2,5,3,0,0,0,0,1.19,0.79,1.98,1.19,1.98,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.0,6.0,50.0,4.76,2.38,0.25,0.5,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,227,25,6.6,2.5,1,90.0,1,8,17.0,4,2.56,14,1,13,5.15,3.6,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,0,0,0,11.0,7.0,1.0,1.0,0.0,2.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
6,812,9.0,3,0,3,2,1,1,0,0,0.33,0.0,0.33,0.22,0.22,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27.0,11.0,40.7,2.99,1.22,0.07,0.18,,1,1,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,812,37,23.7,9.0,6,79.0,3,16,21.0,0,0.95,10,13,-3,-0.33,-0.33,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,0,0,0,9.0,17.0,3.0,1.0,2.0,2.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
2,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.0,1.0,11.1,2.43,0.27,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,,,,,,,,,,,,,,,,,,334,28,12.0,3.7,2,82.0,0,10,17.0,7,0.83,1,6,-5,-1.35,-1.13,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,,,1,0,0,2.0,7.0,1.0,0.0,0.0,1.0,,,0,Partidos,https://fbref.com/es/jugadores/a80d2da5/Serdar-Dursun,,
