Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Kenan Pirić,baBIH,PO,30-297,30,30,"2,700",30.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Partidos,0.0,0.0,,0.0,0.0,,,,53.0,1.77,127.0,80.0,63.0,10.0,7.0,13.0,5.0,16.7,6.0,6.0,6.0,6.0,0.0,0.0,90,93.8,90,30,0,,0,1.23,31,53,-22,-0.73,-1.73,0.0,1.0,12.0,0.0,0.0,1.0,0.0,,,/es/jugadores/00b86f5e/Kenan-Piric
Veysel Sarı,trTUR,DF,36-279,27,27,"2,404",26.7,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Partidos,16.0,4.0,25.0,0.58,0.14,0.06,0.25,,,,,,,,,,,,,,,,,,89,86.6,89,25,0,,1,1.39,30,41,-11,-0.40,+1.70,0.0,26.0,39.0,2.0,1.0,36.0,34.0,,,/es/jugadores/494d18b6/Veysel-Sari
Sam Larsson,seSWE,"DL,CC",32-020,27,27,"2,195",24.4,6,4,10,5,1,1,2,0,0.25,0.16,0.41,0.21,0.37,Partidos,29.0,15.0,51.7,1.15,0.59,0.17,0.33,,,,,,,,,,,,,,,,,,81,79.0,81,11,0,,0,1.32,25,46,-21,-0.83,-0.98,0.0,22.0,21.0,5.0,19.0,15.0,14.0,,,/es/jugadores/32e73151/Sam-Larsson
Thalisson Kelven,brBRA,DF,26-358,28,24,"2,250",25.0,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Partidos,13.0,5.0,38.5,0.5,0.19,0.08,0.2,,,,,,,,,,,,,,,,,,81,81.3,90,25,4,23,1,1.34,27,48,-21,-0.81,-0.97,0.0,36.0,20.0,2.0,1.0,41.0,31.0,,,/es/jugadores/18e87471/Thalisson-Kelven
Jakub Kałuziński,plPOL,CC,22-181,30,24,"2,208",24.5,0,7,7,0,0,0,6,0,0.00,0.29,0.29,0.00,0.29,Partidos,29.0,2.0,6.9,1.14,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,74,79.8,84,19,6,31,0,1.39,25,39,-14,-0.55,+0.38,0.0,35.0,38.0,2.0,149.0,18.0,20.0,,,/es/jugadores/28683ce2/Jakub-Kaluzinski
Güray Vural,trTUR,DF,36-323,24,24,"2,058",22.9,0,1,1,0,0,0,4,1,0.00,0.04,0.04,0.00,0.04,Partidos,23.0,3.0,13.0,1.01,0.13,0.0,0.0,,,,,,,,,,,,,,,,,,86,71.5,86,16,0,,0,1.17,21,39,-18,-0.79,-0.57,0.0,24.0,13.0,12.0,93.0,23.0,30.0,,,/es/jugadores/26b3d752/Guray-Vural
Braian Samudio,pyPAR,"DL,CC",29-128,30,24,"2,006",22.3,7,1,8,5,2,2,1,0,0.31,0.04,0.36,0.22,0.27,Partidos,53.0,24.0,45.3,2.28,1.03,0.09,0.21,,,,,,,,,,,,,,,,,,68,72.7,78,11,6,25,0,1.35,24,39,-15,-0.64,-0.07,0.0,38.0,24.0,11.0,29.0,3.0,16.0,,,/es/jugadores/8da9409e/Braian-Samudio
Sander van de Streek,nlNED,"CC,DL",32-037,29,21,"1,887",21.0,2,1,3,2,0,0,3,0,0.10,0.05,0.14,0.10,0.14,Partidos,42.0,12.0,28.6,1.91,0.55,0.05,0.17,,,,,,,,,,,,,,,,,,66,68.6,79,12,8,29,1,1.33,24,32,-8,-0.36,+0.83,0.0,44.0,30.0,1.0,50.0,13.0,25.0,,,/es/jugadores/9afce63a/Sander-van-de-Streek
Erdal Rakip,mkMKD,CC,29-076,23,21,"1,570",17.4,1,1,2,1,0,0,10,1,0.06,0.06,0.11,0.06,0.11,Partidos,15.0,4.0,26.7,0.81,0.22,0.07,0.25,,,,,,,,,,,,,,,,,,69,57.6,73,4,2,24,2,1.38,19,32,-13,-0.71,-0.19,1.0,48.0,35.0,2.0,5.0,23.0,22.0,,,/es/jugadores/e150254d/Erdal-Rakip
Soner Dikmen,trTUR,CC,31-241,25,17,"1,422",15.8,4,0,4,4,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Partidos,16.0,6.0,37.5,1.01,0.38,0.25,0.67,,,,,,,,,,,,,,,,,,55,49.7,75,5,9,17,1,1.38,19,26,-7,-0.44,+0.37,0.0,24.0,11.0,0.0,10.0,16.0,14.0,,,/es/jugadores/9b00a9bd/Soner-Dikmen
Ramzi Safouri,ilISR,CC,29-191,24,12,"1,210",13.4,3,1,4,3,0,1,1,0,0.22,0.07,0.30,0.22,0.30,Partidos,26.0,10.0,38.5,1.8,0.69,0.15,0.4,,,,,,,,,,,,,,,,,,52,45.1,77,3,12,25,0,1.40,18,28,-10,-0.69,-0.12,0.0,14.0,28.0,2.0,54.0,2.0,6.0,,,/es/jugadores/dde7068b/Ramzi-Safouri
Bünyamin Balcı,trTUR,DF,24-334,15,12,"1,067",11.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Partidos,3.0,2.0,66.7,0.24,0.16,0.0,0.0,,,,,,,,,,,,,,,,,,70,38.6,79,7,3,27,6,1.38,9,27,-18,-1.46,-1.36,0.0,9.0,12.0,1.0,18.0,20.0,23.0,,,/es/jugadores/7d7b3e47/Bunyamin-Balci
Oleksandr Petrusenko,uaUKR,CC,27-035,20,12,"1,057",11.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.0,0.0,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,50,36.8,74,5,9,20,5,1.29,11,23,-12,-1.02,-0.62,0.0,20.0,15.0,0.0,0.0,16.0,13.0,,,/es/jugadores/376916d3/Oleksandr-Petrusenko
Moussa Djenepo,mlMLI,"CC,DL",26-319,21,11,"1,032",11.5,2,0,2,2,0,0,8,0,0.17,0.00,0.17,0.17,0.17,Partidos,11.0,4.0,36.4,0.96,0.35,0.18,0.5,,,,,,,,,,,,,,,,,,47,35.9,73,2,11,21,1,1.05,9,22,-13,-1.13,-0.79,0.0,27.0,32.0,6.0,18.0,5.0,7.0,,,/es/jugadores/254147d4/Moussa-Djenepo
Mert Yilmaz,trTUR,DF,26-053,15,11,889,9.9,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Partidos,4.0,1.0,25.0,0.39,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,58,32.4,76,6,5,19,13,1.50,12,11,+1,+0.10,+1.07,0.0,9.0,15.0,1.0,17.0,14.0,11.0,,,/es/jugadores/5d5b3efa/Mert-Yilmaz
