titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
16,"1,394",15.5,2,3,5,2,0,0,0,1,,,,,,,,0.13,0.19,0.32,0.13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14,,,0.9,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,394",66,51.6,15.5,16,,,5,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
23,"2,092",23.2,6,0,6,6,0,0,4,0,,,,,,,,0.26,0.0,0.26,0.26,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,17,,,0.73,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,092",72,70.4,23.2,23,,13.0,6,,2.0,1.55,33.0,23.0,10.0,0.43,0.94,,,,,,4,0,,,,,,,,,,,,,,
23,"2,014",22.4,12,3,15,11,1,1,4,0,,,,,,,,0.54,0.13,0.67,0.49,0.63,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,32,,0.0,1.43,,0.34,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,014",72,67.8,22.4,23,,12.0,5,,0.0,1.21,36.0,40.0,-4.0,-0.18,-0.18,,,,,,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
16,"1,580",17.6,9,1,10,9,0,0,8,0,3.1,3.1,1.3,4.4,39.0,91.0,57.0,0.51,0.06,0.57,0.51,0.57,0.18,0.07,0.25,0.18,0.25,39.0,26.0,14.0,16.0,9.0,10.0,38.0,26.3,28.0,11.0,0.0,11.0,16.0,55.0,7.0,0.0,520.0,683.0,76.1,9176.0,2631.0,252.0,295.0,85.4,183.0,220.0,83.2,63.0,118.0,53.4,1,1.3,1.3,-0.3,23.0,83.0,8.0,0.0,91.0,683.0,602.0,78.0,27.0,2.0,15.0,55.0,6.0,42.0,15.0,15.0,3.0,520.0,3.0,14.0,17.0,129.0,451.0,307.0,20.0,875.0,43.0,25.0,58.1,18.0,41.9,534.0,2740.0,1533.0,39.0,18.0,7.0,42.0,34.0,569.0,57.0,9,37.0,13,35.1,2.11,0.74,0.24,0.69,24.6,16.0,0,0,3.1,3.1,0.08,5.9,5.9,57.0,3.25,40.0,10.0,2.0,2.0,2.0,1.0,6.0,0.34,6.0,0.0,0.0,0.0,0.0,0.0,"1,580",61,46.2,17.6,16,82.0,8.0,10,26.0,8.0,1.35,28.0,27.0,1.0,0.06,0.79,23.1,24.7,-1.6,-0.09,0.75,8,0,0.0,39.0,25.0,3.0,55.0,16.0,26.0,0.0,0.0,0.0,93.0,4.0,15.0,21.1
31,"2,836",31.5,3,4,7,3,0,0,6,0,3.6,3.6,3.8,7.4,68.0,150.0,128.0,0.1,0.13,0.22,0.1,0.22,0.12,0.12,0.24,0.12,0.24,70.0,43.0,30.0,34.0,6.0,28.0,87.0,32.2,59.0,35.0,3.0,32.0,31.0,101.0,36.0,1.0,864.0,1188.0,72.7,13783.0,4114.0,432.0,528.0,81.8,291.0,364.0,79.9,83.0,171.0,48.5,4,3.8,2.7,0.2,29.0,94.0,26.0,6.0,150.0,1188.0,1084.0,98.0,39.0,3.0,15.0,72.0,7.0,33.0,13.0,15.0,0.0,864.0,6.0,40.0,57.0,307.0,745.0,545.0,40.0,1564.0,72.0,43.0,59.7,29.0,40.3,838.0,4858.0,2567.0,68.0,62.0,8.0,69.0,56.0,995.0,128.0,3,66.0,18,27.3,2.09,0.57,0.05,0.17,24.5,21.0,0,0,3.6,3.6,0.06,-0.6,-0.6,84.0,2.67,63.0,6.0,6.0,4.0,4.0,1.0,9.0,0.29,7.0,1.0,1.0,0.0,0.0,0.0,"2,836",79,82.9,31.5,31,86.0,23.0,5,32.0,0.0,1.14,51.0,51.0,0.0,0.0,1.08,47.4,61.4,-14.0,-0.44,0.83,6,0,0.0,61.0,47.0,5.0,72.0,31.0,43.0,1.0,1.0,0.0,198.0,10.0,27.0,27.0
23,"2,114",23.5,7,2,9,7,0,0,5,0,5.1,5.1,3.5,8.7,58.0,111.0,117.0,0.3,0.09,0.38,0.3,0.38,0.22,0.15,0.37,0.22,0.37,24.0,11.0,7.0,15.0,2.0,8.0,35.0,22.9,27.0,15.0,4.0,11.0,15.0,39.0,19.0,0.0,627.0,865.0,72.5,9544.0,2988.0,370.0,437.0,84.7,163.0,230.0,70.9,54.0,106.0,50.9,2,3.5,1.7,-1.5,32.0,63.0,24.0,6.0,111.0,865.0,792.0,70.0,18.0,2.0,12.0,65.0,9.0,35.0,20.0,4.0,0.0,627.0,3.0,31.0,26.0,217.0,495.0,424.0,48.0,1124.0,57.0,37.0,64.9,20.0,35.1,681.0,3626.0,1851.0,58.0,33.0,15.0,48.0,26.0,787.0,117.0,7,58.0,19,32.8,2.47,0.81,0.12,0.37,21.4,11.0,0,0,5.1,5.1,0.09,1.9,1.9,78.0,3.32,46.0,10.0,11.0,8.0,3.0,0.0,8.0,0.34,3.0,0.0,2.0,2.0,1.0,0.0,"2,114",70,61.8,23.5,23,85.0,16.0,7,23.0,2.0,1.33,35.0,34.0,1.0,0.04,0.52,31.1,36.9,-5.8,-0.25,0.37,5,0,0.0,46.0,45.0,4.0,65.0,15.0,11.0,1.0,0.0,0.0,118.0,5.0,27.0,15.6
19,"1,682",18.7,1,2,3,1,0,0,4,0,2.7,2.7,1.1,3.9,44.0,117.0,117.0,0.05,0.11,0.16,0.05,0.16,0.15,0.06,0.21,0.15,0.21,28.0,12.0,8.0,16.0,4.0,10.0,36.0,27.8,26.0,8.0,2.0,6.0,21.0,49.0,14.0,0.0,656.0,888.0,73.9,11539.0,3260.0,303.0,342.0,88.6,236.0,306.0,77.1,83.0,155.0,53.5,2,1.1,1.5,0.9,21.0,63.0,27.0,10.0,117.0,888.0,787.0,89.0,31.0,2.0,13.0,65.0,10.0,47.0,14.0,10.0,0.0,656.0,12.0,25.0,26.0,206.0,504.0,405.0,35.0,1098.0,57.0,35.0,61.4,22.0,38.6,703.0,3605.0,1903.0,44.0,41.0,5.0,42.0,36.0,772.0,117.0,1,36.0,13,36.1,1.93,0.7,0.03,0.08,20.9,5.0,0,0,2.7,2.7,0.08,-1.7,-1.7,55.0,2.94,43.0,6.0,3.0,2.0,1.0,0.0,5.0,0.27,4.0,1.0,0.0,0.0,0.0,0.0,"1,682",65,49.2,18.7,19,80.0,9.0,7,23.0,2.0,0.92,16.0,29.0,-13.0,-0.7,-0.8,17.9,28.4,-10.5,-0.56,-0.43,4,0,0.0,27.0,24.0,4.0,65.0,21.0,12.0,0.0,0.0,0.0,120.0,5.0,19.0,20.8
17,"1,701",18.9,3,3,6,1,2,2,3,0,3.9,2.2,3.0,5.3,41.0,103.0,105.0,0.16,0.16,0.32,0.05,0.21,0.2,0.16,0.37,0.12,0.28,29.0,12.0,12.0,14.0,3.0,12.0,35.0,34.3,23.0,13.0,2.0,11.0,10.0,39.0,7.0,0.0,529.0,749.0,70.6,8708.0,2774.0,278.0,330.0,84.2,153.0,220.0,69.5,66.0,130.0,50.8,3,3.0,3.0,0.0,42.0,54.0,17.0,1.0,103.0,749.0,639.0,103.0,32.0,9.0,15.0,87.0,15.0,52.0,17.0,21.0,0.0,529.0,7.0,19.0,12.0,124.0,425.0,461.0,41.0,993.0,74.0,38.0,51.4,36.0,48.6,597.0,2971.0,1436.0,41.0,31.0,12.0,52.0,32.0,669.0,105.0,3,41.0,8,19.5,2.17,0.42,0.02,0.13,24.3,9.0,2,2,3.9,2.2,0.05,-0.9,-1.2,83.0,4.39,44.0,23.0,3.0,8.0,5.0,0.0,5.0,0.26,2.0,2.0,1.0,0.0,0.0,0.0,"1,701",57,49.7,18.9,17,78.0,6.0,13,29.0,2.0,0.87,27.0,44.0,-17.0,-0.9,-0.48,26.6,28.5,-1.9,-0.1,-0.21,3,0,0.0,33.0,44.0,4.0,87.0,10.0,12.0,0.0,1.0,0.0,95.0,6.0,8.0,42.9
12,"1,333",14.8,6,0,6,5,1,1,2,0,,,,,,,,0.41,0.0,0.41,0.34,0.34,,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,43.0,20,46.5,2.9,1.35,0.12,0.25,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,333",44,42.3,14.8,12,74.0,3.0,18,25.0,3.0,1.47,27.0,22.0,5.0,0.34,0.09,,,,,,2,0,0.0,33.0,27.0,2.0,79.0,4.0,12.0,,,0.0,,,,
26,"2,359",26.2,7,4,11,7,0,0,3,0,,,,,,,,0.27,0.15,0.42,0.27,0.42,,,,,,,22.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,56.0,21,37.5,2.14,0.8,0.13,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,359",67,69.0,26.2,26,83.0,14.0,9,21.0,3.0,1.74,47.0,34.0,13.0,0.5,-0.01,,,,,,3,0,0.0,37.0,40.0,4.0,105.0,9.0,22.0,,,0.0,,,,
