titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
31,"2,783",30.9,4,2,6,4,0,0,8,0,,,,,,,,0.13,0.06,0.19,0.13,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11,,,0.36,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,783",90,90.9,30.9,31,,31,0,,1,1.68,42,31,11,0.36,1.01,,,,,,8,0,,14,,,,,,,,,,,,
38,"3,382",37.6,1,2,3,0,1,2,6,1,,,,,,,,0.03,0.05,0.08,0.0,0.05,,,,,,,100.0,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.0,8,36.4,0.59,0.21,0.0,0.0,,,1,2,,,,,,,,,,,,,,,,,,,,,,"3,382",89,98.9,37.6,38,,37,0,,0,1.34,40,53,-13,-0.35,2.02,,,,,,6,1,1.0,37,28.0,4.0,314.0,52.0,100.0,1.0,1.0,0.0,,,,
30,"2,657",29.5,2,3,5,2,0,0,3,0,1.4,1.4,5.0,6.4,56.0,145.0,121.0,0.07,0.1,0.17,0.07,0.17,0.05,0.17,0.22,0.05,0.22,73.0,46.0,40.0,27.0,6.0,31.0,68.0,45.6,37.0,42.0,6.0,36.0,38.0,111.0,85.0,0.0,1006.0,1580.0,63.7,17382.0,10631.0,525.0,615.0,85.4,312.0,499.0,62.5,136.0,336.0,40.5,3,5.0,5.8,-2.0,54.0,107.0,44.0,30.0,145.0,1580.0,1156.0,409.0,70.0,0.0,10.0,248.0,258.0,81.0,25.0,49.0,0.0,1006.0,15.0,61.0,84.0,502.0,801.0,671.0,20.0,1953.0,51.0,24.0,47.1,27.0,52.9,846.0,4046.0,2265.0,56.0,45.0,5.0,52.0,37.0,954.0,121.0,2,32.0,7,21.9,1.08,0.24,0.06,0.29,25.4,12.0,0,0,1.4,1.4,0.04,0.6,0.6,103.0,3.49,47.0,42.0,6.0,6.0,1.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,"2,657",81,77.7,29.5,30,85.0,25,3,39.0,1,1.45,26,26,0,0.0,0.59,32.5,28.1,4.4,0.15,0.23,3,0,0.0,28,25.0,4.0,248.0,38.0,46.0,0.0,0.0,0.0,192.0,41.0,43.0,48.8
28,"2,496",27.7,0,4,4,0,0,0,6,0,1.0,1.0,5.0,5.9,83.0,154.0,177.0,0.0,0.14,0.14,0.0,0.14,0.03,0.18,0.21,0.03,0.21,49.0,28.0,26.0,15.0,8.0,20.0,53.0,37.7,33.0,39.0,3.0,36.0,29.0,78.0,62.0,1.0,1226.0,1774.0,69.1,19910.0,9527.0,650.0,737.0,88.2,406.0,593.0,68.5,122.0,297.0,41.1,4,5.0,4.8,-1.0,49.0,104.0,40.0,19.0,154.0,1774.0,1327.0,436.0,76.0,2.0,9.0,215.0,313.0,47.0,19.0,21.0,0.0,1226.0,11.0,67.0,56.0,436.0,896.0,767.0,29.0,2072.0,40.0,22.0,55.0,18.0,45.0,1025.0,5133.0,3111.0,83.0,62.0,8.0,57.0,31.0,1120.0,177.0,0,21.0,4,19.0,0.76,0.14,0.0,0.0,23.5,5.0,0,0,1.0,1.0,0.05,-1.0,-1.0,96.0,3.46,58.0,29.0,1.0,1.0,6.0,1.0,7.0,0.25,4.0,2.0,0.0,1.0,0.0,0.0,"2,496",81,73.0,27.7,28,89.0,26,3,5.0,5,1.1,36,40,-4,-0.14,-0.53,35.2,35.6,-0.4,-0.01,-0.25,6,0,0.0,46,31.0,7.0,215.0,29.0,28.0,0.0,0.0,0.0,181.0,39.0,45.0,46.4
3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,12.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15,7.0,2.0,4.0,3.0,0.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,1.0,8.0,3.0,0.0,125.0,181.0,69.1,2173.0,816.0,59.0,66.0,89.4,46.0,67.0,68.7,15.0,34.0,44.1,0,0.3,0.4,-0.3,5.0,13.0,1.0,1.0,19.0,181.0,140.0,40.0,10.0,0.0,1.0,32.0,17.0,13.0,2.0,11.0,0.0,125.0,1.0,6.0,3.0,51.0,81.0,76.0,1.0,205.0,3.0,2.0,66.7,1.0,33.3,114.0,713.0,458.0,12.0,8.0,0.0,4.0,4.0,122.0,14.0,0,4.0,1,25.0,1.33,0.33,0.0,0.0,29.7,2.0,0,0,0.1,0.1,0.04,-0.1,-0.1,12.0,4.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,90,10.7,3.0,3,90.0,3,0,,0,1.33,3,3,0,0.0,0.12,3.5,2.9,0.6,0.2,0.28,0,0,0.0,6,6.0,0.0,32.0,1.0,2.0,0.0,0.0,0.0,22.0,3.0,4.0,42.9
23,"2,029",22.5,1,2,3,1,0,0,5,1,,,,,,,,0.04,0.09,0.13,0.04,0.13,,,,,,,25.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.0,6,21.4,1.24,0.27,0.04,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,029",88,75.1,22.5,23,88.0,21,0,,0,1.48,35,28,7,0.31,-0.49,,,,,,5,1,0.0,26,32.0,3.0,155.0,26.0,25.0,0.0,0.0,0.0,,,,
26,"2,318",25.8,0,3,3,0,0,0,5,0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,,25.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.0,5,41.7,0.47,0.19,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,318",86,85.9,25.8,26,88.0,23,1,19.0,1,1.33,39,46,-7,-0.27,0.91,,,,,,5,0,0.0,47,28.0,3.0,114.0,38.0,25.0,,,0.0,,,,
20,"1,840",20.4,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.0,2,20.0,0.49,0.1,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,840",63,53.8,20.4,20,88.0,16,9,8.0,8,1.83,30,22,8,0.39,-0.29,,,,,,2,0,0.0,26,10.0,0.0,78.0,24.0,19.0,,,0.0,,,,
26,"2,219",24.7,1,2,3,1,0,0,3,0,,,,,,,,0.04,0.08,0.12,0.04,0.12,,,,,,,22.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.0,4,33.3,0.49,0.16,0.08,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,219",77,72.5,24.7,26,84.0,17,3,14.0,4,1.69,32,19,13,0.53,0.1,,,,,,3,0,0.0,32,17.0,4.0,86.0,15.0,22.0,,,0.0,,,,
20,"1,894",21.0,1,2,3,1,0,0,4,0,,,,,,,,0.05,0.1,0.14,0.05,0.14,,,,,,,20.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0,1,10.0,0.48,0.05,0.1,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,894",59,55.4,21.0,20,85.0,18,12,16.0,4,1.66,29,26,3,0.14,-0.51,,,,,,4,0,0.0,26,17.0,2.0,48.0,18.0,20.0,,,0.0,,,,
