titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,,,,,,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,3,,,,,,,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,0.0,0.0,,3.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
1,106,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.5,0.0,0.0,,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,106,53.0,3.1,1.2,1,,1,1,,2,1.5,1.0,4.0,-3.0,-2.55,-3.28,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
0,60,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,7.0,,0.0,0.76,,0.57,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,60,30.0,1.8,0.7,0,,0,2,,2,0.5,0.0,1.0,-1.0,-1.5,-2.3,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
9,826,9.2,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.44,0.22,0.65,0.44,0.65,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,4.0,,0.0,0.25,,0.75,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,826,52.0,24.2,9.2,9,,4,7,,1,1.44,13.0,16.0,-3.0,-0.33,-0.29,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,6.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
15,"1,460",16.2,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,0.18,0.18,0.37,0.18,0.37,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,8.0,36.4,0.86,0.31,0.09,0.25,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,"1,460",56.0,42.7,16.2,15,,10,11,,1,1.31,17.0,29.0,-12.0,-0.74,-0.14,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,0.0,1.0,0.0,48.0,42.0,2.0,11.0,13.0,32.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
26,"2,307",25.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.08,0.04,0.12,0.08,0.12,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,64.0,17.0,26.6,2.02,0.54,0.06,0.24,,0.0,1.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,"2,307",85.0,91.5,25.6,26,87.0,23,1,45.0,0,0.93,29.0,39.0,-10.0,-0.39,0.03,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,5.0,0.0,0.0,69.0,78.0,9.0,55.0,19.0,38.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
33,"2,850",31.7,4.0,2.0,6.0,4.0,0.0,1.0,5.0,0.0,0.13,0.06,0.19,0.13,0.19,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,25.0,4.0,1.0,0.0,0.0,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,"2,850",84.0,85.6,31.7,33,86.0,27,1,27.0,0,1.21,32.0,42.0,-10.0,-0.32,2.31,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,5.0,25.0,1.42,0.36,0.05,0.2,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,90,90.0,2.6,1.0,1,90.0,1,0,,0,1.0,0.0,0.0,0.0,0.0,0.08,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,4.0,0.0,0.0,39.0,31.0,2.0,14.0,16.0,20.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
13,"1,266",14.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,28.0,9.0,32.1,1.3,0.42,0.11,0.33,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,"1,266",58.0,37.0,14.1,13,84.0,10,9,19.0,5,1.41,21.0,20.0,1.0,0.07,0.41,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,5.0,0.0,0.0,43.0,36.0,1.0,39.0,20.0,24.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
23,"1,940",21.6,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,0.14,0.19,0.32,0.14,0.32,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,6.0,40.0,1.55,0.62,0.13,0.33,,0.0,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,,,,,,,,,,,,,,,,,,"1,940",72.0,63.4,21.6,23,82.0,13,4,11.0,1,1.3,31.0,42.0,-11.0,-0.51,-0.91,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,,,2.0,0.0,0.0,18.0,10.0,2.0,40.0,5.0,7.0,,,0.0,Partidos,https://fbref.com/es/jugadores/22f1de6c/Olivier-Kemen,,
