Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Mert Günok,trTUR,PO,36-060,30,30,"2,700",30.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,30.0,0.97,111.0,82.0,73.9,15.0,10.0,6.0,10.0,32.3,1.0,1.0,1.0,1.0,0.0,0.0,90,96.9,90,31,0,,0,1.77,48,30,+18,+0.58,+1.58,0,1,2,0,0,0,0,,,/es/jugadores/b583aef5/Mert-Gunok
Rafa Silva,ptPOR,CC,31-348,30,30,"2,650",29.4,10,4,14,10,0,0,4,0,0.34,0.14,0.48,0.34,0.48,Partidos,75,37,49.3,2.46,1.22,0.13,0.27,,,,,,,,,,,,,,,,,,88,95.1,88,17,0,,0,1.68,43,30,+13,+0.43,-2.14,0,13,56,8,61,8,11,,,/es/jugadores/70cf63ca/Rafa-Silva
Gedson Fernandes,ptPOR,CC,26-111,30,30,"2,586",28.7,5,0,5,4,1,1,3,1,0.17,0.00,0.17,0.14,0.14,Partidos,47,16,34.0,1.58,0.54,0.11,0.31,,,,,,,,,,,,,,,,,,86,92.9,86,25,0,,0,1.77,43,29,+14,+0.47,-0.85,1,37,69,5,22,40,50,,,/es/jugadores/e2dde94c/Gedson-Fernandes
Arthur Masuaku,cdCOD,DF,31-174,28,26,"2,322",25.8,0,6,6,0,0,0,8,0,0.00,0.23,0.23,0.00,0.23,Partidos,25,5,20.0,0.93,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,83,83.8,88,24,2,23,1,1.66,35,27,+8,+0.30,-1.43,0,26,26,2,159,26,39,,,/es/jugadores/57df7a11/Arthur-Masuaku
Jonas Svensson,noNOR,DF,32-055,26,26,"2,273",25.3,0,2,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Partidos,5,1,20.0,0.19,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,88,82.0,88,23,0,,1,1.81,40,24,+16,+0.61,+0.44,0,35,43,0,19,35,31,,,/es/jugadores/deb20131/Jonas-Svensson
Ciro Immobile,itITA,DL,35-069,26,23,"1,823",20.3,14,3,17,6,8,8,3,0,0.69,0.15,0.84,0.30,0.44,Partidos,60,23,38.3,2.96,1.13,0.10,0.26,,,,,,,,,,,,,,,,,,68,63.3,76,6,4,19,2,1.81,32,18,+14,+0.69,+0.44,0,17,16,12,8,3,5,,,/es/jugadores/4431aed2/Ciro-Immobile
Ohis Felix Uduokhai,deGER,DF,27-233,21,21,"1,854",20.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,12,2,16.7,0.57,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,86,65.4,88,20,1,29,1,1.68,30,21,+9,+0.43,-0.29,0,19,19,0,1,25,14,,,/es/jugadores/677da306/Ohis-Felix-Uduokhai
Milot Rashica,xkKVX,CC,28-306,25,21,"1,817",20.2,2,5,7,2,0,0,2,0,0.10,0.25,0.35,0.10,0.35,Partidos,25,8,32.0,1.18,0.38,0.08,0.25,,,,,,,,,,,,,,,,,,73,66.2,81,7,4,31,0,1.92,34,20,+14,+0.66,+0.38,0,30,26,8,137,15,25,,,/es/jugadores/6c6a3300/Milot-Rashica
Emir Topçu,trTUR,DF,24-201,26,20,"1,803",20.0,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Partidos,8,3,37.5,0.40,0.15,0.13,0.33,,,,,,,,,,,,,,,,,,69,62.6,81,13,6,30,2,1.69,32,20,+12,+0.60,+0.18,0,19,15,2,9,31,18,,,/es/jugadores/1828145a/Emir-Topcu
João Mário,ptPOR,CC,32-101,22,16,"1,342",14.9,2,3,5,1,1,1,1,0,0.13,0.20,0.34,0.07,0.27,Partidos,25,6,24.0,1.65,0.40,0.04,0.17,,,,,,,,,,,,,,,,,,59,47.4,74,5,7,25,6,1.70,22,15,+7,+0.46,-0.13,0,17,13,2,46,2,15,,,/es/jugadores/f0021247/Joao-Mario
Gabriel Paulista,brBRA,DF,34-155,15,15,"1,189",13.2,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Partidos,9,2,22.2,0.63,0.14,0.11,0.50,,,,,,,,,,,,,,,,,,80,44.4,80,12,0,,1,1.81,25,15,+10,+0.70,+0.31,0,8,9,0,1,24,3,,,/es/jugadores/b7ca5c51/Gabriel-Paulista
Almoatasem Al Musrati,lyLBY,CC,29-024,16,13,"1,174",13.0,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Partidos,11,4,36.4,0.84,0.31,0.09,0.25,,,,,,,,,,,,,,,,,,73,40.8,81,7,3,38,2,1.75,18,12,+6,+0.46,-0.12,0,19,5,0,3,18,20,,,/es/jugadores/cd6a1a59/Almoatasem-Al-Musrati
Ernest Muçi,alALB,CC,24-042,24,13,"1,133",12.6,4,1,5,4,0,0,1,0,0.32,0.08,0.40,0.32,0.40,Partidos,40,14,35.0,3.18,1.11,0.10,0.29,,,,,,,,,,,,,,,,,,47,39.3,67,1,11,24,1,1.58,17,7,+10,+0.79,+0.43,0,16,20,8,47,8,11,,,/es/jugadores/1f1229a9/Ernest-Muci
