titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
20,"1,779",19.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,,0.0,0.1,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,779",85.0,58.1,19.8,20,,19,1,,4,1.43,26.0,26.0,0.0,0.0,0.7,,,,,,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
17,"1,560",17.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.2,0.2,0.0,0.2,14.0,52.0,5.0,0.06,0.0,0.06,0.06,0.06,0.01,0.0,0.01,0.01,0.01,42.0,23.0,27.0,13.0,2.0,17.0,24.0,70.8,7.0,23.0,10.0,13.0,34.0,76.0,66.0,6.0,793.0,924.0,85.8,16542.0,6271.0,232.0,264.0,87.9,436.0,471.0,92.6,120.0,171.0,70.2,0.0,0.0,0.2,0.0,1.0,33.0,4.0,0.0,52.0,924.0,874.0,48.0,44.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,793.0,2.0,12.0,102.0,579.0,491.0,31.0,8.0,1097.0,9.0,5.0,55.6,4.0,44.4,533.0,3082.0,1786.0,14.0,10.0,1.0,10.0,6.0,691.0,5.0,1.0,4.0,1.0,25.0,0.23,0.06,0.25,1.0,16.3,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,6.0,0.35,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,560",82.0,51.0,17.3,17,,16,2,,3,0.89,16.0,25.0,-9.0,-0.52,-0.34,16.8,27.2,-10.4,-0.6,-0.15,2.0,1.0,1.0,18.0,11.0,1.0,1.0,34.0,23.0,0.0,0.0,0.0,67.0,36.0,22.0,62.1
2,244,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,13.0,7.0,7.0,5.0,1.0,9.0,10.0,90.0,1.0,6.0,2.0,4.0,6.0,19.0,11.0,1.0,113.0,141.0,80.1,2224.0,921.0,40.0,45.0,88.9,52.0,66.0,78.8,19.0,25.0,76.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,15.0,141.0,121.0,20.0,4.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,113.0,0.0,3.0,9.0,67.0,95.0,27.0,2.0,188.0,5.0,3.0,60.0,2.0,40.0,85.0,607.0,444.0,5.0,2.0,0.0,5.0,1.0,106.0,4.0,0.0,1.0,0.0,0.0,0.37,0.0,0.0,,11.7,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.0,1.48,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,22.0,8.0,2.7,2,95.0,2,9,6.0,20,2.64,6.0,3.0,3.0,1.11,0.82,2.9,4.3,-1.4,-0.51,-0.53,2.0,0.0,0.0,8.0,5.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,6.0,8.0,3.0,72.7
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,26.0,30.0,12.0,1.0,19.0,29.0,65.5,10.0,40.0,30.0,10.0,36.0,79.0,125.0,2.0,743.0,921.0,80.7,14859.0,4935.0,239.0,272.0,87.9,388.0,442.0,87.8,103.0,175.0,58.9,0.0,0.2,0.1,-0.2,5.0,28.0,0.0,0.0,55.0,921.0,890.0,30.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,1.0,10.0,213.0,764.0,418.0,27.0,12.0,1198.0,6.0,4.0,66.7,2.0,33.3,663.0,3565.0,1861.0,9.0,5.0,0.0,8.0,11.0,626.0,2.0,0.0,4.0,0.0,0.0,0.18,0.0,0.0,,18.6,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,11.0,0.5,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,3.0,0.0,0.0,14.0,15.0,1.0,0.0,36.0,26.0,0.0,0.0,0.0,123.0,79.0,46.0,63.2
21,"1,966",21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.2,0.4,9.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,33.0,24.0,19.0,10.0,4.0,18.0,27.0,66.7,9.0,48.0,25.0,23.0,54.0,87.0,164.0,2.0,1215.0,1491.0,81.5,23316.0,8271.0,452.0,522.0,86.6,615.0,683.0,90.0,139.0,239.0,58.2,0.0,0.3,1.0,-0.3,3.0,73.0,5.0,2.0,94.0,1491.0,1408.0,79.0,58.0,0.0,15.0,5.0,21.0,0.0,0.0,0.0,0.0,1215.0,4.0,20.0,279.0,1029.0,768.0,77.0,29.0,1858.0,19.0,15.0,78.9,4.0,21.1,1064.0,5880.0,3331.0,21.0,9.0,4.0,17.0,10.0,1103.0,13.0,1.0,13.0,3.0,23.1,0.45,0.1,0.08,0.33,12.3,0.0,0.0,0.0,1.7,1.7,0.13,-0.7,-0.7,16.0,0.55,13.0,1.0,0.0,1.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,"1,966",76.0,64.2,21.8,21,90.0,21,5,15.0,6,1.15,21.0,39.0,-18.0,-0.82,-0.82,24.0,34.8,-10.8,-0.49,-0.27,5.0,0.0,0.0,23.0,25.0,0.0,5.0,54.0,24.0,0.0,1.0,1.0,143.0,100.0,51.0,66.2
29,"2,610",29.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,0.3,2.0,21.0,94.0,13.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,9.0,6.0,6.0,3.0,0.0,6.0,11.0,54.5,5.0,13.0,8.0,5.0,9.0,18.0,33.0,0.0,324.0,420.0,77.1,6392.0,2408.0,105.0,115.0,91.3,178.0,209.0,85.2,37.0,80.0,46.3,0.0,0.0,0.1,0.0,0.0,23.0,3.0,0.0,28.0,420.0,394.0,25.0,13.0,0.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,324.0,1.0,6.0,65.0,289.0,196.0,23.0,3.0,502.0,9.0,8.0,88.9,1.0,11.1,292.0,1570.0,831.0,7.0,3.0,0.0,1.0,5.0,310.0,4.0,0.0,2.0,0.0,0.0,0.23,0.0,0.0,,11.5,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2,5.0,0.57,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,"2,610",90.0,85.3,29.0,29,90.0,29,0,,0,1.14,28.0,42.0,-14.0,-0.48,0.32,28.7,46.5,-17.8,-0.61,-0.18,1.0,0.0,0.0,6.0,7.0,0.0,4.0,9.0,6.0,0.0,0.0,0.0,42.0,23.0,12.0,65.7
8,787,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,7.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,30.0,20.0,14.0,13.0,3.0,15.0,29.0,51.7,14.0,27.0,14.0,13.0,29.0,59.0,61.0,1.0,558.0,734.0,76.0,10809.0,3480.0,187.0,225.0,83.1,315.0,361.0,87.3,50.0,120.0,41.7,1.0,0.3,0.4,0.7,3.0,34.0,2.0,0.0,52.0,734.0,702.0,29.0,25.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,558.0,3.0,13.0,100.0,493.0,414.0,27.0,12.0,928.0,13.0,6.0,46.2,5.0,38.5,470.0,2443.0,1165.0,12.0,1.0,0.0,10.0,5.0,486.0,5.0,0.0,4.0,1.0,25.0,0.25,0.06,0.0,0.0,9.5,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,13.0,0.81,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,787,61.0,25.7,8.7,8,83.0,7,5,25.0,3,0.92,5.0,25.0,-20.0,-2.29,-2.41,7.9,21.0,-13.2,-1.51,-1.19,3.0,1.0,0.0,21.0,13.0,0.0,1.0,29.0,20.0,0.0,0.0,0.0,85.0,43.0,46.0,48.3
16,"1,450",16.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.3,0.6,12.0,52.0,5.0,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.04,0.02,0.04,37.0,21.0,18.0,14.0,5.0,16.0,25.0,64.0,9.0,45.0,35.0,10.0,46.0,83.0,178.0,2.0,1349.0,1658.0,81.4,25826.0,9681.0,477.0,549.0,86.9,725.0,815.0,89.0,132.0,261.0,50.6,0.0,0.8,1.3,-0.8,9.0,93.0,5.0,0.0,101.0,1658.0,1562.0,91.0,45.0,0.0,11.0,3.0,4.0,0.0,0.0,0.0,0.0,1349.0,5.0,6.0,299.0,1027.0,916.0,103.0,53.0,2036.0,7.0,6.0,85.7,1.0,14.3,1077.0,5100.0,2608.0,25.0,11.0,1.0,17.0,7.0,1202.0,6.0,2.0,13.0,3.0,23.1,0.4,0.09,0.15,0.67,9.2,0.0,0.0,0.0,1.4,1.4,0.11,0.6,0.6,20.0,0.62,12.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,450",76.0,47.4,16.1,16,86.0,14,3,25.0,1,0.95,18.0,27.0,-9.0,-0.56,0.11,17.1,23.2,-6.2,-0.38,0.61,5.0,1.0,1.0,29.0,23.0,0.0,3.0,46.0,21.0,1.0,0.0,1.0,150.0,111.0,68.0,62.0
33,"2,921",32.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.4,1.4,0.8,2.2,25.0,101.0,6.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07,,14.0,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,2.0,16.7,0.58,0.1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,921",89.0,95.5,32.5,33,89.0,31,0,,0,1.15,49.0,59.0,-10.0,-0.31,-0.31,42.2,54.9,-12.7,-0.39,-1.29,1.0,0.0,0.0,19.0,17.0,0.0,1.0,25.0,14.0,,,0.0,,,,
21,"1,854",20.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,854",88.0,66.5,20.6,21,88.0,20,0,,1,1.62,30.0,21.0,9.0,0.44,-0.24,,,,,,,,,,,,,,,,,,,,,
