titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,180,90,5.3,2.0,2,,2,0,,10,0.0,1,5,-4,-2.0,-1.86,,,,,,0,0,,8,,,,,,,,,,,,
19,"1,510",16.8,0,0,0,0,0,0,6,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,510",76,44.2,16.8,19,,15,1,,0,1.3,17,16,1,0.06,0.39,,,,,,6,1,,29,,,,,,,,,,,,
21,"1,850",20.6,1,0,1,1,0,0,2,2,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,,36.0,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.0,4,25.0,0.78,0.19,0.06,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,850",80,54.1,20.6,21,,18,2,,0,1.0,16,28,-12,-0.58,0.16,,,,,,2,2,0.0,24,23.0,1.0,14.0,71.0,36.0,0.0,1.0,0.0,,,,
28,"2,520",28.0,0,0,0,0,0,0,10,0,1.6,1.6,0.1,1.7,21.0,123.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,65.0,43.0,52.0,11.0,2.0,25.0,52.0,48.1,27.0,34.0,5.0,29.0,57.0,122.0,155.0,2.0,1042.0,1297.0,80.3,21167.0,8596.0,347.0,414.0,83.8,527.0,627.0,84.1,155.0,224.0,69.2,0,0.1,0.2,-0.1,3.0,75.0,4.0,1.0,123.0,1297.0,1240.0,52.0,43.0,0.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,1042.0,5.0,2.0,117.0,702.0,885.0,58.0,22.0,1635.0,7.0,6.0,85.7,1.0,14.3,677.0,4598.0,2816.0,21.0,7.0,0.0,9.0,6.0,850.0,3.0,0,18.0,2,11.1,0.64,0.07,0.0,0.0,13.2,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6,17.0,0.61,11.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,520",90,73.7,28.0,28,90.0,28,0,,0,1.0,20,33,-13,-0.46,0.74,30.4,31.7,-1.4,-0.05,0.34,10,0,0.0,43,39.0,0.0,5.0,57.0,43.0,0.0,0.0,0.0,187.0,81.0,48.0,62.8
31,"2,754",30.6,1,0,1,1,0,0,9,1,1.2,1.2,0.3,1.4,7.0,68.0,3.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,48.0,37.0,33.0,13.0,2.0,23.0,43.0,53.5,20.0,56.0,31.0,25.0,83.0,131.0,183.0,3.0,1175.0,1418.0,82.9,24773.0,9459.0,351.0,411.0,85.4,625.0,702.0,89.0,190.0,277.0,68.6,0,0.3,0.3,-0.3,3.0,51.0,5.0,0.0,68.0,1418.0,1352.0,65.0,51.0,0.0,16.0,3.0,11.0,0.0,0.0,0.0,0.0,1175.0,1.0,12.0,212.0,1065.0,750.0,38.0,17.0,1840.0,13.0,8.0,61.5,5.0,38.5,799.0,4048.0,2076.0,7.0,5.0,1.0,14.0,13.0,961.0,3.0,1,7.0,1,14.3,0.23,0.03,0.14,1.0,11.1,0.0,0,0,1.2,1.2,0.17,-0.2,-0.2,22.0,0.72,18.0,0.0,0.0,1.0,1.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,"2,754",89,80.5,30.6,31,89.0,30,0,,1,0.94,19,40,-21,-0.69,-0.15,27.2,47.2,-19.9,-0.65,1.09,9,1,0.0,50,43.0,1.0,3.0,83.0,37.0,0.0,2.0,0.0,175.0,83.0,53.0,61.0
23,"2,064",22.9,1,1,2,1,0,0,6,0,2.6,2.6,0.3,2.9,6.0,93.0,5.0,0.04,0.04,0.09,0.04,0.09,0.11,0.01,0.13,0.11,0.13,46.0,32.0,27.0,19.0,0.0,21.0,29.0,72.4,8.0,14.0,8.0,6.0,55.0,101.0,82.0,4.0,1056.0,1233.0,85.6,21138.0,7421.0,338.0,375.0,90.1,537.0,597.0,89.9,157.0,217.0,72.4,1,0.3,0.4,0.7,6.0,58.0,4.0,2.0,93.0,1233.0,1199.0,31.0,27.0,1.0,18.0,6.0,4.0,0.0,0.0,0.0,0.0,1056.0,3.0,6.0,111.0,655.0,781.0,63.0,15.0,1486.0,17.0,12.0,70.6,5.0,29.4,883.0,3743.0,2088.0,6.0,8.0,2.0,11.0,12.0,935.0,5.0,1,20.0,7,35.0,0.87,0.31,0.05,0.14,18.1,0.0,0,0,2.6,2.6,0.13,-1.6,-1.6,19.0,0.83,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,064",83,84.9,22.9,23,88.0,22,2,19.0,1,1.52,29,24,5,0.22,1.45,30.5,27.2,3.3,0.14,0.46,6,0,0.0,37,23.0,0.0,6.0,55.0,32.0,0.0,1.0,0.0,128.0,60.0,27.0,69.0
29,"2,552",28.4,0,0,0,0,0,0,8,0,2.0,2.0,0.6,2.7,11.0,83.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,60.0,41.0,45.0,13.0,2.0,32.0,52.0,61.5,20.0,28.0,10.0,18.0,91.0,151.0,104.0,0.0,1134.0,1351.0,83.9,24532.0,9351.0,264.0,296.0,89.2,671.0,741.0,90.6,182.0,269.0,67.7,0,0.6,0.6,-0.6,4.0,70.0,1.0,0.0,83.0,1351.0,1307.0,42.0,39.0,1.0,12.0,8.0,2.0,1.0,0.0,1.0,0.0,1134.0,2.0,8.0,159.0,885.0,722.0,75.0,22.0,1670.0,6.0,5.0,83.3,1.0,16.7,918.0,4598.0,2139.0,11.0,11.0,0.0,9.0,7.0,1022.0,7.0,0,16.0,3,18.8,0.56,0.11,0.0,0.0,17.1,1.0,0,0,2.0,2.0,0.14,-2.0,-2.0,22.0,0.78,15.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,552",85,74.6,28.4,29,87.0,24,1,27.0,0,1.27,33,37,-4,-0.14,0.38,35.9,31.5,4.4,0.15,0.39,8,0,0.0,50,36.0,2.0,8.0,91.0,41.0,0.0,2.0,0.0,152.0,53.0,36.0,59.6
30,"2,694",29.9,1,0,1,1,0,0,10,1,2.1,2.1,0.6,2.8,15.0,156.0,3.0,0.03,0.0,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09,50.0,37.0,33.0,13.0,4.0,18.0,35.0,51.4,17.0,30.0,13.0,17.0,61.0,111.0,90.0,2.0,1357.0,1650.0,82.2,28085.0,11345.0,427.0,492.0,86.8,681.0,771.0,88.3,229.0,339.0,67.6,0,0.6,1.7,-0.6,9.0,149.0,18.0,5.0,156.0,1650.0,1562.0,81.0,56.0,1.0,36.0,15.0,5.0,0.0,0.0,0.0,0.0,1357.0,7.0,9.0,175.0,783.0,1044.0,136.0,25.0,1945.0,16.0,7.0,43.8,9.0,56.3,1188.0,6184.0,3325.0,15.0,25.0,0.0,17.0,7.0,1247.0,3.0,1,15.0,7,46.7,0.5,0.23,0.07,0.14,11.3,0.0,0,0,2.1,2.1,0.14,-1.1,-1.1,34.0,1.14,31.0,1.0,0.0,2.0,0.0,0.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,"2,694",87,78.8,29.9,30,88.0,27,1,45.0,1,1.42,43,35,8,0.27,-0.85,40.9,36.0,4.9,0.16,-0.73,10,1,1.0,44,28.0,2.0,15.0,61.0,37.0,0.0,2.0,0.0,142.0,71.0,29.0,71.0
31,"2,677",29.7,1,2,3,1,0,0,8,1,1.4,1.4,0.7,2.1,4.0,136.0,4.0,0.03,0.07,0.1,0.03,0.1,0.05,0.02,0.07,0.05,0.07,53.0,36.0,37.0,16.0,0.0,26.0,46.0,56.5,20.0,45.0,19.0,26.0,66.0,119.0,151.0,3.0,1215.0,1507.0,80.6,25533.0,10650.0,326.0,384.0,84.9,679.0,778.0,87.3,190.0,303.0,62.7,2,0.7,1.2,1.3,11.0,117.0,13.0,4.0,136.0,1507.0,1431.0,72.0,56.0,0.0,20.0,6.0,9.0,0.0,0.0,0.0,0.0,1215.0,4.0,13.0,241.0,878.0,932.0,74.0,26.0,1873.0,6.0,4.0,66.7,2.0,33.3,1173.0,6156.0,2955.0,4.0,9.0,1.0,8.0,7.0,1035.0,4.0,1,17.0,5,29.4,0.57,0.17,0.06,0.2,14.4,1.0,0,0,1.4,1.4,0.08,-0.4,-0.4,24.0,0.81,22.0,1.0,0.0,1.0,0.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,"2,677",86,78.3,29.7,31,86.0,27,0,,2,1.13,40,44,-4,-0.13,0.35,38.4,43.6,-5.2,-0.18,0.01,8,1,0.0,39,26.0,2.0,6.0,66.0,36.0,0.0,0.0,0.0,162.0,92.0,35.0,72.4
23,"2,022",22.5,3,1,4,3,0,0,7,1,,,,,,,,0.13,0.04,0.18,0.13,0.18,,,,,,,26.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13.0,3,23.1,0.58,0.13,0.23,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,022",81,59.1,22.5,23,86.0,20,2,24.0,1,2.68,55,19,36,1.6,-0.46,,,,,,7,1,1.0,37,21.0,1.0,3.0,54.0,26.0,,,0.0,,,,
