titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
23,"2,070",23.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,070",90,69.7,23.0,23,,,0,,,,,,,,,,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,0,,,,,,,,,,,,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
35,"3,150",35.0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,150",90,97.2,35.0,35,,35.0,0,,1.0,1.31,45.0,50.0,-5.0,-0.14,3.86,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,1,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
32,"2,872",31.9,0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,872",90,88.6,31.9,32,,31.0,0,,0.0,0.5,25.0,56.0,-31.0,-0.97,0.5,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,1,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
22,"1,980",22.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,980",90,61.1,22.0,22,,22.0,0,,7.0,2.36,36.0,12.0,24.0,1.09,-0.34,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
33,"2,970",33.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,970",90,91.7,33.0,33,,33.0,0,,2.0,2.03,63.0,31.0,32.0,0.97,0.3,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
21,"1,890",21.0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,890",90,58.3,21.0,21,90.0,21.0,0,,10.0,2.48,37.0,10.0,27.0,1.29,-0.51,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,1,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
26,"2,340",26.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,340",90,72.2,26.0,26,90.0,26.0,0,,3.0,2.12,46.0,15.0,31.0,1.19,0.09,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
33,"2,955",32.8,0,,,0,0,0,0,0,0.0,,,0.0,,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,955",90,91.2,32.8,33,90.0,32.0,0,,0.0,2.36,72.0,25.0,47.0,1.43,-1.41,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,0,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
34,"3,060",34.0,0,,,0,0,0,2,0,0.0,,,0.0,,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,060",90,94.4,34.0,34,90.0,34.0,0,,0.0,2.15,64.0,21.0,43.0,1.26,-0.24,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,2,0,0.0,,,,,,,,,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
35,"3,142",34.9,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,142",90,97.0,34.9,35,90.0,34.0,0,,1.0,2.23,76.0,28.0,48.0,1.37,-3.22,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,,,1,0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,,,0.0,Partidos,https://fbref.com/es/jugadores/58f077c0/Dominik-Livakovic,,
