titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
17,"1,811",20.1,8,5,13,8,0,0,3,0,,,,,,,,0.4,0.25,0.65,0.4,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,29,,,1.44,,0.28,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,811",65,59.2,20.1,17,,15,11,,,,,,,,,,,,,,3,0,,44,,,,,,,,,,,,
29,"2,629",29.2,26,6,32,26,0,1,4,0,,,,,,,,0.89,0.21,1.1,0.89,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,58,,,1.99,,0.45,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,629",82,85.9,29.2,29,,26,3,,,,,,,,,,,,,,4,0,,63,,,,,,,,,,,,
33,"3,002",33.4,22,6,28,20,2,2,4,0,,,,,,,,0.66,0.18,0.84,0.6,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,76,,,2.28,,0.26,,,2,2,,,,,,,,,,,,,,,,,,,,,,"3,002",88,98.1,33.4,33,,31,1,,,,,,,,,,,,,,4,0,,58,,,,,,,,,,,,
17,"1,516",16.8,10,0,10,10,0,1,4,0,,,,,,,,0.59,0.0,0.59,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,24,,,1.42,,0.42,,,0,1,,,,,,,,,,,,,,,,,,,,,,"1,516",89,49.5,16.8,17,,15,0,,,,,,,,,,,,,,4,0,,32,,,,,,,,,,,,
8,854,9.5,2,2,4,2,0,0,0,0,,,,,,,,0.21,0.21,0.42,0.21,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,,,1.05,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,854,57,25.0,9.5,8,,7,7,,,,,,,,,,,,,,0,0,,15,,,,,,,,,,,,
16,"1,509",16.8,14,3,17,14,0,0,1,0,,,,,,,,0.83,0.18,1.01,0.83,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,35,,,2.09,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,509",50,44.1,16.8,16,,10,14,,,,,,,,,,,,,,1,0,,22,,,,,,,,,,,,
16,"1,822",20.2,14,3,17,14,0,1,4,0,,,,,,,,0.69,0.15,0.84,0.69,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,43,,,2.12,,0.33,,,0,1,,,,,,,,,,,,,,,,,,,,,,"1,822",57,53.3,20.2,16,,9,16,,,,,,,,,,,,,,4,0,,16,,,,,,,,,,,,
23,"1,986",22.1,16,1,17,16,0,0,4,0,,,,,,,,0.73,0.05,0.77,0.73,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,39,,,1.77,,0.41,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,986",64,58.1,22.1,23,,10,8,,,,,,,,,,,,,,4,0,,28,,,,,,,,,,,,
11,932,10.4,4,2,6,4,0,0,1,0,,,,,,,,0.39,0.19,0.58,0.39,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13,,,1.26,,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,932,42,27.3,10.4,11,,2,11,,7.0,1.73,16.0,9.0,7.0,0.68,-0.7,,,,,,1,0,,13,,,,,,,,,,,,
21,"1,959",21.8,8,6,14,6,2,2,4,1,,,,,,,,0.37,0.28,0.64,0.28,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,33,,,1.52,,0.18,,,2,2,,,,,,,,,,,,,,,,,,,,,,"1,959",63,57.3,21.8,21,,15,10,,3.0,2.03,44.0,24.0,20.0,0.92,-0.44,,,,,,4,1,,45,,,,,,,,,,,,
33,"3,048",33.9,29,9,38,28,1,3,4,0,,,,,,,,0.86,0.27,1.12,0.83,1.09,,,,,,,11.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,177.0,80,45.2,5.23,2.36,0.16,0.35,,,1,3,,,,,,,,,,,,,,,,,,,,,,"3,048",82,89.1,33.9,33,,25,4,,0.0,2.27,77.0,33.0,44.0,1.3,-0.64,,,,,,4,0,0.0,52,51.0,28.0,22.0,12.0,11.0,4.0,0.0,0.0,,,,
33,"3,018",33.5,16,3,19,16,0,0,6,0,17.4,17.4,3.9,21.2,59.0,95.0,289.0,0.48,0.09,0.57,0.48,0.57,0.52,0.12,0.63,0.52,0.63,15.0,10.0,1.0,9.0,5.0,3.0,15.0,20.0,12.0,9.0,1.0,8.0,4.0,19.0,36.0,0.0,546.0,796.0,68.6,9295.0,1863.0,259.0,350.0,74.0,157.0,229.0,68.6,83.0,106.0,78.3,3,3.9,2.7,-0.9,48.0,63.0,19.0,1.0,95.0,796.0,730.0,57.0,4.0,9.0,16.0,19.0,0.0,1.0,0.0,0.0,0.0,546.0,9.0,35.0,36.0,51.0,468.0,653.0,213.0,1162.0,63.0,41.0,65.1,21.0,33.3,681.0,3907.0,1382.0,59.0,35.0,32.0,86.0,73.0,935.0,289.0,16,152.0,56,36.8,4.53,1.67,0.11,0.29,14.5,0.0,0,0,17.4,17.4,0.11,-1.4,-1.4,122.0,3.64,89.0,1.0,17.0,9.0,6.0,0.0,8.0,0.24,6.0,0.0,1.0,1.0,0.0,0.0,"3,018",84,88.2,33.5,33,,29,3,,1.0,1.97,55.0,23.0,32.0,0.95,0.73,56.3,33.6,22.7,0.68,-0.1,6,0,0.0,37,28.0,19.0,19.0,4.0,10.0,1.0,0.0,0.0,80.0,109.0,64.0,63.0
28,"2,579",28.7,9,6,15,9,0,0,9,0,14.5,14.5,4.2,18.6,64.0,94.0,246.0,0.31,0.21,0.52,0.31,0.52,0.5,0.15,0.65,0.5,0.65,13.0,7.0,3.0,5.0,5.0,4.0,16.0,25.0,12.0,10.0,1.0,9.0,0.0,13.0,36.0,1.0,508.0,738.0,68.8,8773.0,1921.0,248.0,330.0,75.2,172.0,237.0,72.6,62.0,86.0,72.1,6,4.2,2.5,1.8,46.0,59.0,25.0,5.0,94.0,738.0,667.0,67.0,0.0,4.0,11.0,27.0,2.0,0.0,0.0,0.0,0.0,508.0,4.0,27.0,37.0,67.0,462.0,572.0,193.0,1089.0,69.0,34.0,49.3,35.0,50.7,586.0,3908.0,1478.0,64.0,33.0,34.0,76.0,49.0,859.0,246.0,9,131.0,50,38.2,4.57,1.74,0.07,0.18,15.4,0.0,0,0,14.5,14.5,0.11,-5.5,-5.5,108.0,3.77,73.0,0.0,15.0,11.0,8.0,1.0,16.0,0.56,13.0,0.0,2.0,0.0,1.0,0.0,"2,579",78,75.4,28.7,28,89.0,26,5,19.0,1.0,1.67,47.0,38.0,9.0,0.31,-0.65,48.6,41.5,7.1,0.25,-0.3,9,0,0.0,31,36.0,13.0,27.0,0.0,7.0,1.0,0.0,0.0,62.0,130.0,87.0,59.9
31,"2,854",31.7,16,7,23,16,0,0,4,0,19.0,19.0,5.7,24.7,52.0,107.0,254.0,0.5,0.22,0.73,0.5,0.73,0.6,0.18,0.78,0.6,0.78,16.0,11.0,2.0,7.0,7.0,2.0,13.0,15.4,11.0,11.0,4.0,7.0,6.0,22.0,33.0,0.0,543.0,793.0,68.5,9513.0,2044.0,260.0,358.0,72.6,196.0,268.0,73.1,73.0,97.0,75.3,7,5.7,3.4,1.3,54.0,66.0,30.0,2.0,107.0,793.0,754.0,35.0,2.0,6.0,11.0,19.0,0.0,3.0,1.0,0.0,0.0,543.0,4.0,25.0,40.0,68.0,508.0,599.0,217.0,1165.0,65.0,35.0,53.8,29.0,44.6,634.0,3660.0,1525.0,52.0,30.0,31.0,84.0,39.0,952.0,254.0,16,122.0,46,37.7,3.85,1.45,0.13,0.35,13.8,0.0,0,0,19.0,19.0,0.16,-3.0,-3.0,116.0,3.66,79.0,1.0,10.0,15.0,10.0,1.0,21.0,0.66,12.0,0.0,2.0,3.0,4.0,0.0,"2,854",82,83.5,31.7,31,89.0,27,4,25.0,3.0,1.74,60.0,43.0,17.0,0.54,-0.9,63.1,41.6,21.5,0.68,0.3,4,0,0.0,39,48.0,16.0,19.0,6.0,11.0,4.0,0.0,0.0,68.0,128.0,77.0,62.4
