titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,11.0,,,0.56,,0.27,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,16,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,
20,"1,760",19.6,3.0,1.0,4.0,3.0,0.0,0.0,7.0,1.0,,,,,,,,0.15,0.05,0.2,0.15,0.2,,,,,,,73.0,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,4.0,21.1,0.56,0.12,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,760",68.0,46.6,19.6,20,,9,6,,8,1.71,33.0,27.0,6.0,0.31,-0.18,,,,,,7.0,0.0,0.0,56.0,92.0,1.0,106.0,86.0,73.0,1.0,1.0,0.0,,,,
35,"3,044",33.8,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,0.0,0.03,0.03,0.0,0.03,,,,,,101.0,73.0,36.0,57.0,8.0,30.0,77.0,39.0,47.0,52.0,17.0,35.0,72.0,173.0,36.0,1.0,1938.0,2316.0,83.7,32416.0,11740.0,940.0,1030.0,91.3,777.0,886.0,87.7,171.0,310.0,55.2,1.0,2.8,3.1,-1.8,36.0,202.0,26.0,2.0,213.0,2316.0,2078.0,232.0,132.0,2.0,5.0,121.0,1.0,98.0,45.0,42.0,0.0,1938.0,6.0,22.0,89.0,500.0,1788.0,419.0,10.0,2675.0,44.0,35.0,79.5,9.0,20.5,1215.0,5250.0,2447.0,24.0,24.0,4.0,39.0,35.0,1687.0,43.0,4.0,33.0,10.0,30.3,0.93,0.28,0.12,0.4,26.5,6.0,0.0,0.0,1.4,1.4,0.04,2.6,2.6,88.0,2.49,52.0,25.0,2.0,3.0,5.0,1.0,6.0,0.17,4.0,1.0,0.0,0.0,1.0,0.0,"3,044",87.0,89.0,33.8,35,,31,0,,2,1.34,45.0,48.0,-3.0,-0.09,0.63,,,,,,6.0,0.0,0.0,46.0,83.0,1.0,121.0,72.0,73.0,1.0,1.0,0.0,296.0,19.0,34.0,35.8
36,"3,180",35.3,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,1.4,1.4,2.8,4.2,24.0,213.0,43.0,0.11,0.03,0.14,0.11,0.14,0.04,0.08,0.12,0.04,0.12,65.0,39.0,24.0,32.0,9.0,25.0,57.0,43.9,32.0,34.0,7.0,27.0,41.0,106.0,33.0,2.0,1405.0,1632.0,86.1,23340.0,6020.0,632.0,705.0,89.6,610.0,664.0,91.9,101.0,153.0,66.0,2.0,1.2,1.6,0.8,16.0,93.0,17.0,1.0,140.0,1632.0,1557.0,68.0,38.0,2.0,10.0,28.0,7.0,23.0,5.0,6.0,1.0,1405.0,7.0,24.0,76.0,389.0,1206.0,340.0,23.0,1914.0,21.0,13.0,61.9,8.0,38.1,1089.0,5115.0,2387.0,28.0,25.0,5.0,32.0,28.0,1276.0,35.0,2.0,25.0,6.0,24.0,0.94,0.23,0.08,0.33,23.1,2.0,0.0,0.0,1.5,1.5,0.06,0.5,0.5,49.0,1.85,31.0,7.0,2.0,1.0,7.0,1.0,9.0,0.34,5.0,2.0,0.0,0.0,2.0,0.0,"3,180",88.0,93.0,35.3,36,,31,0,,1,1.42,51.0,53.0,-2.0,-0.06,0.69,49.9,56.0,-6.1,-0.17,0.07,7.0,1.0,0.0,38.0,77.0,0.0,28.0,41.0,39.0,0.0,0.0,0.0,220.0,20.0,26.0,43.5
24,"2,382",26.5,2.0,2.0,4.0,2.0,0.0,0.0,7.0,1.0,1.5,1.5,1.2,2.7,28.0,140.0,35.0,0.08,0.08,0.15,0.08,0.15,0.06,0.04,0.1,0.06,0.1,31.0,16.0,11.0,15.0,5.0,16.0,39.0,41.0,23.0,24.0,8.0,16.0,34.0,65.0,24.0,0.0,798.0,919.0,86.8,14097.0,3578.0,314.0,348.0,90.2,400.0,439.0,91.1,59.0,82.0,72.0,1.0,0.8,1.0,0.2,15.0,52.0,5.0,0.0,83.0,919.0,884.0,33.0,19.0,2.0,4.0,12.0,2.0,12.0,6.0,3.0,0.0,798.0,2.0,7.0,55.0,286.0,629.0,188.0,25.0,1094.0,23.0,17.0,73.9,6.0,26.1,605.0,3024.0,1280.0,13.0,14.0,3.0,18.0,9.0,719.0,20.0,1.0,21.0,6.0,28.6,1.25,0.36,0.05,0.17,18.8,0.0,0.0,0.0,1.4,1.4,0.07,-0.4,-0.4,34.0,2.02,26.0,3.0,2.0,2.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,"2,382",70.0,69.6,26.5,24,85.0,20,10,34.0,0,1.79,55.0,38.0,17.0,0.64,0.21,41.0,38.0,3.0,0.11,-0.13,7.0,0.0,0.0,24.0,43.0,0.0,12.0,34.0,16.0,0.0,0.0,0.0,107.0,10.0,21.0,32.3
17,"1,512",16.8,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.4,1.4,0.8,2.2,13.0,83.0,20.0,0.06,0.06,0.12,0.06,0.12,0.08,0.05,0.13,0.08,0.13,8.0,4.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,5.0,3.0,2.0,12.0,20.0,8.0,0.0,272.0,312.0,87.2,4093.0,1193.0,153.0,167.0,91.6,84.0,95.0,88.4,19.0,25.0,76.0,0.0,0.5,0.4,-0.5,3.0,18.0,5.0,0.0,27.0,312.0,309.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,3.0,16.0,94.0,230.0,49.0,3.0,372.0,2.0,1.0,50.0,1.0,50.0,186.0,822.0,457.0,6.0,5.0,1.0,4.0,4.0,256.0,4.0,1.0,3.0,1.0,33.3,0.52,0.17,0.33,1.0,33.1,0.0,0.0,0.0,0.1,0.1,0.04,0.9,0.9,11.0,1.91,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,"1,512",52.0,44.2,16.8,17,76.0,8,12,18.0,4,1.48,23.0,23.0,0.0,0.0,-0.38,19.5,24.9,-5.5,-0.33,-0.19,2.0,0.0,0.0,10.0,13.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,37.0,4.0,6.0,40.0
3,518,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,6.0,27.0,4.0,0.17,0.0,0.17,0.17,0.17,0.02,0.09,0.11,0.02,0.11,37.0,29.0,13.0,21.0,3.0,18.0,40.0,45.0,22.0,18.0,1.0,17.0,26.0,63.0,18.0,0.0,1193.0,1368.0,87.2,22757.0,5765.0,432.0,481.0,89.8,590.0,646.0,91.3,149.0,194.0,76.8,1.0,2.1,1.7,-1.1,23.0,112.0,24.0,0.0,125.0,1368.0,1275.0,90.0,86.0,5.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,1193.0,3.0,12.0,37.0,318.0,975.0,261.0,35.0,1549.0,13.0,6.0,46.2,7.0,53.8,832.0,3144.0,1249.0,10.0,11.0,3.0,24.0,8.0,1051.0,30.0,5.0,29.0,13.0,44.8,1.19,0.53,0.17,0.38,14.2,2.0,0.0,0.0,5.3,5.0,0.19,-0.3,0.0,60.0,2.46,51.0,1.0,0.0,2.0,4.0,2.0,6.0,0.25,3.0,0.0,0.0,1.0,1.0,1.0,518,27.0,15.1,5.8,3,60.0,1,16,21.0,13,2.37,9.0,4.0,5.0,0.87,-0.28,7.5,7.1,0.4,0.06,-0.41,10.0,1.0,1.0,38.0,44.0,2.0,6.0,26.0,29.0,1.0,0.0,0.0,153.0,18.0,26.0,40.9
26,"2,195",24.4,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,5.3,5.0,2.1,7.1,10.0,125.0,30.0,0.21,0.04,0.25,0.21,0.25,0.22,0.09,0.3,0.2,0.29,,50.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,3.0,15.0,0.75,0.11,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,195",71.0,64.2,24.4,26,81.0,12,5,20.0,3,1.52,42.0,32.0,10.0,0.41,0.56,45.3,23.9,21.4,0.88,1.02,6.0,0.0,0.0,37.0,59.0,0.0,4.0,38.0,50.0,,,0.0,,,,
28,"2,406",26.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,54.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,5.0,15.6,0.97,0.15,0.03,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,406",78.0,78.6,26.7,28,84.0,10,3,21.0,0,2.35,64.0,23.0,41.0,1.53,-0.53,,,,,,7.0,0.0,0.0,41.0,55.0,3.0,8.0,43.0,54.0,,,0.0,,,,
35,"2,972",33.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,,,,,,,,0.03,0.06,0.09,0.03,0.09,,,,,,,45.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,23.0,8.0,34.8,0.83,0.29,0.13,0.38,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,972",85.0,86.9,33.0,35,85.0,13,0,,2,2.71,75.0,24.0,51.0,1.54,-1.47,,,,,,4.0,0.0,0.0,38.0,38.0,0.0,9.0,32.0,45.0,,,0.0,,,,
29,"2,487",27.6,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,,,,,,,,0.11,0.14,0.25,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,487",86.0,89.1,27.6,29,86.0,14,0,,1,2.62,68.0,24.0,44.0,1.59,0.4,,,,,,,,,,,,,,,,,,,,,
