titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
19,"1,519",16.9,5.0,2.0,7.0,3.0,2.0,3.0,1.0,0.0,,,,,,,,0.3,0.12,0.41,0.18,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,10.0,,,0.59,,0.3,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,"1,519",80.0,49.6,16.9,19,,,0,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
8,672,7.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.13,0.13,0.27,0.13,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,0.8,,0.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,672,61.0,22.0,7.5,8,,3.0,3,,,,,,,,,,,,,,2.0,0.0,,6.0,,,,,,,,,,,,
18,"1,682",18.7,7.0,10.0,17.0,7.0,0.0,0.0,3.0,0.0,,,,,,,,0.37,0.54,0.91,0.37,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,16.0,,,0.86,,0.44,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,682",58.0,55.0,18.7,18,,7.0,11,,,,,,,,,,,,,,3.0,0.0,,23.0,,,,,,,,,,,,
15,"1,447",16.1,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,,,,,,,,0.12,0.37,0.5,0.12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,0.31,,0.4,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,447",56.0,47.3,16.1,15,,8.0,11,,5.0,1.08,24.0,30.0,-6.0,-0.37,0.3,,,,,,3.0,0.0,,21.0,,,,,,,,,,,,
9,"1,059",11.8,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.08,0.42,0.51,0.08,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14.0,,,1.19,,0.07,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,059",42.0,34.6,11.8,9,,3.0,16,,8.0,1.12,14.0,23.0,-9.0,-0.76,-0.05,,,,,,1.0,0.0,,20.0,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,12.0,6.0,8.0,3.0,7.0,22.0,31.8,15.0,20.0,2.0,18.0,6.0,23.0,3.0,0.0,351.0,478.0,73.4,6600.0,2161.0,152.0,179.0,84.9,120.0,145.0,82.8,65.0,115.0,56.5,2.0,1.4,2.3,0.6,19.0,45.0,4.0,1.0,55.0,478.0,382.0,93.0,34.0,0.0,7.0,76.0,8.0,50.0,29.0,19.0,0.0,351.0,3.0,18.0,10.0,76.0,291.0,243.0,23.0,603.0,24.0,10.0,41.7,14.0,58.3,369.0,2400.0,1134.0,32.0,21.0,8.0,24.0,29.0,406.0,59.0,2.0,27.0,5.0,18.5,2.54,0.47,0.07,0.4,24.1,1.0,0.0,0.0,1.5,1.5,0.05,0.5,0.5,46.0,4.32,23.0,14.0,4.0,2.0,3.0,0.0,4.0,0.38,1.0,3.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0,,2.0,,,,,,,,,,,,4.0,0.0,0.0,19.0,16.0,1.0,76.0,6.0,12.0,0.0,0.0,0.0,59.0,1.0,22.0,4.3
11,957,10.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,1.4,2.9,32.0,55.0,59.0,0.19,0.19,0.38,0.19,0.38,0.14,0.13,0.27,0.14,0.27,16.0,10.0,6.0,9.0,1.0,10.0,19.0,52.6,9.0,12.0,0.0,12.0,5.0,21.0,7.0,0.0,291.0,375.0,77.6,4951.0,1270.0,153.0,173.0,88.4,98.0,125.0,78.4,35.0,57.0,61.4,0.0,2.8,2.6,-2.8,16.0,25.0,13.0,3.0,48.0,375.0,332.0,40.0,12.0,2.0,6.0,36.0,4.0,23.0,7.0,13.0,1.0,291.0,3.0,10.0,5.0,59.0,228.0,195.0,26.0,475.0,17.0,10.0,58.8,7.0,41.2,295.0,1883.0,1045.0,37.0,17.0,7.0,15.0,15.0,316.0,51.0,1.0,15.0,3.0,20.0,2.33,0.47,0.07,0.33,19.0,2.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,41.0,6.37,27.0,8.0,2.0,2.0,2.0,0.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0,957,44.0,31.3,10.6,11,,1.0,11,,7.0,0.86,14.0,18.0,-4.0,-0.38,0.05,10.7,14.5,-3.8,-0.36,0.02,3.0,0.0,0.0,9.0,7.0,3.0,36.0,5.0,10.0,0.0,0.0,0.0,30.0,3.0,8.0,27.3
3,579,6.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.8,3.9,37.0,48.0,51.0,0.16,0.0,0.16,0.16,0.16,0.17,0.44,0.61,0.17,0.61,4.0,2.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,60.0,78.0,76.9,958.0,258.0,33.0,35.0,94.3,16.0,20.0,80.0,8.0,18.0,44.4,0.0,0.7,0.2,-0.7,6.0,4.0,1.0,0.0,10.0,78.0,62.0,16.0,3.0,0.0,2.0,13.0,2.0,11.0,6.0,3.0,0.0,60.0,0.0,2.0,0.0,11.0,37.0,49.0,5.0,97.0,8.0,5.0,62.5,3.0,37.5,51.0,325.0,146.0,6.0,10.0,2.0,4.0,2.0,58.0,10.0,0.0,3.0,0.0,0.0,2.31,0.0,0.0,,21.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,8.0,6.15,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.77,1.0,0.0,0.0,0.0,0.0,0.0,579,26.0,18.9,6.4,3,83.0,1.0,19,17.0,10.0,1.23,13.0,6.0,7.0,1.09,1.74,16.3,9.3,7.0,1.09,1.64,1.0,0.0,0.0,3.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
0,117,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.53,0.62,0.09,0.62,,13.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,36.0,14.0,38.9,2.53,0.98,0.11,0.29,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,117,23.0,3.8,1.3,0,,0.0,5,23.0,14.0,0.6,3.0,2.0,1.0,0.77,1.44,2.6,0.8,1.8,1.38,1.78,3.0,0.0,0.0,9.0,20.0,3.0,55.0,4.0,13.0,,,0.0,,,,
15,"1,283",14.3,7.0,2.0,9.0,4.0,3.0,3.0,3.0,0.0,,,,,,,,0.49,0.14,0.63,0.28,0.42,,,,,,,35.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,58.0,31.0,53.4,1.73,0.92,0.12,0.23,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,"1,283",86.0,41.9,14.3,15,86.0,5.0,0,,0.0,1.47,19.0,19.0,0.0,0.0,0.05,,,,,,8.0,0.0,0.0,52.0,61.0,8.0,163.0,23.0,35.0,,,0.0,,,,
