titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,63,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,63,21,1.7,0.7,1,,0,2,,0.0,1.67,0.0,0.0,0.0,0.0,-0.05,,,,,,0,0,,,,,,,,,,,,,,
6,443,4.9,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,443,32,11.7,4.9,6,,0,8,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
2,225,2.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3,,0.0,1.2,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,225,38,6.0,2.5,2,,0,4,,12.0,1.17,2.0,3.0,-1.0,-0.4,-0.45,,,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
26,"2,311",25.7,10,10,20,9,1,1,5,0,11.0,10.2,4.8,15.0,77.0,47.0,225.0,0.39,0.39,0.78,0.35,0.74,0.43,0.19,0.61,0.4,0.58,21.0,18.0,9.0,9.0,3.0,6.0,15.0,40.0,9.0,11.0,1.0,10.0,11.0,32.0,8.0,0.0,524.0,701.0,74.8,7407.0,1176.0,279.0,351.0,79.5,177.0,227.0,78.0,24.0,33.0,72.7,10,4.8,2.7,5.2,39.0,25.0,24.0,2.0,47.0,701.0,667.0,32.0,1.0,3.0,4.0,15.0,2.0,0.0,0.0,0.0,0.0,524.0,2.0,19.0,7.0,70.0,401.0,508.0,147.0,962.0,41.0,26.0,63.4,14.0,34.1,556.0,3986.0,1905.0,77.0,38.0,38.0,70.0,48.0,779.0,225.0,10,81.0,26,32.1,3.15,1.01,0.11,0.35,14.8,0.0,1,1,11.0,10.2,0.13,-1.0,-1.2,94.0,3.66,66.0,0.0,6.0,11.0,9.0,2.0,24.0,0.93,14.0,0.0,3.0,3.0,3.0,1.0,"2,311",77,71.3,25.7,26,85.0,18,4,26.0,1.0,1.29,41.0,35.0,6.0,0.23,0.14,36.4,36.0,0.4,0.02,-0.5,5,0,0.0,17.0,58.0,15.0,15.0,11.0,18.0,3.0,0.0,0.0,82.0,38.0,60.0,38.8
13,"1,055",11.7,9,2,11,9,0,0,2,0,7.3,7.3,2.5,9.7,17.0,28.0,130.0,0.77,0.17,0.94,0.77,0.94,0.62,0.21,0.83,0.62,0.83,5.0,5.0,2.0,2.0,1.0,1.0,4.0,25.0,3.0,6.0,0.0,6.0,0.0,5.0,2.0,0.0,211.0,291.0,72.5,3302.0,625.0,118.0,154.0,76.6,76.0,98.0,77.6,13.0,16.0,81.3,2,2.5,1.7,-0.5,14.0,12.0,12.0,3.0,28.0,291.0,282.0,5.0,1.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,211.0,4.0,11.0,3.0,11.0,139.0,251.0,55.0,399.0,14.0,10.0,71.4,4.0,28.6,243.0,1353.0,492.0,17.0,12.0,9.0,38.0,18.0,347.0,130.0,9,33.0,13,39.4,2.82,1.11,0.27,0.69,14.6,0.0,0,0,7.3,7.3,0.22,1.7,1.7,30.0,2.56,19.0,0.0,4.0,3.0,4.0,0.0,5.0,0.43,3.0,0.0,2.0,0.0,0.0,0.0,"1,055",48,40.4,11.7,13,68.0,2,9,19.0,3.0,2.41,26.0,6.0,20.0,1.71,0.32,27.0,11.1,15.9,1.36,0.07,2,0,0.0,11.0,18.0,6.0,9.0,0.0,5.0,0.0,0.0,0.0,25.0,13.0,43.0,23.2
7,796,8.8,4,1,5,4,0,0,0,0,2.9,2.9,1.0,3.9,29.0,38.0,109.0,0.45,0.11,0.57,0.45,0.57,0.33,0.12,0.44,0.33,0.44,10.0,8.0,4.0,3.0,3.0,2.0,7.0,28.6,5.0,8.0,1.0,7.0,4.0,14.0,1.0,0.0,244.0,355.0,68.7,3988.0,881.0,128.0,176.0,72.7,87.0,115.0,75.7,22.0,41.0,53.7,1,1.0,1.0,0.0,10.0,19.0,11.0,1.0,38.0,355.0,339.0,11.0,1.0,1.0,5.0,16.0,9.0,1.0,0.0,0.0,0.0,244.0,5.0,16.0,4.0,42.0,180.0,256.0,49.0,465.0,26.0,8.0,30.8,18.0,69.2,265.0,1710.0,844.0,29.0,18.0,8.0,26.0,18.0,359.0,109.0,4,28.0,9,32.1,3.17,1.02,0.14,0.44,15.8,0.0,0,0,2.9,2.9,0.1,1.1,1.1,30.0,3.39,21.0,1.0,3.0,2.0,1.0,2.0,4.0,0.45,4.0,0.0,0.0,0.0,0.0,0.0,796,32,26.0,8.8,7,67.0,2,18,18.0,4.0,2.29,18.0,6.0,12.0,1.36,0.08,15.9,11.0,4.9,0.55,-0.55,0,0,0.0,16.0,11.0,6.0,16.0,4.0,8.0,0.0,0.0,0.0,52.0,18.0,25.0,41.9
1,70,0.8,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,63.0,229.0,65.0,10.0,14.0,71.4,4.0,9.0,44.4,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,27.0,27.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,3.0,11.0,20.0,5.0,34.0,1.0,1.0,100.0,0.0,0.0,23.0,127.0,49.0,3.0,0.0,1.0,3.0,2.0,28.0,10.0,0,3.0,2,66.7,3.86,2.57,0.0,0.0,9.6,0.0,0,0,0.8,0.8,0.28,-0.8,-0.8,1.0,1.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,70,2.3,0.8,1,70.0,0,0,,1.0,1.0,1.0,1.0,0.0,0.0,-1.05,1.9,1.1,0.9,1.11,0.09,0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
24,"2,053",22.8,7,0,7,7,0,0,5,1,5.0,5.0,1.0,6.0,60.0,43.0,137.0,0.31,0.0,0.31,0.31,0.31,0.22,0.05,0.26,0.22,0.26,16.0,10.0,4.0,9.0,3.0,3.0,20.0,15.0,17.0,19.0,3.0,16.0,10.0,26.0,20.0,0.0,319.0,463.0,68.9,4844.0,1016.0,180.0,231.0,77.9,96.0,136.0,70.6,27.0,43.0,62.8,0,1.0,1.4,-1.0,13.0,17.0,18.0,4.0,43.0,463.0,449.0,9.0,0.0,1.0,2.0,27.0,4.0,0.0,0.0,0.0,0.0,319.0,5.0,13.0,27.0,84.0,280.0,345.0,82.0,693.0,50.0,26.0,52.0,24.0,48.0,419.0,3006.0,1477.0,60.0,31.0,25.0,53.0,29.0,495.0,137.0,7,40.0,19,47.5,1.75,0.83,0.18,0.37,15.6,0.0,0,0,5.0,5.0,0.12,2.0,2.0,43.0,1.88,29.0,0.0,6.0,2.0,4.0,2.0,7.0,0.31,4.0,0.0,1.0,0.0,2.0,0.0,"2,053",64,60.0,22.8,24,76.0,8,8,28.0,0.0,0.72,19.0,40.0,-21.0,-0.92,0.0,19.0,43.5,-24.5,-1.07,-0.36,5,1,0.0,30.0,32.0,9.0,27.0,10.0,10.0,1.0,0.0,0.0,73.0,33.0,59.0,35.9
25,"2,266",25.2,7,0,7,6,1,1,4,0,5.9,5.2,1.1,6.3,56.0,70.0,144.0,0.28,0.0,0.28,0.24,0.24,0.24,0.04,0.28,0.2,0.25,12.0,8.0,4.0,5.0,3.0,3.0,16.0,18.8,13.0,23.0,3.0,20.0,10.0,22.0,12.0,0.0,353.0,504.0,70.0,5730.0,1348.0,188.0,245.0,76.7,117.0,147.0,79.6,34.0,50.0,68.0,0,1.1,1.1,-1.1,21.0,31.0,24.0,5.0,70.0,504.0,485.0,14.0,1.0,3.0,5.0,22.0,7.0,0.0,0.0,0.0,0.0,353.0,5.0,25.0,20.0,65.0,325.0,412.0,91.0,787.0,83.0,39.0,47.0,35.0,42.2,471.0,3128.0,1554.0,56.0,45.0,17.0,63.0,35.0,581.0,144.0,7,60.0,20,33.3,2.38,0.79,0.1,0.3,17.2,0.0,1,1,5.9,5.2,0.09,1.1,0.8,73.0,2.9,42.0,1.0,11.0,7.0,10.0,2.0,6.0,0.24,0.0,0.0,3.0,1.0,2.0,0.0,"2,266",69,66.3,25.2,25,79.0,9,8,36.0,2.0,0.73,23.0,41.0,-18.0,-0.71,0.45,27.3,43.8,-16.5,-0.66,0.19,4,0,0.0,21.0,33.0,9.0,22.0,10.0,8.0,3.0,1.0,0.0,60.0,49.0,85.0,36.6
4,567,6.3,2,1,3,2,0,0,4,0,1.3,1.3,0.5,1.7,20.0,15.0,60.0,0.32,0.16,0.48,0.32,0.48,0.2,0.07,0.28,0.2,0.28,7.0,4.0,3.0,3.0,1.0,0.0,5.0,0.0,5.0,6.0,2.0,4.0,2.0,9.0,0.0,0.0,112.0,156.0,71.8,1885.0,431.0,56.0,72.0,77.8,36.0,47.0,76.6,15.0,19.0,78.9,1,0.5,0.5,0.5,7.0,9.0,5.0,0.0,15.0,156.0,148.0,6.0,2.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,112.0,2.0,6.0,0.0,16.0,96.0,137.0,33.0,243.0,25.0,9.0,36.0,15.0,60.0,161.0,1100.0,615.0,20.0,16.0,5.0,21.0,9.0,190.0,60.0,2,20.0,8,40.0,3.17,1.27,0.1,0.25,15.1,0.0,0,0,1.3,1.3,0.06,0.7,0.7,24.0,3.8,14.0,2.0,5.0,1.0,0.0,2.0,4.0,0.63,1.0,0.0,2.0,0.0,0.0,1.0,567,33,16.6,6.3,4,58.0,0,13,26.0,1.0,1.94,9.0,4.0,5.0,0.79,0.38,9.0,5.3,3.8,0.6,0.09,4,0,0.0,10.0,8.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0,14.0,11.0,18.0,37.9
