titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
14,"1,349",15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.07,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,349",79.0,39.4,15.0,14,,,3,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
7,576,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,576,72.0,16.8,6.4,7,,,1,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.1,0.0,0,,,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,
1,101,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,101,25.0,3.3,1.1,1,,,3,,,,,,,,,,,,,,0.0,0.0,,3.0,,,,,,,,,,,,
10,940,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,940,78.0,30.7,10.4,10,,9.0,2,,10.0,1.75,17.0,18.0,-1.0,-0.1,-1.2,,,,,,1.0,1.0,,,,,,,,,,,,,,
6,575,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,575,64.0,18.8,6.4,6,,4.0,3,,15.0,1.5,7.0,8.0,-1.0,-0.16,-0.92,,,,,,1.0,0.0,,7.0,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,2.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,18.0,13.0,13.0,3.0,2.0,9.0,16.0,56.3,7.0,9.0,7.0,2.0,18.0,36.0,34.0,0.0,298.0,358.0,83.2,5969.0,2206.0,116.0,131.0,88.5,134.0,149.0,89.9,44.0,69.0,63.8,0.0,0.5,0.3,-0.5,6.0,23.0,3.0,1.0,20.0,358.0,335.0,23.0,19.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,298.0,0.0,3.0,44.0,209.0,213.0,19.0,5.0,437.0,0.0,0.0,,0.0,,186.0,868.0,500.0,3.0,0.0,0.0,1.0,0.0,238.0,2.0,0.0,3.0,0.0,0.0,0.32,0.0,0.0,,9.7,0.0,0.0,0.0,0.4,0.4,0.12,-0.4,-0.4,11.0,1.19,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,20,7.0,0.7,0.2,0,,0.0,3,,19.0,3.0,4.0,2.0,2.0,9.0,7.82,,,,,,1.0,0.0,0.0,6.0,9.0,1.0,2.0,18.0,13.0,0.0,0.0,0.0,39.0,23.0,12.0,65.7
8,835,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,3.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,39.0,25.0,22.0,15.0,2.0,19.0,29.0,65.5,10.0,45.0,39.0,6.0,55.0,94.0,131.0,1.0,1178.0,1383.0,85.2,22377.0,8937.0,430.0,484.0,88.8,598.0,659.0,90.7,128.0,196.0,65.3,0.0,0.2,0.2,-0.2,2.0,57.0,4.0,1.0,86.0,1383.0,1332.0,47.0,40.0,0.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,1178.0,4.0,4.0,207.0,832.0,846.0,38.0,16.0,1708.0,7.0,7.0,100.0,0.0,0.0,809.0,3267.0,1635.0,7.0,2.0,0.0,13.0,4.0,923.0,5.0,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,13.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,14.0,0.46,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,835,60.0,24.4,9.3,8,84.0,7.0,6,27.0,20.0,1.0,7.0,18.0,-11.0,-1.19,-0.94,8.5,15.4,-6.9,-0.75,-0.77,7.0,0.0,0.0,43.0,12.0,0.0,2.0,55.0,25.0,0.0,3.0,0.0,190.0,90.0,73.0,55.2
31,"2,733",30.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.2,0.6,7.0,86.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,20.0,10.0,10.0,9.0,1.0,4.0,9.0,44.4,5.0,27.0,21.0,6.0,70.0,90.0,87.0,0.0,973.0,1107.0,87.9,19841.0,7074.0,262.0,303.0,86.5,587.0,627.0,93.6,114.0,155.0,73.5,2.0,0.5,0.2,1.5,6.0,42.0,1.0,0.0,77.0,1107.0,1070.0,35.0,33.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,973.0,2.0,4.0,125.0,629.0,690.0,26.0,8.0,1329.0,7.0,7.0,100.0,0.0,0.0,665.0,2926.0,1459.0,5.0,6.0,1.0,5.0,1.0,716.0,1.0,0.0,6.0,2.0,33.3,0.31,0.1,0.0,0.0,18.0,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,13.0,0.69,12.0,0.0,0.0,1.0,0.0,0.0,3.0,0.16,2.0,0.0,0.0,1.0,0.0,0.0,"2,733",85.0,79.9,30.4,31,88.0,28.0,1,4.0,4.0,1.25,37.0,41.0,-4.0,-0.13,-0.13,42.0,43.3,-1.3,-0.04,0.2,4.0,0.0,0.0,31.0,11.0,0.0,3.0,70.0,10.0,0.0,1.0,0.0,124.0,73.0,53.0,57.9
21,"1,768",19.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.5,0.8,5.0,77.0,1.0,0.0,0.1,0.1,0.0,0.1,0.02,0.03,0.04,0.02,0.04,32.0,18.0,19.0,11.0,2.0,16.0,32.0,50.0,16.0,27.0,21.0,6.0,69.0,101.0,110.0,1.0,1035.0,1288.0,80.4,21659.0,9788.0,298.0,357.0,83.5,559.0,638.0,87.6,162.0,247.0,65.6,0.0,0.7,0.9,-0.7,7.0,65.0,2.0,0.0,106.0,1288.0,1213.0,70.0,43.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1035.0,5.0,9.0,236.0,821.0,727.0,38.0,16.0,1576.0,5.0,3.0,60.0,2.0,40.0,736.0,4249.0,2321.0,10.0,7.0,1.0,15.0,2.0,722.0,3.0,0.0,6.0,2.0,33.3,0.22,0.07,0.0,0.0,14.0,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,15.0,0.56,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,768",65.0,51.7,19.6,21,78.0,12.0,6,21.0,3.0,1.07,22.0,28.0,-6.0,-0.31,-0.52,20.3,25.9,-5.5,-0.29,-0.37,10.0,0.0,0.0,42.0,16.0,1.0,0.0,69.0,18.0,0.0,2.0,1.0,197.0,90.0,54.0,62.5
29,"2,411",26.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3,0.3,0.7,1.0,10.0,106.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,10.0,6.0,1.0,8.0,1.0,4.0,7.0,57.1,3.0,24.0,15.0,9.0,30.0,40.0,46.0,0.0,323.0,422.0,76.5,6871.0,3172.0,102.0,126.0,81.0,160.0,183.0,87.4,58.0,101.0,57.4,0.0,0.9,0.3,-0.9,8.0,31.0,1.0,1.0,36.0,422.0,400.0,21.0,20.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,323.0,1.0,5.0,82.0,283.0,252.0,29.0,10.0,557.0,4.0,3.0,75.0,1.0,25.0,221.0,1219.0,733.0,7.0,6.0,0.0,3.0,1.0,230.0,3.0,1.0,9.0,1.0,11.1,0.81,0.09,0.11,1.0,14.2,0.0,0.0,0.0,0.9,0.9,0.1,0.1,0.1,13.0,1.17,10.0,1.0,0.0,2.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,"2,411",80.0,70.5,26.8,29,82.0,23.0,1,26.0,2.0,1.47,44.0,42.0,2.0,0.07,-0.28,34.8,36.0,-1.2,-0.05,-0.28,3.0,0.0,0.0,17.0,10.0,0.0,3.0,30.0,6.0,0.0,0.0,0.0,81.0,22.0,21.0,51.2
11,"1,003",11.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.9,7.0,36.0,3.0,0.09,0.0,0.09,0.09,0.09,0.08,0.08,0.17,0.08,0.17,10.0,8.0,6.0,4.0,0.0,6.0,9.0,66.7,3.0,10.0,5.0,5.0,11.0,21.0,46.0,0.0,344.0,420.0,81.9,6493.0,2308.0,138.0,157.0,87.9,172.0,198.0,86.9,32.0,55.0,58.2,0.0,0.2,0.3,-0.2,2.0,21.0,2.0,1.0,21.0,420.0,386.0,34.0,14.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,344.0,0.0,3.0,67.0,233.0,256.0,23.0,7.0,509.0,1.0,1.0,100.0,0.0,0.0,247.0,1070.0,598.0,4.0,6.0,0.0,3.0,0.0,285.0,2.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,,9.6,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,3.0,0.35,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,003",77.0,29.3,11.1,11,86.0,10.0,2,29.0,5.0,0.31,9.0,22.0,-13.0,-1.17,-0.61,12.3,17.9,-5.6,-0.5,-0.19,2.0,0.0,0.0,7.0,3.0,0.0,1.0,11.0,8.0,0.0,1.0,0.0,47.0,24.0,9.0,72.7
8,776,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,,7.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,20.0,0.65,0.13,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,776,78.0,22.7,8.6,8,84.0,7.0,2,51.0,1.0,0.6,8.0,20.0,-12.0,-1.39,-0.2,7.5,16.8,-9.4,-1.09,-0.31,3.0,0.0,0.0,6.0,3.0,0.0,0.0,10.0,7.0,,,0.0,,,,
8,690,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,4.0,30.8,0.84,0.26,0.08,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,690,69.0,20.2,7.7,8,85.0,6.0,2,5.0,2.0,1.0,11.0,18.0,-7.0,-0.91,-1.04,,,,,,4.0,1.0,1.0,19.0,11.0,0.0,1.0,32.0,10.0,,,0.0,,,,
17,"1,400",15.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400",70.0,50.2,15.6,17,81.0,12.0,3,9.0,6.0,1.35,26.0,17.0,9.0,0.58,0.38,,,,,,,,,,,,,,,,,,,,,
