titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
15,"1,324",14.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.14,,0.0,,0,0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"1,324",74,43.3,14.7,15,,,3,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,1,1,,,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
5,469,5.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.19,,0.0,,0,0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,469,59,15.3,5.2,5,,,3,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,3,0,,,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
4,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.54,,0.0,,0,0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,334,56,10.9,3.7,4,,,2,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,0,0,,,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
11,972,10.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.09,,0.0,,0,0,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,972,88,31.8,10.8,11,,,0,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,1,0,,6.0,,,,,,,,,,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
30,"2,658",29.5,0,2,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"2,658",89,86.9,29.5,30,,28.0,0,,0.0,1.17,38.0,43.0,-5.0,-0.17,0.28,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,4,0,,,,,,,,,,,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
25,"2,244",24.9,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.12,,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"2,244",86,73.3,24.9,25,,23.0,1,,0.0,0.96,28.0,43.0,-15.0,-0.6,0.5,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,2,0,,36.0,,,,,,,,,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
7,580,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0,0.0,0.31,0.0,0.0,,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,580,83,19.0,6.4,7,,6.0,0,,19.0,1.0,8.0,5.0,3.0,0.47,0.14,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,1,0,0.0,12.0,3.0,0.0,18.0,11.0,12.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
11,920,10.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.0,2,28.6,0.68,0.2,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,920,84,30.1,10.2,11,84.0,8.0,0,,6.0,1.82,21.0,17.0,4.0,0.39,-0.2,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,2,0,0.0,14.0,11.0,1.0,26.0,17.0,18.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
13,"1,165",12.9,0,2,2,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.0,0,0.0,0.39,0.0,0.0,,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"1,165",69,38.1,12.9,13,82.0,7.0,4,25.0,9.0,2.0,35.0,17.0,18.0,1.39,0.63,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,3,0,0.0,14.0,12.0,2.0,23.0,13.0,22.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
10,876,9.7,0,1,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0,2,33.3,0.62,0.21,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,876,46,24.3,9.7,10,82.0,7.0,9,6.0,9.0,1.95,11.0,15.0,-4.0,-0.41,-0.97,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,4,0,0.0,11.0,11.0,0.0,10.0,10.0,16.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
28,"2,520",28.0,0,3,3,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,1,50.0,0.07,0.04,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"2,520",84,73.7,28.0,28,88.0,26.0,2,26.0,0.0,1.5,45.0,43.0,2.0,0.07,0.67,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,4,0,0.0,26.0,19.0,0.0,85.0,41.0,47.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
16,"1,432",15.9,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,0,0.0,0.25,0.0,0.0,,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"1,432",84,75.8,15.9,16,88.0,13.0,1,32.0,0.0,1.0,15.0,28.0,-13.0,-0.82,9.2,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,5,0,0.0,11.0,5.0,0.0,42.0,14.0,21.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
19,"1,729",19.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0,1,16.7,0.31,0.05,0.0,0.0,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"1,729",72,50.6,19.2,19,84.0,12.0,5,27.0,1.0,1.25,27.0,20.0,7.0,0.36,1.11,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,3,0,0.0,20.0,14.0,0.0,22.0,12.0,28.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
17,"1,430",15.9,0,1,1,0,0,0,6,0,0.0,0.06,0.06,0.0,0.06,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0,0,0.0,0.38,0.0,0.0,,,0,0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,,,,,,,,,,,,,,,,,,"1,430",72,51.3,15.9,17,80.0,10.0,3,23.0,1.0,0.6,18.0,28.0,-10.0,-0.63,0.63,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,,,6,0,0.0,9.0,14.0,0.0,30.0,13.0,30.0,,,0.0,Partidos,https://fbref.com/es/jugadores/771d74d1/Kamil-Corekci,,
