titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
11,"1,000",11.1,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,0.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,000",59,29.2,11.1,11,,8,6,,20.0,0.65,7.0,19.0,-12.0,-1.08,-1.41,,,,,,2,0,,28.0,,,,,,,,,,,,
10,973,10.8,3,1,4,3,0,0,3,0,,,,,,,,0.28,0.09,0.37,0.28,0.37,,,,,,,21.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22.0,7.0,31.8,2.03,0.65,0.14,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,973,49,28.5,10.8,10,,5,10,,12.0,1.15,16.0,24.0,-8.0,-0.74,-0.08,,,,,,3,0,0.0,24.0,13.0,1.0,9.0,8.0,21.0,0.0,0.0,0.0,,,,
24,"1,966",21.8,5,3,8,5,0,0,4,0,,,,,,,,0.23,0.14,0.37,0.23,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,15.0,,,0.69,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,966",68,57.5,21.8,24,,13,5,,,2.1,,,,,,,,,,,4,0,,23.0,,,,,,,,,,,,
16,"1,311",14.6,3,1,4,2,1,2,2,1,,,,,,,,0.21,0.07,0.27,0.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,"1,311",66,38.3,14.6,16,77.0,10,4,20.0,4.0,2.25,29.0,8.0,21.0,1.44,-0.09,,,,,,2,1,1.0,,,,,,,,,0.0,,,,
17,"1,428",15.9,4,2,6,4,0,0,2,0,,,,,,,,0.25,0.13,0.38,0.25,0.38,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47.0,16.0,34.0,2.96,1.01,0.09,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,428",62,52.9,15.9,17,77.0,6,6,20.0,1.0,2.65,45.0,8.0,37.0,2.33,0.0,,,,,,2,0,0.0,16.0,11.0,0.0,6.0,0.0,0.0,,,0.0,,,,
7,590,6.6,1,1,2,1,0,0,1,0,,,,,,,,0.15,0.15,0.31,0.15,0.31,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.0,4.0,36.4,1.68,0.61,0.09,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,590,42,17.3,6.6,7,72.0,0,7,12.0,2.0,2.36,12.0,6.0,6.0,0.92,-0.45,,,,,,1,0,0.0,8.0,6.0,0.0,23.0,4.0,1.0,,,0.0,,,,
2,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,47.0,56.0,83.9,745.0,199.0,27.0,29.0,93.1,15.0,17.0,88.2,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,56.0,51.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,5.0,20.0,47.0,9.0,1.0,73.0,5.0,2.0,40.0,3.0,60.0,43.0,212.0,91.0,4.0,2.0,0.0,2.0,2.0,46.0,2.0,0,1.0,0.0,0.0,0.75,0.0,0.0,,22.7,1.0,0,0,0.1,0.1,0.08,-0.1,-0.1,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,30,3.5,1.3,2,45.0,0,2,15.0,9.0,0.5,0.0,2.0,-2.0,-1.5,-1.75,0.4,2.1,-1.7,-1.29,-1.33,0,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
20,"1,885",20.9,4,3,7,4,0,0,4,0,5.5,5.5,2.0,7.5,81.0,144.0,121.0,0.19,0.14,0.33,0.19,0.33,0.26,0.09,0.36,0.26,0.36,17.0,9.0,6.0,7.0,4.0,6.0,16.0,37.5,10.0,23.0,5.0,18.0,13.0,30.0,3.0,1.0,987.0,1194.0,82.7,15119.0,3979.0,588.0,637.0,92.3,303.0,365.0,83.0,68.0,110.0,61.8,3,2.0,1.7,1.0,28.0,116.0,18.0,3.0,144.0,1194.0,1175.0,6.0,0.0,1.0,16.0,22.0,2.0,1.0,0.0,0.0,0.0,987.0,13.0,26.0,9.0,148.0,759.0,496.0,40.0,1386.0,41.0,26.0,63.4,15.0,36.6,982.0,5605.0,2888.0,81.0,62.0,10.0,36.0,21.0,1137.0,121.0,4,61.0,19.0,31.1,2.91,0.91,0.07,0.21,22.0,0.0,0,0,5.5,5.5,0.09,-1.5,-1.5,67.0,3.2,57.0,0.0,4.0,4.0,1.0,1.0,13.0,0.62,10.0,0.0,1.0,2.0,0.0,0.0,"1,885",51,45.5,20.9,20,69.0,4,17,30.0,1.0,1.38,27.0,26.0,1.0,0.05,0.49,25.5,29.0,-3.5,-0.17,0.38,4,0,0.0,15.0,13.0,0.0,22.0,13.0,9.0,0.0,0.0,0.0,115.0,13.0,13.0,50.0
21,"2,058",22.9,8,3,11,8,0,0,3,0,3.9,3.9,2.1,6.0,126.0,180.0,149.0,0.35,0.13,0.48,0.35,0.48,0.17,0.09,0.26,0.17,0.26,28.0,14.0,11.0,10.0,7.0,10.0,21.0,47.6,11.0,20.0,1.0,19.0,9.0,37.0,12.0,0.0,1171.0,1364.0,85.9,18495.0,3844.0,623.0,671.0,92.8,429.0,476.0,90.1,84.0,132.0,63.6,3,2.1,3.1,0.9,24.0,133.0,33.0,5.0,180.0,1364.0,1340.0,19.0,3.0,5.0,20.0,34.0,5.0,1.0,0.0,1.0,0.0,1171.0,5.0,29.0,26.0,178.0,830.0,588.0,39.0,1585.0,56.0,36.0,64.3,15.0,26.8,1023.0,6863.0,3408.0,126.0,92.0,12.0,41.0,25.0,1300.0,149.0,8,59.0,19.0,32.2,2.58,0.83,0.14,0.42,22.8,1.0,0,0,3.9,3.9,0.07,4.1,4.1,81.0,3.54,67.0,1.0,3.0,5.0,2.0,3.0,8.0,0.35,5.0,0.0,3.0,0.0,0.0,0.0,"2,058",50,49.7,22.9,21,72.0,3,20,28.0,2.0,1.46,34.0,33.0,1.0,0.04,-0.09,28.5,25.8,2.7,0.12,-0.18,3,0,0.0,20.0,11.0,0.0,34.0,9.0,14.0,0.0,0.0,0.0,99.0,10.0,22.0,31.3
19,"1,860",20.7,6,0,6,2,4,4,5,0,,,,,,,,0.29,0.0,0.29,0.1,0.1,,,,,,,6.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50.0,15.0,30.0,2.42,0.73,0.04,0.13,,,4,4,,,,,,,,,,,,,,,,,,,,,,"1,860",69,54.4,20.7,19,82.0,9,8,37.0,0.0,0.89,22.0,28.0,-6.0,-0.29,-0.06,,,,,,5,0,0.0,24.0,14.0,2.0,34.0,7.0,6.0,,,0.0,,,,
