titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,38,0.4,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,38,13,1.2,0.4,0,,0,3,,6,3.0,1,0,1,2.37,1.21,,,,,,0,0,,0.0,,,,,,,,,,,,
29,"2,366",26.3,11,5.0,16.0,11,0,0,1,0,,,,,,,,0.42,0.19,0.61,0.42,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,26.0,,,0.99,,0.42,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,366",79,69.2,26.3,29,,17,1,,0,1.17,44,43,1,0.04,0.38,,,,,,1,0,,,,,,,,,,,,,,
27,"2,351",26.1,5,0.0,5.0,5,0,0,0,0,,,,,,,,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,16.0,,,0.61,,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,351",71,76.8,26.1,27,,14,6,,1,1.4,41,44,-3,-0.11,-0.75,,,,,,0,0,,11.0,,,,,,,,,,,,
29,"2,523",28.0,9,1.0,10.0,9,0,0,3,0,,,,,,,,0.32,0.04,0.36,0.32,0.36,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0,38.0,,0.0,1.36,,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,523",81,82.5,28.0,29,,18,2,,3,1.0,32,53,-21,-0.75,0.42,,,,,,3,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,533,5.9,1,0.0,1.0,1,0,0,0,0,,,,,,,,0.17,0.0,0.17,0.17,0.17,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,7.0,,0.0,1.18,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,533,41,17.4,5.9,4,,2,9,,1,0.54,5,16,-11,-1.86,-1.82,,,,,,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,475,5.3,1,0.0,1.0,1,0,0,0,0,,,,,,,,0.19,0.0,0.19,0.19,0.19,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,5.0,,0.0,0.95,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,475,34,11.5,5.3,4,,0,10,,4,1.21,10,12,-2,-0.38,-0.01,,,,,,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,468,5.2,1,3.0,4.0,1,0,0,2,0,1.4,1.4,1.8,3.2,18.0,9.0,49.0,0.19,0.58,0.77,0.19,0.77,0.27,0.34,0.61,0.27,0.61,8.0,6.0,4.0,4.0,0.0,4.0,14.0,28.6,10.0,8.0,0.0,8.0,0.0,8.0,1.0,0.0,99.0,144.0,68.8,1364.0,262.0,57.0,68.0,83.8,34.0,47.0,72.3,3.0,11.0,27.3,3.0,1.8,0.9,1.2,7.0,3.0,5.0,1.0,9.0,144.0,137.0,5.0,1.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,99.0,2.0,4.0,1.0,21.0,94.0,105.0,27.0,216.0,21.0,14.0,66.7,7.0,33.3,115.0,784.0,444.0,18.0,10.0,13.0,21.0,7.0,151.0,49.0,1,11.0,5.0,45.5,2.12,0.96,0.09,0.2,16.1,0.0,0,0,1.4,1.4,0.13,-0.4,-0.4,14.0,2.69,9.0,0.0,2.0,1.0,1.0,1.0,5.0,0.96,4.0,0.0,0.0,0.0,0.0,1.0,468,43,20.0,5.2,4,89.0,2,7,16.0,8,0.91,7,7,0,0.0,0.58,9.2,6.8,2.4,0.46,1.01,2,0,0.0,6.0,4.0,3.0,12.0,0.0,6.0,0.0,0.0,0.0,25.0,2.0,12.0,14.3
31,"2,588",28.8,8,2.0,10.0,8,0,0,3,0,6.1,6.1,4.6,10.7,106.0,69.0,241.0,0.28,0.07,0.35,0.28,0.35,0.21,0.16,0.37,0.21,0.37,40.0,20.0,17.0,14.0,9.0,18.0,49.0,36.7,31.0,24.0,0.0,24.0,16.0,56.0,5.0,1.0,446.0,696.0,64.1,6339.0,1787.0,264.0,356.0,74.2,129.0,214.0,60.3,26.0,54.0,48.1,2.0,4.6,4.5,-2.6,34.0,32.0,31.0,9.0,69.0,696.0,678.0,13.0,3.0,5.0,2.0,64.0,4.0,6.0,2.0,0.0,0.0,446.0,5.0,25.0,10.0,86.0,390.0,623.0,127.0,1077.0,111.0,54.0,48.6,57.0,51.4,668.0,4507.0,2421.0,106.0,56.0,52.0,103.0,42.0,754.0,241.0,8,68.0,29.0,42.6,2.36,1.01,0.12,0.28,17.3,0.0,0,0,6.1,6.1,0.09,1.9,1.9,86.0,2.99,57.0,0.0,17.0,9.0,0.0,3.0,9.0,0.31,3.0,0.0,3.0,1.0,0.0,2.0,"2,588",81,84.6,28.8,31,83.0,14,1,17.0,0,1.25,44,44,0,0.0,0.38,39.2,41.8,-2.6,-0.09,0.43,3,0,0.0,24.0,20.0,12.0,64.0,16.0,20.0,0.0,0.0,0.0,124.0,23.0,48.0,32.4
3,270,3.0,0,1.0,1.0,0,0,0,2,0,0.8,0.8,0.7,1.5,11.0,3.0,25.0,0.0,0.33,0.33,0.0,0.33,0.27,0.23,0.5,0.27,0.5,2.0,0.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,39.0,61.0,63.9,485.0,128.0,21.0,28.0,75.0,12.0,20.0,60.0,1.0,2.0,50.0,1.0,0.7,0.3,0.3,6.0,1.0,2.0,0.0,3.0,61.0,56.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,39.0,2.0,2.0,0.0,6.0,33.0,60.0,18.0,97.0,12.0,6.0,50.0,6.0,50.0,56.0,488.0,291.0,11.0,7.0,7.0,9.0,5.0,69.0,25.0,0,9.0,2.0,22.2,3.0,0.67,0.0,0.0,17.1,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,9.0,3.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,270,90,8.8,3.0,3,90.0,3,0,,0,0.33,2,5,-3,-1.0,-1.68,3.4,6.0,-2.7,-0.89,-1.42,2,0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,55.6
25,"1,765",19.6,6,,,6,0,0,3,0,,,,,,,,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,765",59,53.0,19.6,25,64.0,2,5,34.0,1,2.57,44,7,37,1.89,-0.13,,,,,,3,0,0.0,,,,,,,,,0.0,,,,
