titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,,0.0,0.39,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,461,5.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,461,33.0,14.2,5.1,2,,1,12,,5,1.36,7.0,5.0,2.0,0.39,-0.03,,,,,,8.0,1.0,1.0,,,,,,,,,0.0,,,,
27,"2,139",23.8,7.0,1.0,8.0,7.0,0.0,0.0,8.0,1.0,,,,,,,,0.29,0.04,0.34,0.29,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,139",69.0,66.0,23.8,27,75.0,13,4,29.0,0,1.58,24.0,24.0,0.0,0.0,-0.57,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,
0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,12.86,12.86,0.0,0.0,14.6,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,1.0,12.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,53.0,1.5,0.6,0,,0,1,53.0,0,3.0,3.0,2.0,1.0,1.7,1.14,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.72,0.72,3.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,48.0,69.0,69.6,638.0,193.0,26.0,35.0,74.3,14.0,17.0,82.4,2.0,6.0,33.3,0.0,0.0,0.2,0.0,0.0,4.0,4.0,0.0,9.0,69.0,67.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,1.0,7.0,37.0,57.0,5.0,97.0,8.0,5.0,62.5,3.0,37.5,62.0,439.0,164.0,6.0,6.0,1.0,9.0,6.0,77.0,17.0,0.0,4.0,0.0,0.0,2.03,0.0,0.0,,25.2,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,7,4.0,0.3,0.1,0,,0,2,4.0,4,0.0,0.0,0.0,0.0,0.0,-0.52,0.2,0.0,0.1,1.7,1.13,1.0,0.0,0.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,4.0,20.0
1,177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,26.0,18.0,12.0,7.0,7.0,7.0,30.0,23.3,23.0,6.0,0.0,6.0,7.0,33.0,4.0,0.0,239.0,374.0,63.9,3576.0,883.0,139.0,192.0,72.4,79.0,121.0,65.3,13.0,29.0,44.8,0.0,2.1,1.9,-2.1,18.0,17.0,14.0,2.0,32.0,374.0,366.0,8.0,0.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,239.0,0.0,19.0,9.0,77.0,228.0,272.0,52.0,566.0,40.0,23.0,57.5,17.0,42.5,406.0,2708.0,852.0,35.0,20.0,16.0,60.0,52.0,421.0,108.0,6.0,31.0,13.0,41.9,2.38,1.0,0.19,0.46,15.5,0.0,0.0,0.0,5.0,5.0,0.16,1.0,1.0,41.0,3.14,24.0,1.0,6.0,4.0,4.0,2.0,7.0,0.54,3.0,0.0,1.0,2.0,0.0,1.0,177,20.0,5.2,2.0,1,71.0,0,8,13.0,14,0.22,1.0,5.0,-4.0,-2.03,-0.84,1.1,4.2,-3.1,-1.55,-0.79,3.0,0.0,0.0,26.0,16.0,14.0,11.0,7.0,18.0,0.0,0.0,0.0,70.0,10.0,23.0,30.3
12,"1,174",13.0,6.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,5.0,5.0,2.1,7.1,35.0,32.0,108.0,0.46,0.0,0.46,0.46,0.46,0.39,0.16,0.55,0.39,0.55,2.0,0.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,1.0,3.0,2.0,0.0,28.0,31.0,90.3,472.0,137.0,15.0,15.0,100.0,7.0,8.0,87.5,3.0,3.0,100.0,0.0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,4.0,31.0,25.0,6.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,2.0,9.0,18.0,34.0,4.0,60.0,5.0,1.0,20.0,4.0,80.0,31.0,245.0,71.0,3.0,1.0,1.0,4.0,0.0,33.0,8.0,0.0,5.0,1.0,20.0,6.52,1.3,0.0,0.0,20.2,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,2.0,2.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,174",42.0,38.4,13.0,12,68.0,1,16,23.0,1,1.07,17.0,17.0,0.0,0.0,0.91,16.0,21.2,-5.2,-0.4,-0.03,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,16.7
0,69,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,20.0,15.0,5.0,9.0,6.0,7.0,13.0,53.8,6.0,11.0,1.0,10.0,2.0,22.0,3.0,0.0,174.0,245.0,71.0,2417.0,553.0,92.0,127.0,72.4,57.0,75.0,76.0,7.0,12.0,58.3,0.0,0.7,0.7,-0.7,8.0,13.0,10.0,0.0,23.0,245.0,238.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,174.0,4.0,10.0,7.0,38.0,167.0,213.0,53.0,411.0,42.0,16.0,38.1,23.0,54.8,312.0,2498.0,884.0,31.0,29.0,15.0,51.0,17.0,313.0,84.0,4.0,32.0,12.0,37.5,2.82,1.06,0.13,0.33,17.9,1.0,0.0,0.0,3.6,3.6,0.12,0.4,0.4,19.0,1.84,14.0,0.0,2.0,2.0,1.0,0.0,3.0,0.29,1.0,0.0,2.0,0.0,0.0,0.0,69,14.0,2.0,0.8,0,,0,5,14.0,9,1.8,3.0,0.0,3.0,3.91,3.32,2.5,0.7,1.8,2.29,1.83,4.0,0.0,0.0,18.0,17.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,30.0,2.0,12.0,14.3
13,"1,020",11.3,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.7,4.4,31.0,23.0,84.0,0.35,0.0,0.35,0.35,0.35,0.35,0.07,0.42,0.35,0.42,6.0,4.0,2.0,1.0,3.0,1.0,6.0,16.7,5.0,2.0,0.0,2.0,1.0,7.0,3.0,0.0,48.0,78.0,61.5,794.0,227.0,24.0,40.0,60.0,18.0,25.0,72.0,4.0,6.0,66.7,0.0,0.0,0.1,0.0,1.0,5.0,5.0,0.0,15.0,78.0,78.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4.0,2.0,14.0,48.0,78.0,16.0,137.0,23.0,13.0,56.5,10.0,43.5,98.0,770.0,316.0,13.0,5.0,8.0,20.0,6.0,90.0,29.0,1.0,10.0,4.0,40.0,2.88,1.15,0.1,0.25,21.8,1.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,10.0,2.88,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.29,0.0,0.0,0.0,1.0,0.0,0.0,"1,020",54.0,33.3,11.3,13,67.0,2,6,25.0,1,1.53,16.0,13.0,3.0,0.26,-0.18,13.1,15.2,-2.0,-0.2,-0.62,1.0,0.0,0.0,7.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,14.0,5.0,6.0,45.5
4,312,3.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,13.0,15.0,29.0,0.29,0.0,0.29,0.29,0.29,0.23,0.01,0.24,0.23,0.24,,37.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,105.0,39.0,37.1,3.45,1.28,0.12,0.33,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,312,52.0,11.6,3.5,4,63.0,0,2,30.0,0,0.5,2.0,3.0,-1.0,-0.29,-0.02,2.9,5.3,-2.4,-0.69,-0.35,8.0,0.0,0.0,75.0,40.0,15.0,26.0,9.0,37.0,,,0.0,,,,
