titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,222,2.5,3,0.0,3.0,3,0,0,0,1,,,,,,,,1.22,0.0,1.22,1.22,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4.0,,,1.62,,0.75,,,0,0,,,,,,,,,,,,,,,,,,,,,,222,28,8.2,2.5,1,,,7,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
16,"1,454",16.2,3,1.0,4.0,3,0,0,2,0,,,,,,,,0.19,0.06,0.25,0.19,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12.0,,,0.74,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,454",58,53.9,16.2,16,,,9,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
17,"1,517",16.9,4,1.0,5.0,4,0,0,0,0,,,,,,,,0.24,0.06,0.3,0.24,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13.0,,,0.77,,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,517",63,56.2,16.9,17,,,7,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
32,"2,841",31.6,12,5.0,17.0,11,1,1,2,0,,,,,,,,0.38,0.16,0.54,0.35,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,28.0,,,0.89,,0.39,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,841",89,95.7,31.6,32,,,0,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
1,224,2.5,0,1.0,1.0,0,0,0,0,0,,,,,,,,0.0,0.4,0.4,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,1.21,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,224,25,5.9,2.5,1,,,8,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
17,"1,484",16.5,6,0.0,6.0,6,0,0,1,0,,,,,,,,0.36,0.0,0.36,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,484",62,45.8,16.5,17,79.0,7.0,7,20.0,6.0,2.63,42.0,8.0,34.0,2.06,1.04,,,,,,1,0,0.0,,,,,,,,,0.0,,,,
25,"2,172",24.1,13,0.0,13.0,13,0,0,0,0,,,,,,,,0.54,0.0,0.54,0.54,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,172",78,67.0,24.1,25,83.0,13.0,3,28.0,6.0,2.18,45.0,13.0,32.0,1.33,0.48,,,,,,0,0,0.0,,,,,,,,,0.0,,,,
29,"2,480",27.6,16,,,16,0,0,0,0,,,,,,,,0.58,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,480",78,76.5,27.6,29,83.0,13.0,3,28.0,3.0,2.28,61.0,23.0,38.0,1.38,-0.75,,,,,,0,0,0.0,,,,,,,,,0.0,,,,
31,"2,640",29.3,14,,,13,1,1,1,0,,,,,,,,0.48,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,640",80,81.5,29.3,31,83.0,14.0,2,33.0,1.0,2.12,51.0,18.0,33.0,1.13,-0.82,,,,,,1,0,0.0,,,,,,,,,0.0,,,,
11,938,10.4,8,5.0,13.0,7,1,1,0,0,,,,,,,,0.77,0.48,1.25,0.67,1.15,,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,50.0,22.0,44.0,4.8,2.11,0.14,0.32,,,1,1,,,,,,,,,,,,,,,,,,,,,,938,63,29.0,10.4,11,76.0,4.0,4,27.0,0.0,2.53,36.0,11.0,25.0,2.4,1.3,,,,,,0,0,0.0,2.0,5.0,7.0,56.0,3.0,5.0,,,0.0,,,,
