Jugador;Equipo;Posicion;Metrica 1;Valor Original 1;Valor Normalizado 1;Metrica 2;Valor Original 2;Valor Normalizado 2;Metrica 3;Valor Original 3;Valor Normalizado 3;Metrica 4;Valor Original 4;Valor Normalizado 4;Metrica 5;Valor Original 5;Valor Normalizado 5;Metrica 6;Valor Original 6;Valor Normalizado 6;Metrica 7;Valor Original 7;Valor Normalizado 7;Metrica 8;Valor Original 8;Valor Normalizado 8;Metrica 9;Valor Original 9;Valor Normalizado 9
Manuel Neuer;Bayern;GK;Toques fuera del area/90;3.73;37.3;Calidad del tiro a puerta;34.6;34.6;Valor del disparo a puerta;0.28;28;Precision en pases largos;88;88;Disatncia pases largos/90;0.94;94;Distancia progresiva en pases largos/90;0.61;61;Goles evitados/temporada;4.6;30;Puntos aportados/por temporada;3.2;32;;;
Wojciech Szczesny;Barcelona;GK;Toques fuera del area/90;3.73;37.3;Calidad del tiro a puerta;12;12;Valor del disparo a puerta;0.35;35;Precision en pases largos;88.5;88.5;Disatncia pases largos/90;0.65;65;Distancia progresiva en pases largos/90;0.38;38;Goles evitados/temporada;12;90;Puntos aportados/por temporada;8.3;83;;;
Benjamin Pavard;Bayern;RB;Pases progresivos/90;7.23;72.3;Duelos aereos jugados;108;90;Duelos aereos ganados;0.67;67;Pases progresivos/90;7.23;72.3;Acciones que originan un tiro/90;1.29;12.9;Toques en Z2/90;49.3;49;Toques en Z3/90;17.6;17;Toques en area/90;1.32;13.2;;;
Jules Kounde;Barcelona;RB;Pases progresivos/90;5.71;57.1;Duelos aereos jugados;53;40;Duelos aereos ganados;0.57;57;Pases progresivos/90;5.71;57.1;Acciones que originan un tiro/90;1.9;19;Toques en Z2/90;41.3;41;Toques en Z3/90;24.4;24;Toques en area/90;2.73;27.3;;;
Jerome Boateng;Bayern;CB;Duelos aereos jugados;56;56;Duelos aereos ganados;0.67;67;Duelos defensivos ganados;0.5;50;Pases largos precisos/90;10.9;92;Pases medios precisos/90;45.5;45;Pases cortos precisos/90;19.6;19;Pases progresivos/90;6.4;64;;;;;;
Pau Cubarsi;Barcelona;CB;Duelos aereos jugados;106;90;Duelos aereos ganados;0.58;58;Duelos defensivos ganados;0.63;63;Pases largos precisos/90;6.7;60;Pases medios precisos/90;47.7;47;Pases cortos precisos/90;28.4;28;Pases progresivos/90;6.56;65.6;;;;;;
David Alaba;Bayern;CB;Duelos aereos jugados;46;46;Duelos aereos ganados;0.52;52;Duelos defensivos ganados;0.64;64;Pases largos precisos/90;8.35;83.5;Pases medios precisos/90;40.6;40;Pases cortos precisos/90;31;31;Pases progresivos/90;10;100;;;;;;
Inigo Martinez;Barcelona;CB;Duelos aereos jugados;91;91;Duelos aereos ganados;0.63;63;Duelos defensivos ganados;0.72;72;Pases largos precisos/90;7.51;75.1;Pases medios precisos/90;42.2;42;Pases cortos precisos/90;29.6;29;Pases progresivos/90;9.3;93;;;;;;
Alphonso Davies;Bayern;LB;Regates/90;5.1;51;Regates completados;0.63;63;Duelos aereos jugados;56;56;Duelos aereos ganados;0.54;54;Conducciones progresivas/90;4.88;48.8;Pases que originan un tiro/90;2.5;25;Toques en Z2/90;40.7;40;Toques en Z3/90;26.3;26;Toques en area/90;2.46;24.6
Alejandro Balde;Barcelona;LB;Regates/90;4.33;43.3;Regates completados;0.41;41;Duelos aereos jugados;25;25;Duelos aereos ganados;64;64;Conducciones progresivas/90;4.21;42.1;Pases que originan un tiro/90;2.36;23.6;Toques en Z2/90;32.3;32;Toques en Z3/90;23.5;23;Toques en area/90;1.85;18.5
Joshua Kimmich;Bayern;CM-CDM;Toques dentro del area;1.9;19;Pases progresivos/90;9.9;99;Duelos defensivos Z3/90;0.35;35;Acciones que originan un tiro/90;4.63;46.3;Acciones que originan gol/90;0.67;67;;;;;;;;;;;;
Frenkie De Jong;Barcelona;CM-CDM;Toques dentro del area;1.02;10.2;Pases progresivos/90;9.45;94.5;Duelos defensivos Z3/90;0.39;39;Acciones que originan un tiro/90;3.39;33.9;Acciones que originan gol/90;0.87;87;;;;;;;;;;;;
Leon Goretzka;Bayern;CM-CDM;Tiros/90;2.32;23.2;Tiros/90;0.93;9.3;Regates/90;1.49;14.9;Regates completados/90;1.13;11.3;Asistencias/90;0.3;30;Asistencias esperadas creadas/90;0.17;17;Conducciones progresivas/90;1.73;17.3;Pases claves/90;1.25;12.5;;;
Pedri;Barcelona;CM-CDM;Tiros/90;0.78;7.8;Tiros/90;0.34;3.4;Regates/90;1.91;19.1;Regates completados/90;1.25;12.5;Asistencias/90;0.17;17;Asistencias esperadas creadas/90;0.23;23;Conducciones progresivas/90;2.88;28.8;Pases claves/90;2.19;21.9;;;
Thomas Muller;Bayern;CAM;Pases clave/90;3.31;33.1;Asistencias/90;0.84;84;Asistencias esperadas creadas/90;0.59;59;Participacion directa en goles de equipo;0.18;18;Tiros/90;2.16;21.6;Pases progresivos/90;6.53;65.3;Centros que llegan al area/90;1.12;11.2;Pases que llegan al area/90;2.75;27.5;Toques en area/90;7.35;73.5
Dani Olmo;Barcelona;CAM;Pases clave/90;1.93;19.3;Asistencias/90;0.22;22;Asistencias esperadas creadas/90;0.32;32;Participacion directa en goles de equipo;0.07;7;Tiros/90;2.96;29.6;Pases progresivos/90;6;60;Centros que llegan al area/90;0.07;0.7;Pases que llegan al area/90;1.06;10.6;Toques en area/90;5.7;57
Kingsley Coman;Bayern;W;Regates/90;5.81;58.1;Regates completados;0.59;59;Toques en el area/90;7.01;70.1;Acciones que originan un tiro/90;5.2;52;Acciones que originan gol/90;0.6;60;Conducciones progresivas/90;6.77;67.7;Centros que llegan al area/90;4.49;44.9;Pases claves/90;2.25;22.5;;;
